Headword,Stem Forms with -e,Reason
aspre,aspre,All stem forms end in -e
badde,badde,All stem forms end in -e
bar,bare,All stem forms end in -e
bel,bele,All stem forms end in -e
blaunk,blaunche,All stem forms end in -e
blithe,blithe,All stem forms end in -e
bonde,bonde,All stem forms end in -e
clene,clene,All stem forms end in -e
crude,crude,All stem forms end in -e
deinte,deintee,All stem forms end in -e
derne,derne,All stem forms end in -e
digne,digne,All stem forms end in -e
dim,dimme,All stem forms end in -e
don,donne; dunne,All stem forms end in -e
double,double,All stem forms end in -e
drie,dreie; dreye; drie; drye,All stem forms end in -e
due,due,All stem forms end in -e
egre,egre,All stem forms end in -e
ethe,ethe,All stem forms end in -e
feble,feble,All stem forms end in -e
ferrene,ferne,All stem forms end in -e
fix,fixe,All stem forms end in -e
fre,fre; free,All stem forms end in -e
gaudi,gaude,All stem forms end in -e
grene,grene,All stem forms end in -e
hende,hende,All stem forms end in -e
holwe,holwe,All stem forms end in -e
huge,huge,All stem forms end in -e
humble,humble,All stem forms end in -e
kempe,kempe,All stem forms end in -e
kene,kene,All stem forms end in -e
kinde,kinde,All stem forms end in -e
lame,lame,All stem forms end in -e
large,large,All stem forms end in -e
late,late,All stem forms end in -e
lege,lige,All stem forms end in -e
lene,lene,All stem forms end in -e
lite,lite,All stem forms end in -e
maide,maide,All stem forms end in -e
medle,medlee,All stem forms end in -e
mene,mene,All stem forms end in -e
mete,mete,All stem forms end in -e
moiste,moiste,All stem forms end in -e
more,more,All stem forms end in -e
narwe,narwe,All stem forms end in -e
nice,nice,All stem forms end in -e
noble,noble,All stem forms end in -e
ofte,ofte,All stem forms end in -e
pale,pale,All stem forms end in -e
prime,prime,All stem forms end in -e
propre,propre,All stem forms end in -e
pure,pure,All stem forms end in -e
purpure,purpre,All stem forms end in -e
riche,riche,All stem forms end in -e
ripe,ripe,All stem forms end in -e
rude,rude,All stem forms end in -e
salt,salte,All stem forms end in -e
secre,secree,All stem forms end in -e
selde,selde,All stem forms end in -e
sengle,sengle,All stem forms end in -e
shene,shene,All stem forms end in -e
shrille,shrille,All stem forms end in -e
simple,simple,All stem forms end in -e
softe,softe,All stem forms end in -e
sote,sote; swote,All stem forms end in -e
souple,souple,All stem forms end in -e
square,square,All stem forms end in -e
stable,stable,All stem forms end in -e
stale,stale,All stem forms end in -e
stepe,stepe,All stem forms end in -e
sterne,sterne,All stem forms end in -e
stille,stille,All stem forms end in -e
store,store,All stem forms end in -e
straunge,estraunge; strange; straunge,All stem forms end in -e
tame,tame,All stem forms end in -e
thikke,thikke,All stem forms end in -e
thinne,thinne,All stem forms end in -e
trie,trie,All stem forms end in -e
trouble,trouble,All stem forms end in -e
voide,voide,All stem forms end in -e
wast,waste,All stem forms end in -e
wikke,wikke,All stem forms end in -e
wilde,wilde,All stem forms end in -e
wrecche,wrecche,All stem forms end in -e
yern,yerne,All stem forms end in -e
