filename,overall_accuracy,total_correct,total_instances,overall_accuracy_filtered,total_correct_filtered,total_instances_filtered,weak_accuracy,weak_correct,weak_total,plural_accuracy,plural_correct,plural_total,strong_accuracy,strong_correct,strong_total,strong_accuracy_filtered,strong_correct_filtered,strong_total_filtered,monosyllabic_adjectives_found
ABC_gui_complete.csv,64.00,16,25,80.0,20,25,100.00,3,3,100.00,1,1,57.14,12,21,76.19047619047619,16,21,25
Anelida_gui_complete.csv,58.51,55,94,72.3404255319149,68,94,55.17,16,29,80.00,4,5,58.33,35,60,80.0,48,60,94
BD_gui_complete.csv,55.29,162,293,65.18771331058021,191,293,71.15,37,52,85.71,18,21,48.64,107,220,61.81818181818181,136,220,293
CYPro_gui_complete.csv,78.57,22,28,89.28571428571429,25,28,100.00,2,2,66.67,2,3,78.26,18,23,91.30434782608695,21,23,28
CYT_gui_complete.csv,75.94,101,133,82.70676691729322,110,133,72.73,16,22,50.00,2,4,77.57,83,107,85.98130841121495,92,107,133
CkPro_gui_complete.csv,90.91,10,11,90.9090909090909,10,11,,0,0,,0,0,90.91,10,11,90.9090909090909,10,11,11
ClPro_gui_complete.csv,80.00,8,10,80.0,8,10,0.00,0,1,100.00,2,2,85.71,6,7,85.71428571428571,6,7,10
ClT_gui_complete.csv,63.43,170,268,77.61194029850746,208,268,87.04,47,54,85.71,18,21,54.40,105,193,74.09326424870466,143,193,268
FranT_gui_complete.csv,71.91,128,178,83.14606741573034,148,178,77.55,38,49,81.82,18,22,67.29,72,107,85.98130841121495,92,107,178
FriPro_gui_complete.csv,55.56,5,9,66.66666666666666,6,9,100.00,1,1,,0,0,50.00,4,8,62.5,5,8,9
FriT_gui_complete.csv,67.09,53,79,73.41772151898735,58,79,85.71,12,14,90.91,10,11,57.41,31,54,66.66666666666666,36,54,79
GP_gui_complete.csv,74.26,176,237,86.49789029535864,205,237,90.91,30,33,93.10,27,29,68.00,119,175,84.57142857142857,148,175,237
KnT_gui_complete.csv,76.35,410,537,86.77839851024208,466,537,89.17,140,157,94.32,83,88,64.04,187,292,83.21917808219177,243,292,537
LGW_FPro_gui_complete.csv,69.70,92,132,78.03030303030303,103,132,89.19,33,37,95.24,20,21,52.70,39,74,67.56756756756756,50,74,132
LGW_gui_complete.csv,72.82,292,401,81.54613466334165,327,401,89.83,106,118,87.18,34,39,62.30,152,244,76.63934426229508,187,244,401
MLPro_gui_complete.csv,75.00,12,16,81.25,13,16,100.00,6,6,100.00,2,2,50.00,4,8,62.5,5,8,16
MLT_gui_complete.csv,70.41,138,196,79.08163265306123,155,196,86.89,53,61,75.00,6,8,62.20,79,127,75.59055118110236,96,127,196
MancPro_gui_complete.csv,68.42,13,19,89.47368421052632,17,19,33.33,1,3,100.00,1,1,73.33,11,15,100.0,15,15,19
MancT_gui_complete.csv,71.64,48,67,77.61194029850746,52,67,100.00,12,12,100.00,6,6,61.22,30,49,69.38775510204081,34,49,67
MerPro_gui_complete.csv,70.00,7,10,80.0,8,10,80.00,4,5,,0,0,60.00,3,5,80.0,4,5,10
MerT_gui_complete.csv,77.82,214,275,86.18181818181819,237,275,97.10,67,69,82.61,19,23,69.95,128,183,82.5136612021858,151,183,275
MilPro_gui_complete.csv,50.00,5,10,70.0,7,10,100.00,1,1,100.00,1,1,37.50,3,8,62.5,5,8,10
MilT_gui_complete.csv,73.84,127,172,81.97674418604652,141,172,100.00,43,43,63.64,7,11,65.25,77,118,77.11864406779661,91,118,172
NPPro_gui_complete.csv,57.14,8,14,78.57142857142857,11,14,100.00,1,1,,0,0,53.85,7,13,76.92307692307693,10,13,14
NPT_gui_complete.csv,67.50,81,120,81.66666666666667,98,120,75.00,18,24,86.67,13,15,61.73,50,81,82.71604938271605,67,81,120
PF_gui_complete.csv,71.22,99,139,82.73381294964028,115,139,92.31,24,26,95.24,20,21,59.78,55,92,77.17391304347827,71,92,139
PardT_gui_complete.csv,70.48,74,105,75.23809523809524,79,105,84.00,21,25,83.33,10,12,63.24,43,68,70.58823529411765,48,68,105
ParsPro_reordered_gui_complete.csv,60.00,3,5,80.0,4,5,,0,0,0.00,0,1,75.00,3,4,100.0,4,4,5
PhyT_gui_complete.csv,77.61,52,67,85.07462686567165,57,67,100.00,15,15,100.00,4,4,68.75,33,48,79.16666666666666,38,48,67
PrT_gui_complete.csv,57.89,22,38,71.05263157894737,27,38,90.91,10,11,100.00,3,3,37.50,9,24,58.333333333333336,14,24,38
RvPro_gui_complete.csv,80.00,12,15,93.33333333333333,14,15,100.00,6,6,100.00,3,3,50.00,3,6,83.33333333333334,5,6,15
RvT_gui_complete.csv,75.58,65,86,86.04651162790698,74,86,87.50,14,16,100.00,7,7,69.84,44,63,84.12698412698413,53,63,86
SNT_gui_complete.csv,68.24,58,85,81.17647058823529,69,85,93.33,14,15,90.91,10,11,57.63,34,59,76.27118644067797,45,59,85
ShipT_gui_complete.csv,71.84,74,103,85.43689320388349,88,103,96.15,25,26,100.00,3,3,62.16,46,74,81.08108108108108,60,74,103
SqT_gui_complete.csv,73.44,94,128,86.71875,111,128,89.29,25,28,92.31,12,13,65.52,57,87,85.0574712643678,74,87,128
SumPro_gui_complete.csv,60.00,3,5,80.0,4,5,50.00,1,2,,0,0,66.67,2,3,100.0,3,3,5
SumT_gui_complete.csv,70.59,72,102,78.43137254901961,80,102,100.00,25,25,100.00,3,3,59.46,44,74,70.27027027027027,52,74,102
TC1_gui_complete.csv,74.41,157,211,84.36018957345972,178,211,92.16,47,51,100.00,12,12,66.22,98,148,80.4054054054054,119,148,211
TC2_gui_complete.csv,70.66,236,334,80.83832335329342,270,334,82.50,66,80,84.62,22,26,64.91,148,228,79.82456140350878,182,228,334
TC3_gui_complete.csv,70.57,259,367,77.3841961852861,284,367,90.48,76,84,97.56,40,41,59.09,143,242,69.42148760330579,168,242,367
TC4_gui_complete.csv,75.84,226,298,83.55704697986577,249,298,94.81,73,77,94.12,32,34,64.71,121,187,77.00534759358288,144,187,298
TC5_gui_complete.csv,65.78,246,374,77.00534759358288,288,374,84.62,77,91,92.06,58,63,50.45,111,220,69.54545454545455,153,220,374
ThopPro_gui_complete.csv,60.00,3,5,80.0,4,5,,0,0,,0,0,60.00,3,5,80.0,4,5,5
Thop_gui_complete.csv,72.22,39,54,87.03703703703704,47,54,75.00,6,8,80.00,4,5,70.73,29,41,90.2439024390244,37,41,54
WBPro_gui_complete.csv,68.55,109,159,74.84276729559748,119,159,90.48,19,21,46.15,6,13,67.20,84,125,75.2,94,125,159
WBT_gui_complete.csv,67.31,70,104,80.76923076923077,84,104,94.74,18,19,85.71,6,7,58.97,46,78,76.92307692307693,60,78,104
