headword,word,line_number,filename,context,is_elided,is_final
riche,riche,The Shipman's Tale 2,data/oxford_txts/ShipT_oxford.txt,"That riche was, for which men helde° him wis;",False,False
smal,smale,The Shipman's Tale 24,data/oxford_txts/ShipT_oxford.txt,"Amonges alle his gestes,° grete and smale",False,True
fre,free,The Shipman's Tale 43,data/oxford_txts/ShipT_oxford.txt,"¶Free was daun John, and manly° of dispence,°",False,False
dere,dere,The Shipman's Tale 69,data/oxford_txts/ShipT_oxford.txt,"Our dere cosin, ful of curteisie?",False,False
riche,riche,The Shipman's Tale 84,data/oxford_txts/ShipT_oxford.txt,"Ful riche was his tresor and his hord,°",False,False
maide,maide,The Shipman's Tale 95,data/oxford_txts/ShipT_oxford.txt,A maide° child cam in hir compaignie°,False,False
smal,smale,The Shipman's Tale 105,data/oxford_txts/ShipT_oxford.txt,Were° al forstraught° with houndes grete and smale.,False,True
dere,dere,The Shipman's Tale 106,data/oxford_txts/ShipT_oxford.txt,"But dere nece, why be ye so pale?",False,False
pale,pale,The Shipman's Tale 106,data/oxford_txts/ShipT_oxford.txt,"But dere nece, why be ye so pale?",False,True
god,goode,The Shipman's Tale 107,data/oxford_txts/ShipT_oxford.txt,I trowe° certes that our goode man,False,False
secre,secree,The Shipman's Tale 130,data/oxford_txts/ShipT_oxford.txt,"Al your anoy,° for it shal been secree;",False,True
wise,wise,The Shipman's Tale 176,data/oxford_txts/ShipT_oxford.txt,"Hardy,° and wise, and riche, and therto° free,°",True,False
riche,riche,The Shipman's Tale 176,data/oxford_txts/ShipT_oxford.txt,"Hardy,° and wise, and riche, and therto° free,°",True,False
fre,free,The Shipman's Tale 176,data/oxford_txts/ShipT_oxford.txt,"Hardy,° and wise, and riche, and therto° free,°",False,True
dere,dere,The Shipman's Tale 196,data/oxford_txts/ShipT_oxford.txt,"“Now, trewely, min owne lady dere",False,True
treu,trewe,The Shipman's Tale 207,data/oxford_txts/ShipT_oxford.txt,"Goth now, and beeth as trewe as I shal be.”",True,False
long,longe,The Shipman's Tale 216,data/oxford_txts/ShipT_oxford.txt,How longe time wol ye rekene° and caste°,False,False
mek,meke,The Shipman's Tale 242,data/oxford_txts/ShipT_oxford.txt,As be to every wight buxom° and meke,False,True
straunge,strange,The Shipman's Tale 263,data/oxford_txts/ShipT_oxford.txt,Bitwix us two nedeth no strange fare;°,False,False
secre,secree,The Shipman's Tale 277,data/oxford_txts/ShipT_oxford.txt,"But lat this thing be secree,° I yow preye",True,False
dere,dere,The Shipman's Tale 279,data/oxford_txts/ShipT_oxford.txt,"And far now wel, min owne cosin dere",False,True
dere,dere,The Shipman's Tale 328,data/oxford_txts/ShipT_oxford.txt,"And telleth hir that chaffare° is so dere,°",False,True
riche,riche,The Shipman's Tale 351,data/oxford_txts/ShipT_oxford.txt,"And if that I were riche, as have I blisse",True,False
swete,swete,The Shipman's Tale 363,data/oxford_txts/ShipT_oxford.txt,"Greet wel our dame, min owne nece swete",False,True
riche,riche,The Shipman's Tale 376,data/oxford_txts/ShipT_oxford.txt,For he was riche and cleerly out of dette.,True,False
bel,bele,The Shipman's Tale 409,data/oxford_txts/ShipT_oxford.txt,"For cosinage,° and eek for bele cheere°",False,False
dere,dere,The Shipman's Tale 425,data/oxford_txts/ShipT_oxford.txt,"Forgive it me, min owne spouse dere;",False,True
large,large,The Shipman's Tale 431,data/oxford_txts/ShipT_oxford.txt,"But, by thy lif, ne be namoor so large;°",False,True
grene,grene,The Wife of Bath's Tale 861,data/oxford_txts/WBT_oxford.txt,Daunced ful ofte in many a grene mede;°,False,False
thikke,thikke,The Wife of Bath's Tale 868,data/oxford_txts/WBT_oxford.txt,As thikke as motes° in the sonne-beem,True,False
riche,riche,The Wife of Bath's Tale 927,data/oxford_txts/WBT_oxford.txt,"Som, riche array,° som seiden, lust abedde",True,False
fre,free,The Wife of Bath's Tale 936,data/oxford_txts/WBT_oxford.txt,"For to be free, and do right as us lest,°",True,False
wise,wise,The Wife of Bath's Tale 944,data/oxford_txts/WBT_oxford.txt,"We wol° been holden° wise, and clene of sinne.°",True,False
clene,clene,The Wife of Bath's Tale 944,data/oxford_txts/WBT_oxford.txt,"We wol° been holden° wise, and clene of sinne.°",True,False
stable,stable,The Wife of Bath's Tale 946,data/oxford_txts/WBT_oxford.txt,"For to ben holden stable and eek secree,°",True,False
secre,secree,The Wife of Bath's Tale 946,data/oxford_txts/WBT_oxford.txt,"For to ben holden stable and eek secree,°",False,True
olde,olde,The Wife of Bath's Tale 1004,data/oxford_txts/WBT_oxford.txt,"Thise olde folk can muchel thing,”° quod she.",False,False
noble,noble,The Wife of Bath's Tale 1026,data/oxford_txts/WBT_oxford.txt,"Ful many a noble wif, and many a maide,°",False,False
wise,wise,The Wife of Bath's Tale 1027,data/oxford_txts/WBT_oxford.txt,"And many a widwe,° for that they ben wise",False,True
olde,olde,The Wife of Bath's Tale 1063,data/oxford_txts/WBT_oxford.txt,"For thogh that I be foul, and olde, and pore",True,False
povre,pore,The Wife of Bath's Tale 1063,data/oxford_txts/WBT_oxford.txt,"For thogh that I be foul, and olde, and pore",False,True
foul,foule,The Wife of Bath's Tale 1082,data/oxford_txts/WBT_oxford.txt,"So wo was him, his wif looked so foule.",False,True
straunge,strange,The Wife of Bath's Tale 1161,data/oxford_txts/WBT_oxford.txt,Which is a strange thing to° thy persone.,False,False
noble,noble,The Wife of Bath's Tale 1165,data/oxford_txts/WBT_oxford.txt,"¶“ ‘Thenketh how noble, as seith Valerius",True,False
lef,leve,The Wife of Bath's Tale 1171,data/oxford_txts/WBT_oxford.txt,"And therfor, leve° housbond, I thus conclude",False,False
