headword,word,line_number,filename,context,is_elided,is_final
sori,sory,The Shipman's Tale 117,data/oxford_txts/ShipT_oxford.txt,That lasse lust° hath to that sory pley.°,False,False
derk,derkest,The Wife of Bath's Tale 1139,data/oxford_txts/WBT_oxford.txt,"¶“ ‘Taak fir,° and ber it in the derkest hous",False,False
god,good,The Merchant's Prologue 1233,data/oxford_txts/MerPro_oxford.txt,¶A! good sir Hoost! I have ywedded be°,False,False
hevi,hevy,100-ch 885,data/oxford_txts/LGW_oxford.txt,On her he caste° his hevy deedly yën,False,False
chef,cheef,100-ch 937,data/oxford_txts/LGW_oxford.txt,That of the citee was the cheef dungeoun;°,False,False
right,right,100-ch 942,data/oxford_txts/LGW_oxford.txt,"That was his sone,° in his right hand, and fledde;",False,False
fair,fairest,100-ch 974,data/oxford_txts/LGW_oxford.txt,But she was yit° the fairest creature,False,False
gret,grettest,100-ch 1050,data/oxford_txts/LGW_oxford.txt,"For which,° the grettest of his lordes some°",True,False
leste,lest,100-ch 1313,data/oxford_txts/LGW_oxford.txt,"His thral,° his servant in the lest° degree;",False,False
treu,trew,100-ch 1686,data/oxford_txts/LGW_oxford.txt,"The verray wif, the verray trew° Lucresse",False,False
treu,trewest,100-ch 1885,data/oxford_txts/LGW_oxford.txt,The trewest is ful brotel° for to triste.°,True,False
gret,grettest,100-ch 2053,data/oxford_txts/LGW_oxford.txt,Oon of the grettest men of my contree.,False,False
gret,gretter,100-ch 2213,data/oxford_txts/LGW_oxford.txt,Wher is thy gretter part away ygoon?,False,False
fair,fair,100-ch 2460,data/oxford_txts/LGW_oxford.txt,In the betraising° of fair Adriane,True,False
plaine,plein,100-ch 2617,data/oxford_txts/LGW_oxford.txt,As thilke° time was the plein° usage.°,True,False
gret,greet,Troilus and Criseyde; Book II 73,data/oxford_txts/TC2_oxford.txt,"From Troilus, and eek his greet emprise;",True,False
bet,bet,Troilus and Criseyde; Book II 128,data/oxford_txts/TC2_oxford.txt,"What? bet than swiche five? Ey, nay, ywis!",False,False
sori,sory,Troilus and Criseyde; Book II 464,data/oxford_txts/TC2_oxford.txt,“A! Lord! what me is tid a sory chaunce!,False,False
god,good,Troilus and Criseyde; Book II 499,data/oxford_txts/TC2_oxford.txt,"Til at the laste, “O good eem,” quod she tho",True,False
hard,hardest,Troilus and Criseyde; Book II 729,data/oxford_txts/TC2_oxford.txt,"“Now set a cas, the hardest is, ywis",True,False
werse,wers,Troilus and Criseyde; Book II 865,data/oxford_txts/TC2_oxford.txt,"Or love the wers, though wrecches on it cryen?",False,False
fresh,fresh,Troilus and Criseyde; Book II 887,data/oxford_txts/TC2_oxford.txt,"“Ye, wis,” quod fresh Antigone the white",True,False
laste,last,Troilus and Criseyde; Book II 924,data/oxford_txts/TC2_oxford.txt,Til at the last the dede sleep hir hente.,False,False
right,right,Troilus and Criseyde; Book II 1065,data/oxford_txts/TC2_oxford.txt,First he gan hir his right lady calle,False,False
gret,grettest,Troilus and Criseyde; Book II 1143,data/oxford_txts/TC2_oxford.txt,"And seide, “Now is this the grettest wonder",False,False
