headword,infinitive,preterite,past_participle,classification,notes
abaishen,abaishen,,"abaist(2), abasshed(1)",weak,classified by morphological evidence
abiden,abiden,"abood(4), abode(1)","abiden(2), biden(1)",strong,known
abien,abien,aboughte(1),aboght(4),weak,not in list
abreiden,abreiden,"abreide(3), abraide(2)",,weak,classified by computer (CHECK)
accepten,accepten,,accepted(1),weak,classified by morphological evidence
accorden,accorden,"accorded(1), acorded(1)","acorded(9), accorded(4)",weak,classified by morphological evidence
accounten,accounten,acounted(1),,weak,classified by morphological evidence
accusen,accusen,"acused(1), accused(1)",accused(1),weak,classified by computer (CHECK)
acursen,acursen,,acursed(4),weak,classified by morphological evidence
adauen,adauen,,adawed(1),weak,classified by morphological evidence (check!)
adden,adden,added(1),,weak,classified by morphological evidence
adouren,adouren,,adoured(1),weak,classified by morphological evidence
adreden,adreden,,"adrad(4), adred(1)",weak,classified by morphological evidence
affermen,affermen,,"affermed(1), affirmed(1)",weak,classified by computer (CHECK)
affraien,affraien,,"affraied(3), affrayed(1)",weak,classified by morphological evidence (check!)
afrighten,afrighten,,afright(1),weak,classified by computer (CHECK)
agasten,agasten,agaste(3),agast(23),weak,classified by morphological evidence
agilten,agilten,agilte(2),agilt(5),weak,classified by morphological evidence
agon,agon,,"ago(17), agoon(11), agon(7)",irregular,Gon is irregular
agreven,agreven,,"agreved(3), ygreved(1)",weak,classified by morphological evidence
agrisen,agrisen,agroos(3),,strong,classified by morphological evidence
agroteien,agroteien,,agroted(1),weak,classified by computer (CHECK)
alighten,alighten,alighte(4),alight(2),weak,classified by computer (CHECK)
allien,allien,,allied(2),weak,classified by computer (CHECK)
alteren,alteren,altered(1),,weak,classified by morphological evidence
amaien,amaien,,amaied(2),weak,classified by computer (CHECK)
amenden,amenden,amended(1),amended(11),weak,classified by morphological evidence
ameven,ameven,ameved(1),,weak,classified by computer (CHECK)
anhongen,anhongen,,"anhanged(5), anhonged(1)",weak,classified by morphological evidence
annexen,annexen,,annexed(2),weak,classified by morphological evidence
anoien,anoien,,anoyed(1),weak,classified by computer (CHECK)
