OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"In Armorik, that called is Britayne","¶In Armorik,° that called is Britaine,°",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 729,,10,10,In Armorik that called is Britayne,In Armorik that called is Britaine,u SuS u Su S uSx,u SuS u Su S uSx,in@prep armorik@n#propn that@pron callen@v%ppl ben@v%pr_3 britaine@n#propn,in@prep armorik@n#propn that@pron callen@v%ppl ben@v%pr_3 britaine@n#propn,
Ther was a knyght that loved and dide his payne,Ther was a knight that loved and dide his paine,data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 730,,10,10,Ther was a knyght that loved and dide his payne,Ther was a knight that loved and dide his paine,u S u S u Sx u Sx u Sx,u S u S u Sx u Sx u Sx,ther@adv ben@v%pt_3 a@indef_art knight@n that@pron loven@v1%pt_3 and@conj don@v1%pt_3 his@pron1%gen peine@n,ther@adv ben@v%pt_3 a@indef_art knight@n that@pron loven@v1%pt_3 and@conj don@v1%pt_3 his@pron1%gen peine@n,
To serve a lady in his beste wise;,To serve a lady in his beste wise;°,data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 731,,10,10,To serve a lady in his beste wise,To serve a lady in his beste wise,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,to@part serven@v1%inf a@indef_art ladie@n in@prep his@pron1%gen best@adj%sup wise@n2,to@part serven@v1%inf a@indef_art ladie@n in@prep his@pron1%gen best@adj%sup wise@n2,
"And many a labour, many a greet emprise","And many a labour, many a greet emprise°",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 732,,10,10,And many a labour many a greet emprise,And many a labour many a greet emprise,u Sx u Su Sx u S uSx,u Sx u Su Sx u S uSx,and@conj mani@gram_adj a@indef_art labour@n mani@gram_adj a@indef_art gret@adj emprise@n,and@conj mani@gram_adj a@indef_art labour@n mani@gram_adj a@indef_art gret@adj emprise@n,
He for his lady wroghte er she were wonne.,"He for his lady wroghte,° er° she wer wonne.",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 733,,10,10,He for his lady wroghte er she were wonne,He for his lady wroghte er she wer wonne,u S u Su Sx u x Su Sx,u S u Su Sx u S u Sx,he@pron1%nom for@prep his@pron1%gen ladie@n werken@v%pt_3 er@conj1 she@pron%nom ben@v%pt_3 winnen@v%ppl,he@pron1%nom for@prep his@pron1%gen ladie@n werken@v%pt_3 er@conj1 she@pron%nom ben@v%pt_3 winnen@v%ppl,
For she was oon the faireste under sonne,For she was oon° the faireste under sonne,data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 734,,10,10,For she was oon the faireste under sonne,For she was oon the faireste under sonne,u x S u S uSu Su Sx,u x S u S uSu Su Sx,for@conj she@pron%nom ben@v%pt_3 on@pron the@def_art fair@adj%sup under@prep sonne@n,for@conj she@pron%nom ben@v%pt_3 on@pron the@def_art fair@adj%sup under@prep sonne@n,
And eek therto comen of so heigh kynrede,"And eek therto° come of so heigh kinrede,°",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 735,DIFF,10,10,And eek therto comen of so heigh kynrede,And eek therto come of so heigh kinrede,u S uS uS u S u Sxx,u S uS ux S u S uSx,and@conj ek@adv ther-to@adv comen@v%ppl of@prep so@adv heigh@adj kinrede@n,and@conj ek@adv ther-to@adv  of@prep so@adv heigh@adj kinrede@n,
"That wel unnethes dorste this knyght, for drede","That wel unnethes° dorst° this knight, for drede",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 736,,10,10,That wel unnethes dorste this knyght for drede,That wel unnethes dorst this knight for drede,u S uSu Sx u S u Sx,u S uSu S u S u Sx,that@conj wel@adv unethe@adv durren@v%pt_3 this@gram_adj knight@n for@prep drede@n,that@conj wel@adv unethe@adv durren@v%pt_3 this@gram_adj knight@n for@prep drede@n,
"Telle hire his wo, his peyne, and his distresse.","Telle hir his wo, his peine, and his distresse.",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 737,,10,10,Telle hire his wo his peyne and his distresse,Telle hir his wo his peine and his distresse,ux Sx u S u Sx u S uSx,ux S u S u Sx u S uSx,tellen@v%inf hire@pron2%fem_obj his@pron1%gen wo@n his@pron1%gen peine@n and@conj his@pron1%gen distresse@n,tellen@v%inf hire@pron2%fem_obj his@pron1%gen wo@n his@pron1%gen peine@n and@conj his@pron1%gen distresse@n,
"But atte laste she, for his worthynesse","But atte laste, she, for his worthinesse",data/riverside_cats/FranT_riv.cat,data/oxford_txts/FranT_oxford.txt,data/csvs/FranT,The Franklin's Tale 738,,10,10,But atte laste she for his worthynesse,But atte laste she for his worthinesse,u Su Sx u S u SuSx,u Su Sx u S u SuSx,but@conj atte@prep laste@adj#n%sup she@pron%nom for@prep his@pron1%gen worthinesse@n,but@conj atte@prep laste@adj#n%sup she@pron%nom for@prep his@pron1%gen worthinesse@n,
