OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"This mayden bright Cecilie, as hir lif seith","This maiden bright Cecilie, as hir lif seith",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 120,,10,10,This mayden bright Cecilie as hir lif seith,This maiden bright Cecilie as hir lif seith,u Sx u SuS u S u S,u Sx u SuS u S u S,this@gram_adj maiden@n bright@adj cecile@n#propn as@conj hire@pron1%fem_gen lif@n seien@v1%pr_3,this@gram_adj maiden@n bright@adj cecile@n#propn as@conj hire@pron1%fem_gen lif@n seien@v1%pr_3,
Was comen of Romayns and of noble kynde,"Was comen of Romains,° and of noble kinde,°",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 121,,10,10,Was comen of Romayns and of noble kynde,Was comen of Romains and of noble kinde,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,ben@v%pt_3 comen@v%ppl of@prep romain@n%pl and@conj of@prep noble@adj kinde@n,ben@v%pt_3 comen@v%ppl of@prep romain@n%pl and@conj of@prep noble@adj kinde@n,
And from hir cradel up fostred in the feith,And from hir cradel up fostred° in the feith,data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 122,,10,10,And from hir cradel up fostred in the feith,And from hir cradel up fostred in the feith,u S u Su S ux S u S,u S u Su S ux S u S,and@conj from@prep hire@pron1%fem_gen cradel@n up@adv fostren@v%ppl in@prep the@def_art feith@n,and@conj from@prep hire@pron1%fem_gen cradel@n up@adv fostren@v%ppl in@prep the@def_art feith@n,
"Of Crist, and bar his gospel in hir mynde.","Of Crist, and bar his gospel in hir minde;",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 123,,10,10,Of Crist and bar his gospel in hir mynde,Of Crist and bar his gospel in hir minde,u S u S u Su S u Sx,u S u S u Su S u Sx,of@prep crist@n#propn and@conj beren@v1%pt_3 his@pron1%gen gospel@n in@prep hire@pron1%fem_gen minde@n1,of@prep crist@n#propn and@conj beren@v1%pt_3 his@pron1%gen gospel@n in@prep hire@pron1%fem_gen minde@n1,
"She nevere cessed, as I writen fynde","She never cessed, as I writen finde",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 124,,10,10,She nevere cessed as I writen fynde,She never cessed as I writen finde,x uSu Su S u Su Sx,u Su Su S u Su Sx,she@pron%nom never@adv cesen@v%pt_3 as@conj ich@pron%nom writen@v%ppl_abs finden@v%pr_1,she@pron%nom never@adv cesen@v%pt_3 as@conj ich@pron%nom writen@v%ppl_abs finden@v%pr_1,
Of hir preyere and God to love and drede,"Of hir preyere, and God to love and drede",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 125,,10,10,Of hir preyere and God to love and drede,Of hir preyere and God to love and drede,u S uSx u S u Sx u Sx,u S uSx u S u Sx u Sx,of@prep hire@pron1%fem_gen preiere@n2 and@conj god@n1#propn to@part loven@v1%inf and@conj dreden@v%inf,of@prep hire@pron1%fem_gen preiere@n2 and@conj god@n1#propn to@part loven@v1%inf and@conj dreden@v%inf,
Bisekynge hym to kepe hir maydenhede.,Biseking him to kepe hir maidenhede.°,data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 126,,10,10,Bisekynge hym to kepe hir maydenhede,Biseking him to kepe hir maidenhede,uSux S u Sx u SuSx,uSu S u Sx u SuSx,bisechen@v%prp_abs him@pron%obj to@part kepen@v%inf hire@pron1%fem_gen maidenhede@n,bisechen@v%prp_abs him@pron%obj to@part kepen@v%inf hire@pron1%fem_gen maidenhede@n,
And whan this mayden sholde unto a man,And when this maiden sholde unto a man,data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 127,,10,10,And whan this mayden sholde unto a man,And when this maiden sholde unto a man,u S u Su Sx uS u S,u S u Su Sx uS u S,and@conj whan@adv&conj this@gram_adj maiden@n shulen@v1%pt_3 unto@prep a@indef_art man@n,and@conj whan@adv&conj this@gram_adj maiden@n shulen@v1%pt_3 unto@prep a@indef_art man@n,
"Ywedded be, that was ful yong of age","Ywedded be, that was ful yong of age",data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 128,,10,10,Ywedded be that was ful yong of age,Ywedded be that was ful yong of age,uSu S u S u S u Sx,uSu S u S u S u Sx,wedden@v%ppl ben@v%inf that@pron ben@v%pt_3 ful@adv yong@adj of@prep age@n,wedden@v%ppl ben@v%inf that@pron ben@v%pt_3 ful@adv yong@adj of@prep age@n,
Which that ycleped was Valerian,Which that ycleped° was Valerian,data/riverside_cats/SNT_riv.cat,data/oxford_txts/SNT_oxford.txt,data/csvs/SNT,The Second Nun's Tale 129,,10,10,Which that ycleped was Valerian,Which that ycleped was Valerian,u S uSu S uSuS,u S uSu S uSuS,which@pron that@pron clepen@v%ppl ben@v%pt_3 valerian@n2#propn,which@pron that@pron clepen@v%ppl ben@v%pt_3 valerian@n2#propn,
