OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Lordynges, ther is in Yorkshire, as I gesse","¶Lordings, ther is in Yorkshire, as I gesse,°",data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1709,,10,10,Lordynges ther is in Yorkshire as I gesse,Lordings ther is in Yorkshire as I gesse,uSx u S u Sux S u Sx,uS u S u Sux S u Sx,lordinge@n%pl ther@adv ben@v%pr_3 in@prep yorkshire@n#propn as@conj ich@pron%nom gessen@v%pr_1,lordinge@n%pl ther@adv ben@v%pr_3 in@prep yorkshire@n#propn as@conj ich@pron%nom gessen@v%pr_1,
A mersshy contree called Holdernesse,A mersshy° contree called Holdernesse,data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1710,,10,10,A mersshy contree called Holdernesse,A mersshy contree called Holdernesse,u Su Su Su SuSx,u Su Su Su SuSx,a@indef_art mershi@adj contree@n callen@v%ppl_abs holdernesse@n#propn,a@indef_art mershi@adj contree@n callen@v%ppl_abs holdernesse@n#propn,
In which ther wente a lymytour aboute,In which ther wente a limitour° aboute,data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1711,,10,10,In which ther wente a lymytour aboute,In which ther wente a limitour aboute,u S u Sx u SuS uSx,u S u Sx u SuS uSx,in@prep which@pron ther@adv wenden@v%pt_3 a@indef_art limitour@n abouten@adv,in@prep which@pron ther@adv wenden@v%pt_3 a@indef_art limitour@n abouten@adv,
"To preche, and eek to begge, it is no doute.","To preche, and eek to begge, it is no doute.°",data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1712,,10,10,To preche and eek to begge it is no doute,To preche and eek to begge it is no doute,u Sx u S u Sx u S u Sx,u Sx u S u Sx u S u Sx,to@part prechen@v%inf and@conj ek@adv to@part beggen@v%inf hit@pron ben@v%pr_3 no@gram_adj doute@n,to@part prechen@v%inf and@conj ek@adv to@part beggen@v%inf hit@pron ben@v%pr_3 no@gram_adj doute@n,
And so bifel that on a day this frere,"And so bifel,° that on a day° this frere",data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1713,,10,10,And so bifel that on a day this frere,And so bifel that on a day this frere,u S uS u S u S u Sx,u S uS u S u S u Sx,and@conj so@adv bifallen@v%pt_3 that@conj on@prep a@indef_art dai@n this@gram_adj frere@n,and@conj so@adv bifallen@v%pt_3 that@conj on@prep a@indef_art dai@n this@gram_adj frere@n,
Hadde preched at a chirche in his manere,Had preched at a chirche in his manere,data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1714,,10,10,Hadde preched at a chirche in his manere,Had preched at a chirche in his manere,ux Su S u Sx u S uSx,u Su S u Sx u S uSx,haven@v%pt_3 prechen@v%ppl at@prep a@indef_art chirche@n in@prep his@pron1%gen manere@n,haven@v%pt_3 prechen@v%ppl at@prep a@indef_art chirche@n in@prep his@pron1%gen manere@n,
"And specially, aboven every thyng","And specially, aboven every thing",data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1715,,10,10,And specially aboven every thyng,And specially aboven every thing,u SuSu Sux Sxu S,u SuSu Sux Sxu S,and@conj specialli@adv aboven@prep everi@pron_gram_adj thing@n,and@conj specialli@adv aboven@prep everi@pron_gram_adj thing@n,
Excited he the peple in his prechyng,Excited° he the peple in his preching,data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1716,,10,10,Excited he the peple in his prechyng,Excited he the peple in his preching,uSu S u Sx u S uS,uSu S u Sx u S uS,exciten@v%pt_3 he@pron1%nom the@def_art peple@n in@prep his@pron1%gen prechinge@ger,exciten@v%pt_3 he@pron1%nom the@def_art peple@n in@prep his@pron1%gen prechinge@ger,
"To trentals, and to yeve, for Goddes sake","To trentals,° and to yeve, for Goddes sake",data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1717,,10,10,To trentals and to yeve for Goddes sake,To trentals and to yeve for Goddes sake,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,to@prep trentale@n%pl and@conj to@part yeven@v%inf for@prep god@n1#propn%gen sake@n,to@prep trentale@n%pl and@conj to@part yeven@v%inf for@prep god@n1#propn%gen sake@n,
Wherwith men myghte hooly houses make,Wherwith° men mighten holy houses° make,data/riverside_cats/SumT_riv.cat,data/oxford_txts/SumT_oxford.txt,data/csvs/SumT,The Summoner's Tale 1718,DIFF,10,10,Wherwith men myghte hooly houses make,Wherwith men mighten holy houses make,uS u Su Su Su Sx,uS u Su Su Su Sx,wher-with@adv man@n%pl mouen@v3%pt_pl holi@adj2 hous@n%pl maken@v1%inf,wher-with@adv man@n%pl  holi@adj2 hous@n%pl maken@v1%inf,
