OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Aprochen gan the fatal destyne,Aprochen gan the fatal destinee,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 1,,9,10,Aprochen gan the fatal destyne,Aprochen gan the fatal destinee,SuS u S uS uSx,uSu S u Su SuS,approchen@v%inf ginnen@v%pt_3 the@def_art fatal@adj destine@n,approchen@v%inf ginnen@v%pt_3 the@def_art fatal@adj destine@n,
That Joves hath in disposicioun,That Joves hath in disposicioun,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 2,,10,10,That Joves hath in disposicioun,That Joves hath in disposicioun,u Su S u SuSuS,u Su S u SuSuS,that@pron jove@n#propn haven@v%pr_3 in@prep disposicioun@n,that@pron jove@n#propn haven@v%pr_3 in@prep disposicioun@n,
"And to yow, angry Parcas, sustren thre","And to yow, angry Parcas, sustren three",data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 3,,10,10,And to yow angry Parcas sustren thre,And to yow angry Parcas sustren three,u S u Su Su Su S,u S u Su Su Su S,and@conj to@prep you@pron%pl_obj angri@adj parcas@n#propn%pl suster@n%pl thre@num_adj,and@conj to@prep you@pron%pl_obj angri@adj parcas@n#propn%pl suster@n%pl thre@num_adj,
Committeth to don execucioun;,"Committeth, to don execucioun;",data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 4,,10,10,Committeth to don execucioun,Committeth to don execucioun,uSu S u SuSuS,uSu S u SuSuS,committen@v%pr_3 to@part don@v1%inf execucioun@n,committen@v%pr_3 to@part don@v1%inf execucioun@n,
For which Criseyde moste out of the town,For which Criseyde moste out of the toun,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 5,,10,10,For which Criseyde moste out of the town,For which Criseyde moste out of the toun,u S uSu Sx u S u S,u S uSu Sx u S u S,for@prep which@pron criseyde@n#propn moten@v2%pt_3 oute@adv#prep of@prep the@def_art toun@n,for@prep which@pron criseyde@n#propn moten@v2%pt_3 oute@adv#prep of@prep the@def_art toun@n,
And Troilus shal dwellen forth in pyne,And Troilus shal dwelle forth in pine,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 6,DIFF,10,10,And Troilus shal dwellen forth in pyne,And Troilus shal dwelle forth in pine,u SuS u Su S u Sx,u SuS u Su S u Sx,and@conj troilus@n#propn shulen@v1%pr_3 dwellen@v%inf forth@adv in@prep pine@n1,and@conj troilus@n#propn shulen@v1%pr_3  forth@adv in@prep pine@n1,
Til Lachesis his thred no lenger twyne.,Til Lachesis his threed no lenger twine.—,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 7,,10,10,Til Lachesis his thred no lenger twyne,Til Lachesis his threed no lenger twine,u SuS u S u Su Sx,u SuS u S u Su Sx,til@conj lachesis@n#propn his@pron1%gen threde@n no@adv lengere@adv%comp twinen@v%pr_3,til@conj lachesis@n#propn his@pron1%gen threde@n no@adv lengere@adv%comp twinen@v%pr_3,
The gold-tressed Phebus heighe on-lofte,The golden-tressed Phebus heighe on lofte,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 8,DIFF,9,10,The goldtressed Phebus heighe onlofte,The goldentressed Phebus heighe on lofte,S uSu Su Sx uSx,u SuSu Su Sx u Sx,the@def_art gold-tressed@adj phebus@n#propn heighe@adv on-lofte@adv,the@def_art  phebus@n#propn heighe@adv  ,
Thries hadde alle with his bemes cleene,Thryës hadde al with his bemes shene,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 9,DIFF,10,0,Thries hadde alle with his bemes cleene,Thrys hadde al with his bemes shene,uS ux Su S u Su Sx,      ,thrice@adv haven@v%pt_3 al@gram_adj with@prep his@pron1%gen bem@n%pl clene@adj,thrice@adv haven@v%pt_3 al@gram_adj with@prep his@pron1%gen bem@n%pl ,
"The snowes molte, and Zepherus as ofte","The snowes molte, and Zephirus as ofte",data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 10,,10,10,The snowes molte and Zepherus as ofte,The snowes molte and Zephirus as ofte,u Su Sx u SuS u Sx,u Su Sx u SuS u Sx,the@def_art snou@n%pl melten@v%ppl and@conj zeferus@n as@conj ofte@adv,the@def_art snou@n%pl melten@v%ppl and@conj zeferus@n as@conj ofte@adv,
Ibrought ayeyn the tendre leves grene,Ybrought ayein the tendre leves grene,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 11,,10,10,Ibrought ayeyn the tendre leves grene,Ybrought ayein the tendre leves grene,uS uS u Su Su Sx,uS uS u Su Su Sx,ibringen@v%ppl ayen@adv the@def_art tender@adj lef@n1%pl grene@adj,ibringen@v%ppl ayen@adv the@def_art tender@adj lef@n1%pl grene@adj,
Syn that the sone of Ecuba the queene,Sin that the sone of Ecuba the quene,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 12,,10,10,Syn that the sone of Ecuba the queene,Sin that the sone of Ecuba the quene,u S u Sx u SuS u Sx,u S u Sx u SuS u Sx,sin@conj that@part the@def_art sone@n of@prep ecuba@n#propn the@def_art quene@n2,sin@conj that@part the@def_art sone@n of@prep ecuba@n#propn the@def_art quene@n2,
Bigan to love hire first for whom his sorwe,"Bigan to love hir first, for whom his sorwe",data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 13,,10,10,Bigan to love hire first for whom his sorwe,Bigan to love hir first for whom his sorwe,uS u Sx ux S u S u Sx,uS u Sx u S u S u Sx,biginnen@v%pt_3 to@part loven@v1%inf hire@pron2%fem_obj first@adv for@prep whom@pron%obj his@pron1%gen sorwe@n,biginnen@v%pt_3 to@part loven@v1%inf hire@pron2%fem_obj first@adv for@prep whom@pron%obj his@pron1%gen sorwe@n,
"Was al, that she departe sholde a-morwe.","Was al, that she departe sholde amorwe.",data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 14,,10,10,Was al that she departe sholde amorwe,Was al that she departe sholde amorwe,u S u S uSu Sx uSx,u S u S uSu Sx uSx,ben@v%pt_3 al@gram_adjas_n that@conj she@pron%nom departen@v%inf shulen@v1%pt_3 amorwen@adv,ben@v%pt_3 al@gram_adjas_n that@conj she@pron%nom departen@v%inf shulen@v1%pt_3 amorwen@adv,
Ful redy was at prime Diomede,Ful redy was at prime Diomede,data/riverside_cats/TC5_riv.cat,data/oxford_txts/TC5_oxford.txt,data/csvs/TC5,Troilus and Criseyde; Book V 15,,10,10,Ful redy was at prime Diomede,Ful redy was at prime Diomede,u Su S u Su SuSx,u Su S u Su SuSx,ful@adv redi@adj3 ben@v%pt_3 at@prep prime@n diomede@n#propn,ful@adv redi@adj3 ben@v%pt_3 at@prep prime@n diomede@n#propn,
