headword,weak_forms,spelled,spelled_elided,unspelled,unspelled_elided,final,total,unelided_pct,overall_pct
bel,['bele'],3,0,0,0,0,3,100.0,100.0
blak,['blake'],4,0,0,0,0,4,100.0,100.0
bleu,['blewe'],1,0,0,0,0,1,100.0,100.0
blind,['blinde'],1,2,0,0,1,4,100.0,100.0
bon,['bon'],0,0,1,0,0,1,0.0,0.0
bright,"['brighte', 'bright']",11,0,5,0,3,19,68.75,68.75
brod,['brode'],2,0,0,0,0,2,100.0,100.0
cler,['clere'],1,0,0,0,0,1,100.0,100.0
cold,['colde'],7,0,0,0,2,9,100.0,100.0
ded,['dede'],6,0,0,0,0,6,100.0,100.0
dep,['depe'],2,1,0,0,0,3,100.0,100.0
derk,"['derk', 'derke']",7,1,1,0,0,9,87.5,88.89
fair,"['fair', 'faire']",19,3,1,0,1,24,95.0,95.65
fals,"['fals', 'false']",24,3,2,0,0,29,92.31,93.1
fel,['felle'],1,0,0,0,0,1,100.0,100.0
fers,"['fers', 'fierse', 'fiers']",2,1,0,2,0,5,100.0,60.0
fin,['fin'],0,0,1,0,0,1,0.0,0.0
fix,['fixe'],0,1,0,0,0,1,NA,100.0
foul,"['foule', 'foul']",7,1,1,0,0,9,87.5,88.89
fre,['free'],1,0,0,0,1,2,100.0,100.0
fresh,"['fresh', 'fresshe']",14,0,0,1,0,15,100.0,93.33
ful,"['fulle', 'ful']",1,1,1,0,0,3,50.0,66.67
gai,['gaye'],1,0,0,0,0,1,100.0,100.0
glad,"['gladde', 'glade']",3,0,0,0,0,3,100.0,100.0
god,"['good', 'gode', 'goode']",11,2,3,1,0,17,78.57,76.47
graunt,['grant'],0,0,1,0,0,1,0.0,0.0
grek,['greek'],0,0,2,0,0,2,0.0,0.0
gret,"['gret', 'grete']",34,7,0,3,1,45,100.0,93.18
hard,['harde'],2,0,0,0,0,2,100.0,100.0
heigh,"['hyest', 'heigh', 'hye', 'heighe']",16,0,3,0,0,19,84.21,84.21
hot,['hote'],8,0,0,0,0,8,100.0,100.0
lef,['leve'],9,0,0,0,0,9,100.0,100.0
lift,['left'],0,0,1,0,0,1,0.0,0.0
loud,['loude'],2,0,0,0,0,2,100.0,100.0
loue,['lowe'],1,0,0,0,0,1,100.0,100.0
neigh,['nye'],2,0,0,0,0,2,100.0,100.0
neue,"['newe', 'new']",17,0,1,0,0,18,94.44,94.44
north,['north'],0,0,1,0,0,1,0.0,0.0
ouen,"['own', 'owne', 'awen', 'owene', 'owen']",52,2,4,0,0,58,92.86,93.1
plat,['platte'],1,0,0,0,0,1,100.0,100.0
proud,['proude'],1,0,0,0,0,1,100.0,100.0
quik,"['quikkest', 'quike']",1,0,1,0,0,2,50.0,50.0
red,"['rede', 'red']",2,0,1,0,3,6,66.67,66.67
right,"['righte', 'right']",10,0,2,0,0,12,83.33,83.33
salt,['salte'],1,0,0,0,0,1,100.0,100.0
self,['selve'],7,0,0,0,0,7,100.0,100.0
sharp,"['sharp', 'sharpe']",3,0,0,1,0,4,100.0,75.0
short,['shorte'],2,0,0,0,0,2,100.0,100.0
sik,"['sik', 'sike']",8,2,0,1,0,11,100.0,90.91
slak,['slakke'],1,0,0,0,0,1,100.0,100.0
sleigh,['slye'],0,0,0,0,1,1,NA,NA
smal,['smale'],4,0,0,0,0,4,100.0,100.0
soth,['sooth'],0,0,0,1,0,1,NA,0.0
streight,['streighte'],1,0,0,0,0,1,100.0,100.0
strong,['stronge'],6,0,0,0,2,8,100.0,100.0
treu,['trewe'],6,2,0,0,0,8,100.0,100.0
troian,"['troyane', 'troyan']",1,0,1,2,0,4,50.0,25.0
west,['west'],0,0,4,0,0,4,0.0,0.0
whit,['white'],8,0,0,0,0,8,100.0,100.0
wid,['wide'],5,0,0,0,0,5,100.0,100.0
yong,['yonge'],14,0,0,0,0,14,100.0,100.0
