OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Almighty and al merciable queene,Almihty and al merciable° queene,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 1,DIFF,10,10,Almighty and al merciable queene,Almihty and al merciable queene,uSu S u SuSu Sx,uSu S u SuSu Sx,al-mighti@adj and@conj al@adv merciable@adj quene@n2,al-mighti@adj and@conj al@adv merciable@adj quene@n2,green
To whom that al this world fleeth for socour,To whom that al° this world fleeth° for socour,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 2,,10,10,To whom that al this world fleeth for socour,To whom that al this world fleeth for socour,u S u S u S u S uS,u S u S u S u S uS,to@prep whom@pron%obj that@pron al@gram_adj this@gram_adj world@n flen@v1%pr_3 for@prep socour@n,to@prep whom@pron%obj that@pron al@gram_adj this@gram_adj world@n flen@v1%pr_3 for@prep socour@n,
"To have relees of sinne, of sorwe, and teene","To have relees of sinne of sorwe° and tene,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 3,,10,10,To have relees of sinne of sorwe and teene,To have relees of sinne of sorwe and tene,u Sx uS u Sx u Sx u Sx,u Sx uS u Sx u Sx u Sx,to@part haven@v%inf reles@n2 of@prep sinne@n of@prep sorwe@n and@conj tene@n2,to@part haven@v%inf reles@n2 of@prep sinne@n of@prep sorwe@n and@conj tene@n2,
"Glorious virgine, of alle floures flour","Glorious virgine, of alle floures° flour,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 4,,10,10,Glorious virgine of alle floures flour,Glorious virgine of alle floures flour,uSu Sux S ux Su S,uSu Sux S ux Su S,glorious@adj virgin@n of@prep al@gram_adj flour@n1%pl flour@n1,glorious@adj virgin@n of@prep al@gram_adj flour@n1%pl flour@n1,
"To thee I flee, confounded in errour.","To thee I flee, confounded° in errour!",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 5,,10,10,To thee I flee confounded in errour,To thee I flee confounded in errour,u S u S uSu S uS,u S u S uSu S uS,to@prep the@pron2%obj ich@pron%nom flen@v1%pr_1 confounden@v%ppl_abs in@prep errour@n1,to@prep the@pron2%obj ich@pron%nom flen@v1%pr_1 confounden@v%ppl_abs in@prep errour@n1,
"Help and releeve, thou mighti debonayre","Help and releve,° thou mihti debonaire,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 6,DIFF,10,10,Help and releeve thou mighti debonayre,Help and releve thou mihti debonaire,u S uSx u Su SuSx,u S uSx u Su SuSx,helpen@v%imp and@conj releven@v%imp thou@pron%nom mighti@adj debonaire@n,helpen@v%imp and@conj releven@v%imp thou@pron%nom mighti@adj debonaire@n,green
Have mercy on my perilous langour.,Have mercy on my perilous langour!°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 7,,10,10,Have mercy on my perilous langour,Have mercy on my perilous langour,ux Su S u SuS uS,ux Su S u SuS uS,haven@v%imp merci@n1 on@prep min@pron%gen perilous@adj langour@n,haven@v%imp merci@n1 on@prep min@pron%gen perilous@adj langour@n,
Venquisshed me hath my cruel adversaire.,Venquisshed° me hath my cruel adversaire.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 8,,10,10,Venquisshed me hath my cruel adversaire,Venquisshed me hath my cruel adversaire,uSu x S u Su SuSx,uSu x S u Su SuSx,venquishen@v%ppl me@pron2%obj haven@v%pr_3 min@pron%gen cruel@adj adversaire@n,venquishen@v%ppl me@pron2%obj haven@v%pr_3 min@pron%gen cruel@adj adversaire@n,
Bountee so fix hath in thin herte his tente,"Bountee° so fix° hath in thin herte his tente,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 9,,10,10,Bountee so fix hath in thin herte his tente,Bountee so fix hath in thin herte his tente,uS u S u S u Sx u Sx,uS u S u S u Sx u Sx,bounte@n#propn so@adv fixen@v%ppl haven@v%pr_3 in@prep thin@pron%gen herte@n his@pron1%gen tente@n1,bounte@n#propn so@adv fixen@v%ppl haven@v%pr_3 in@prep thin@pron%gen herte@n his@pron1%gen tente@n1,
That wel I wot thou wolt my socour bee;,That wel I wot° thou wolt my socour° be,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 10,,10,10,That wel I wot thou wolt my socour bee,That wel I wot thou wolt my socour be,u S u S u S u Su S,u S u S u S u Su S,that@conj wel@adv ich@pron%nom witen@v1%pr_1 thou@pron%nom willen@v%pr_2 min@pron%gen socour@n ben@v%inf,that@conj wel@adv ich@pron%nom witen@v1%pr_1 thou@pron%nom willen@v%pr_2 min@pron%gen socour@n ben@v%inf,
Thou canst not warne him that with good entente,"Thou canst not warne° him that, with good entente,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 11,,10,10,Thou canst not warne him that with good entente,Thou canst not warne him that with good entente,u S u Sx u S u S uSx,u S u Sx u S u S uSx,thou@pron%nom connen@v%pr_2 not@adv wernen@v%inf him@pron%obj that@pron with@prep god@adj entente@n,thou@pron%nom connen@v%pr_2 not@adv wernen@v%inf him@pron%obj that@pron with@prep god@adj entente@n,
"Axeth thin helpe, thin herte is ay so free.","Axeth° thin help. Thin herte is ay so free,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 12,,10,10,Axeth thin helpe thin herte is ay so free,Axeth thin help Thin herte is ay so free,uS u Sx u Sx u S u S,uS u S u Sx u S u S,asken@v%pr_3 thin@pron%gen help@n thin@pron%gen herte@n ben@v%pr_3 ai@adv so@adv fre@adj,asken@v%pr_3 thin@pron%gen help@n thin@pron%gen herte@n ben@v%pr_3 ai@adv so@adv fre@adj,
