OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Sire Clerk of Oxenford,"""" oure Hooste sayde","¶“Sir Clerk of Oxenford,” our Hoste saide",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 1,,10,10,Sire Clerk of Oxenford oure Hooste sayde,Sir Clerk of Oxenford our Hoste saide,ux S u SuS ux Su Sx,u S u SuS u Su Sx,sire@n#adj clerk@n of@prep oxenford@n#propn oure@pron%pl_gen hoste@n2 seien@v1%pt_3,sire@n#adj clerk@n of@prep oxenford@n#propn oure@pron%pl_gen hoste@n2 seien@v1%pt_3,
Ye ryde as coy and stille as dooth a mayde,"“Ye ride as coy° and stille° as dooth a maide,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 2,,10,10,Ye ryde as coy and stille as dooth a mayde,Ye ride as coy and stille as dooth a maide,u Sx u S u Sx u S u Sx,u Sx u S u Sx u S u Sx,ye@pron%pl_nom riden@v%pr_pl as@conj coi@adj and@conj stille@adv as@conj don@v1%pr_3 a@indef_art maide@n,ye@pron%pl_nom riden@v%pr_pl as@conj coi@adj and@conj stille@adv as@conj don@v1%pr_3 a@indef_art maide@n,
"Were newe spoused, sittynge at the bord;","Were° newe spoused,° sitting at the bord;°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 3,,10,10,Were newe spoused sittynge at the bord,Were newe spoused sitting at the bord,ux Sx uS uSu S u S,ux Su Su Su S u S,ben@v%pt_3 neue@adv spousen@v%ppl sitten@v%prp_abs at@prep the@def_art bord@n,ben@v%pt_3 neue@adv spousen@v%ppl sitten@v%prp_abs at@prep the@def_art bord@n,
This day ne herde I of youre tonge a word.,This day ne herde I of your tonge a word.,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 4,,10,10,This day ne herde I of youre tonge a word,This day ne herde I of your tonge a word,u S u Sx u S ux Sx u S,u S u Sx u S u Sx u S,this@gram_adj dai@n ne@adv heren@v%pt_1 ich@pron%nom of@prep your@pron%pl_gen tonge@n2 a@indef_art word@n,this@gram_adj dai@n ne@adv heren@v%pt_1 ich@pron%nom of@prep your@pron%pl_gen tonge@n2 a@indef_art word@n,
I trowe ye studie aboute som sophyme;,"I trowe° ye studie aboute som sophime,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 5,,10,10,I trowe ye studie aboute som sophyme,I trowe ye studie aboute som sophime,u Sx u Su Sux S uSx,u Sx u Su Sux S uSx,ich@pron%nom trouen@v%pr_1 ye@pron%pl_nom studien@v%pr_pl abouten@prep som@gram_adj sophime@n,ich@pron%nom trouen@v%pr_1 ye@pron%pl_nom studien@v%pr_pl abouten@prep som@gram_adj sophime@n,
But Salomon seith `every thyng hath tyme.',"But Salomon seith, ‘Every thing hath time.’",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 6,,10,10,But Salomon seith every thyng hath tyme,But Salomon seith Every thing hath time,u SuS u Sxu S u Sx,u SuS u Sxu S u Sx,but@conj salomon@n#propn seien@v1%pr_3 everi@pron_gram_adj thing@n haven@v%pr_3 time@n,but@conj salomon@n#propn seien@v1%pr_3 everi@pron_gram_adj thing@n haven@v%pr_3 time@n,
"For Goddes sake, as beth of bettre cheere!","For Goddes sake, as beth of bettre chere",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 7,,10,10,For Goddes sake as beth of bettre cheere,For Goddes sake as beth of bettre chere,u Su Sx u S u Su Sx,u Su Sx u S u Su Sx,for@prep god@n1#propn%gen sake@n as@conj ben@v%imp of@prep bettre@adj%comp chere@n1,for@prep god@n1#propn%gen sake@n as@conj ben@v%imp of@prep bettre@adj%comp chere@n1,
It is no tyme for to studien heere.,It is no time for to studien here.,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 8,,10,10,It is no tyme for to studien heere,It is no time for to studien here,u S u Sx u S uSu Sx,u S u Sx u S uSu Sx,hit@pron ben@v%pr_3 no@gram_adj time@n for@prep#adv to@part studien@v%inf her@adv,hit@pron ben@v%pr_3 no@gram_adj time@n for@prep#adv to@part studien@v%inf her@adv,
"Telle us som myrie tale, by youre fey!","Telle us som mery tale, by your fey;",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 9,,10,10,Telle us som myrie tale by youre fey,Telle us som mery tale by your fey,ux S u Su Sx u Su S,ux S u Su Su S u S,tellen@v%imp us@pron%pl_obj som@gram_adj mirie@adj tale@n bi@prep your@pron%pl_gen feith@n,tellen@v%imp us@pron%pl_obj som@gram_adj mirie@adj tale@n bi@prep your@pron%pl_gen feith@n,
For what man that is entred in a pley,"For what man that is entred in a pley,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 10,,10,10,For what man that is entred in a pley,For what man that is entred in a pley,u S u S u Su S u S,u S u S u Su S u S,for@conj what@gram_adj man@n that@pron ben@v%pr_3 entren@v%ppl in@prep a@indef_art pleie@n,for@conj what@gram_adj man@n that@pron ben@v%pr_3 entren@v%ppl in@prep a@indef_art pleie@n,
