OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"This worthy lymytour, this noble Frere","¶This worthy limitour,° this noble Frere",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1265,,10,10,This worthy lymytour this noble Frere,This worthy limitour this noble Frere,u Su SuS u Su Sx,u Su SuS u Su Sx,this@gram_adj worthi@adj limitour@n this@gram_adj noble@adj frere@n,this@gram_adj worthi@adj limitour@n this@gram_adj noble@adj frere@n,
He made alwey a maner louryng chiere,He made alwey a maner louring chere°,data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1266,,10,10,He made alwey a maner louryng chiere,He made alwey a maner louring chere,u Sx uS u Sx uS uSx,u Sx uS u Su Su Sx,he@pron1%nom maken@v1%pt_3 al-wei@adv a@indef_art manere@n#adj louren@v#adj%prp chere@n1,he@pron1%nom maken@v1%pt_3 al-wei@adv a@indef_art manere@n#adj louren@v#adj%prp chere@n1,
"Upon the Somonour, but for honestee","Upon the Somnour, but for honestee°",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1267,,10,10,Upon the Somonour but for honestee,Upon the Somnour but for honestee,uS u SuS u S uxS,uS u Su S u SuS,upon@prep the@def_art somnour@n but@conj for@prep honeste@n,upon@prep the@def_art somnour@n but@conj for@prep honeste@n,
No vileyns word as yet to hym spak he.,No vileins° word as yet to him spak he.,data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1268,,10,10,No vileyns word as yet to hym spak he,No vileins word as yet to him spak he,u Su S u S u S u S,u Su S u S u S u S,no@gram_adj vileinous@adj word@n as@conj yet@adv to@prep him@pron%obj speken@v%pt_3 he@pron1%nom,no@gram_adj vileinous@adj word@n as@conj yet@adv to@prep him@pron%obj speken@v%pt_3 he@pron1%nom,
But atte laste he seyde unto the wyf,But atte laste he seide unto the Wif,data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1269,,10,10,But atte laste he seyde unto the wyf,But atte laste he seide unto the Wif,u Su Sx u Sx uS u S,u Su Sx u Sx uS u S,but@conj atte@prep laste@adj#n%sup he@pron1%nom seien@v1%pt_3 unto@prep the@def_art wif@n,but@conj atte@prep laste@adj#n%sup he@pron1%nom seien@v1%pt_3 unto@prep the@def_art wif@n,
"Dame,"""" quod he, """"God yeve yow right good lyf!","“Dame,” quod he, “God yeve yow right good lif!",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1270,,9,9,Dame quod he God yeve yow right good lyf,Dame quod he God yeve yow right good lif,Sx u S u Sx u S u S,Sx u S u Sx u S u S,dame@n quethen@v%pt_3 he@pron1%nom god@n1#propn yeven@v%pr_3 you@pron%pl_obj righte@adv god@adj lif@n,dame@n quethen@v%pt_3 he@pron1%nom god@n1#propn yeven@v%pr_3 you@pron%pl_obj righte@adv god@adj lif@n,
"Ye han heer touched, also moot I thee","Ye han heer touched,° also moot I thee,°",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1271,,10,10,Ye han heer touched also moot I thee,Ye han heer touched also moot I thee,u S u Su Su S u S,u S u Su Su S u S,ye@pron%pl_nom haven@v%pr_pl her@adv touchen@v%ppl as@conj moten@v2%pr_1 ich@pron%nom then@v%inf,ye@pron%pl_nom haven@v%pr_pl her@adv touchen@v%ppl as@conj moten@v2%pr_1 ich@pron%nom then@v%inf,
In scole-matere greet difficultee.,In scole-matere° greet difficultee;,data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1272,,10,10,In scolematere greet difficultee,In scolematere greet difficultee,u SuSux S uSuS,u SuSux S uSuS,in@prep scole-matere@n gret@adj difficulte@n,in@prep scole-matere@n gret@adj difficulte@n,
"Ye han seyd muche thyng right wel, I seye;","Ye han seid muche thing right wel, I seye;",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1273,,10,10,Ye han seyd muche thyng right wel I seye,Ye han seid muche thing right wel I seye,u S u Su S u S u S,u S u Su S u S u S,ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl muche@adj thing@n righte@adv wel@adv ich@pron%nom seien@v1%pr_1,ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl muche@adj thing@n righte@adv wel@adv ich@pron%nom seien@v1%pr_1,
"But, dame, heere as we ryde by the weye","But dame, heere as we riden by the weye",data/riverside_cats/FriPro_riv.cat,data/oxford_txts/FriPro_oxford.txt,data/csvs/FriPro,The Friar's Prologue 1274,DIFF,10,10,But dame heere as we ryde by the weye,But dame heere as we riden by the weye,u Sx ux S u Su S u S,u Sx ux S u Su S u S,but@conj dame@n her@adv as@conj we@pron%pl_nom riden@v%pr_pl bi@prep the@def_art wei@n,but@conj dame@n her@adv as@conj we@pron%pl_nom riden@v%pr_pl bi@prep the@def_art wei@n,green
