OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whan that the Knyght had thus his tale ytoold,¶Whan that the Knight had thus his tale ytold,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3109,,10,10,Whan that the Knyght had thus his tale ytoold,Whan that the Knight had thus his tale ytold,u S u S u S u Sx uS,u S u S u S u Sx uS,whan@adv&conj that@part the@def_art knight@n haven@v%pt_3 thus@adv his@pron1%gen tale@n itellen@v%ppl,whan@adv&conj that@part the@def_art knight@n haven@v%pt_3 thus@adv his@pron1%gen tale@n itellen@v%ppl,
In al the route nas ther yong ne oold,In al the route° nas° ther yong ne old,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3110,,10,10,In al the route nas ther yong ne oold,In al the route nas ther yong ne old,u S u Su S u S u S,u S u Su S u S u S,in@prep al@gram_adj the@def_art route@n1 ben@v%pt_3_neg ther@adv yong@adj ne@conj1 olde@adj,in@prep al@gram_adj the@def_art route@n1 ben@v%pt_3_neg ther@adv yong@adj ne@conj1 olde@adj,
That he ne seyde it was a noble storie,That he ne seide it was a noble storie,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3111,,0,0,That he ne seyde it was a noble storie,That he ne seide it was a noble storie,"        ",u S u S u S u Su Sux,that@conj he@pron1%nom ne@adv seien@v1%pt_3 hit@pron ben@v%pt_3 a@indef_art noble@adj storie@n1,that@conj he@pron1%nom ne@adv seien@v1%pt_3 hit@pron ben@v%pt_3 a@indef_art noble@adj storie@n1,green
And worthy for to drawen to memorie,And worthy for to drawen to memorie;°,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3112,,10,10,And worthy for to drawen to memorie,And worthy for to drawen to memorie,u Su S u Su S uS,u Su S u Su S uS,and@conj worthi@adj for@prep#adv to@part drauen@v%inf to@prep memorie@n,and@conj worthi@adj for@prep#adv to@part drauen@v%inf to@prep memorie@n,
And namely the gentils everichon.,And namely° the gentils° everichon.°,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3113,,10,10,And namely the gentils everichon,And namely the gentils everichon,u SuS u Su SxuS,u SuS u Su SxuS,and@conj nameli@adv the@def_art gentil@n%pl everich-on@pron,and@conj nameli@adv the@def_art gentil@n%pl everich-on@pron,
"Oure Hooste lough and swoor, """"So moot I gon","Our Hoste lough° and swoor, “So moot I gon",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3114,,10,10,Oure Hooste lough and swoor So moot I gon,Our Hoste lough and swoor So moot I gon,ux Su S u S u S u S,u Su S u S u S u S,oure@pron%pl_gen hoste@n2 laughen@v%pt_3 and@conj sweren@v%pt_3 so@adv moten@v2%pr_1 ich@pron%nom gon@v%inf,oure@pron%pl_gen hoste@n2 laughen@v%pt_3 and@conj sweren@v%pt_3 so@adv moten@v2%pr_1 ich@pron%nom gon@v%inf,
This gooth aright; unbokeled is the male.,This gooth aright; unbokeled is the male;°,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3115,,10,10,This gooth aright unbokeled is the male,This gooth aright unbokeled is the male,u S uS uSux S u Sx,u S uS uSux S u Sx,this@pron gon@v%pr_3 a-right@adv unbokelen@v%ppl ben@v%pr_3 the@def_art male@n2,this@pron gon@v%pr_3 a-right@adv unbokelen@v%ppl ben@v%pr_3 the@def_art male@n2,
Lat se now who shal telle another tale;,Lat see now who shal telle another tale:,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3116,,10,10,Lat se now who shal telle another tale,Lat see now who shal telle another tale,u S u S u Sx uSu Sx,u S u S u Sx uSu Sx,leten@v%imp sen@v1%inf nou@adv who@pron%nom shulen@v1%pr_3 tellen@v%inf another@gram_adj tale@n,leten@v%imp sen@v1%inf nou@adv who@pron%nom shulen@v1%pr_3 tellen@v%inf another@gram_adj tale@n,
For trewely the game is wel bigonne.,"For trewely, the game is wel bigonne.",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3117,,10,10,For trewely the game is wel bigonne,For trewely the game is wel bigonne,u SuS u Sx u S uSx,u SuS u Sx u S uSx,for@conj treuli@adv the@def_art game@n ben@v%pr_3 wel@adv biginnen@v%ppl,for@conj treuli@adv the@def_art game@n ben@v%pr_3 wel@adv biginnen@v%ppl,
"Now telleth ye, sir Monk, if that ye konne","Now telleth ye, sir Monk, if that ye conne,°",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3118,,10,10,Now telleth ye sir Monk if that ye konne,Now telleth ye sir Monk if that ye conne,u Su S u S u S u Sx,u Su S u S u S u Sx,nou@adv tellen@v%pr_pl ye@pron%pl_nom sire@n#adj monk@n if@conj that@part ye@pron%pl_nom connen@v%pr_pl,nou@adv tellen@v%pr_pl ye@pron%pl_nom sire@n#adj monk@n if@conj that@part ye@pron%pl_nom connen@v%pr_pl,
Somwhat to quite with the Knyghtes tale.,"Somwhat, to quite° with the Knightes tale.”",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3119,,10,10,Somwhat to quite with the Knyghtes tale,Somwhat to quite with the Knightes tale,uS u Su S u Su Sx,uS u Su S u Su Sx,som-what@pron to@part quiten@v%inf with@prep the@def_art knight@n%gen tale@n,som-what@pron to@part quiten@v%inf with@prep the@def_art knight@n%gen tale@n,
"The Millere, that for dronken was al pale","¶The Miller, that fordronken° was al pale",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3120,DIFF,10,10,The Millere that for dronken was al pale,The Miller that fordronken was al pale,u Sux S u Su S u Sx,u Su S uSu S u Sx,the@def_art milnere@n that@pron for@prep dronken@ppl#adj_n ben@v%pt_3 al@adv pale@adj,the@def_art milnere@n that@pron fordronken@ppl#adj_n ben@v%pt_3 al@adv pale@adj,green
So that unnethe upon his hors he sat,So that unnethe° upon his hors he sat,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3121,,10,10,So that unnethe upon his hors he sat,So that unnethe upon his hors he sat,u S uSx uS u S u S,u S uSx uS u S u S,so@adv that@conj unethe@adv upon@prep his@pron1%gen hors@n he@pron1%nom sitten@v%pt_3,so@adv that@conj unethe@adv upon@prep his@pron1%gen hors@n he@pron1%nom sitten@v%pt_3,
He nolde avalen neither hood ne hat,He nolde avalen° neither hood ne hat,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3122,,10,10,He nolde avalen neither hood ne hat,He nolde avalen neither hood ne hat,u Sx uSu Su S u S,u Sx uSu Su S u S,he@pron1%nom willen@v%pt_3_neg avalen@v%inf neither@conj hod@n ne@conj1 hat@n,he@pron1%nom willen@v%pt_3_neg avalen@v%inf neither@conj hod@n ne@conj1 hat@n,
Ne abyde no man for his curteisie,Ne abide° no man for his curteisie,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3123,,10,10,Ne abyde no man for his curteisie,Ne abide no man for his curteisie,u Sux S u S u SuS,u Sux S u S u SuS,ne@conj1 abiden@v%inf no@gram_adj man@n for@prep his@pron1%gen courteisie@n,ne@conj1 abiden@v%inf no@gram_adj man@n for@prep his@pron1%gen courteisie@n,
But in Pilates voys he gan to crie,But in Pilates vois he gan to crie,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3124,,10,10,But in Pilates voys he gan to crie,But in Pilates vois he gan to crie,u S uSu S u S u S,u S uSu S u S u S,but@conj in@prep pilate@n#propn%gen voice@n he@pron1%nom ginnen@v%pt_3 to@part crien@v%inf,but@conj in@prep pilate@n#propn%gen voice@n he@pron1%nom ginnen@v%pt_3 to@part crien@v%inf,
"And swoor, """"By armes, and by blood and bones",And swoor by armes and by blood and bones,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3125,,10,10,And swoor By armes and by blood and bones,And swoor by armes and by blood and bones,u S u Su S u S u Sx,u S u Su S u S u Sx,and@conj sweren@v%pt_3 bi@prep arm@n%pl and@conj bi@prep blod@n1 and@conj bon@n1%pl,and@conj sweren@v%pt_3 bi@prep arm@n%pl and@conj bi@prep blod@n1 and@conj bon@n1%pl,
I kan a noble tale for the nones,"“I can° a noble tale for the nones,°",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3126,,10,10,I kan a noble tale for the nones,I can a noble tale for the nones,u S u Su Sx u S uS,u S u Su Sx u S uS,ich@pron%nom connen@v%pr_1 a@indef_art noble@adj tale@n for@prep the@def_art nones@n1,ich@pron%nom connen@v%pr_1 a@indef_art noble@adj tale@n for@prep the@def_art nones@n1,
With which I wol now quite the Knyghtes tale.,With which I wol now quit° the Knightes tale.”,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3127,,10,10,With which I wol now quite the Knyghtes tale,With which I wol now quit the Knightes tale,u S u S u Sx u Su Sx,u S u S u S u Su Sx,with@prep which@pron ich@pron%nom willen@v%pr_1 nou@adv quiten@v%inf the@def_art knight@n%gen tale@n,with@prep which@pron ich@pron%nom willen@v%pr_1 nou@adv quiten@v%inf the@def_art knight@n%gen tale@n,
Oure Hooste saugh that he was dronke of ale,Our Hoste saugh that he was dronke of ale,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3128,,10,10,Oure Hooste saugh that he was dronke of ale,Our Hoste saugh that he was dronke of ale,ux Su S u S u Sx u Sx,u Su S u S u Sx u Sx,oure@pron%pl_gen hoste@n2 sen@v1%pt_3 that@conj he@pron1%nom ben@v%pt_3 dronken@ppl#adj of@prep ale@n,oure@pron%pl_gen hoste@n2 sen@v1%pt_3 that@conj he@pron1%nom ben@v%pt_3 dronken@ppl#adj of@prep ale@n,
"And seyde, """"Abyd, Robyn, my leeve brother;","And seide: “Abid, Robin, my leve° brother",data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3129,,10,10,And seyde Abyd Robyn my leeve brother,And seide Abid Robin my leve brother,u Sx uS uS u Sx uS,u Sx uS uS u Sx uS,and@conj seien@v1%pt_3 abiden@v%imp robin@n2#propn min@pron%gen lef@adj brother@n,and@conj seien@v1%pt_3 abiden@v%imp robin@n2#propn min@pron%gen lef@adj brother@n,
Som bettre man shal telle us first another.,Som bettre man° shal telle us first another:,data/riverside_cats/MilPro_riv.cat,data/oxford_txts/MilPro_oxford.txt,data/csvs/MilPro,The Miller's Prologue 3130,,10,10,Som bettre man shal telle us first another,Som bettre man shal telle us first another,u Sx u S ux S u SuS,u Sx u S ux S u SuS,som@gram_adj bettre@adj%comp man@n shulen@v1%pr_3 tellen@v%inf us@pron%pl_obj first@adv another@pron,som@gram_adj bettre@adj%comp man@n shulen@v1%pr_3 tellen@v%inf us@pron%pl_obj first@adv another@pron,
