OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whan ended was my tale of Melibee,¶Whan ended was my tale of Melibee,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1889,,10,10,Whan ended was my tale of Melibee,Whan ended was my tale of Melibee,u Su S u Sx u SuS,u Su S u Sx u SuS,whan@adv&conj enden@v%ppl ben@v%pt_3 min@pron%gen tale@n of@prep melibee@n#propn,whan@adv&conj enden@v%ppl ben@v%pt_3 min@pron%gen tale@n of@prep melibee@n#propn,
And of Prudence and hire benignytee,"And of Prudence and hir benignitee,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1890,,10,10,And of Prudence and hire benignytee,And of Prudence and hir benignitee,u S uSx u Sx uSuS,u S uSx u S uSuS,and@conj of@prep prudence@n2#propn and@conj hire@pron1%fem_gen benignite@n,and@conj of@prep prudence@n2#propn and@conj hire@pron1%fem_gen benignite@n,
"Oure Hooste seyde, """"As I am feithful man","Our Hoste seide, “As I am faithful° man",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1891,,10,10,Oure Hooste seyde As I am feithful man,Our Hoste seide As I am faithful man,ux Su Sx u S u Su S,u Su Sx u S u Su S,oure@pron%pl_gen hoste@n2 seien@v1%pt_3 as@conj ich@pron%nom ben@v%pr_1 feithful@adj man@n,oure@pron%pl_gen hoste@n2 seien@v1%pt_3 as@conj ich@pron%nom ben@v%pr_1 feithful@adj man@n,
And by that precious corpus Madrian,"And by the precious corpus Madrian,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1892,DIFF,0,0,And by that precious corpus Madrian,And by the precious corpus Madrian,"     ","     ",and@conj bi@prep that@art&gram_adj preciouse@adj cors@n madrian@n#propn,and@conj bi@prep the@def_art preciouse@adj cors@n madrian@n#propn,green
I hadde levere than a barel ale,I hadde lever° than a barel ale,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1893,,10,10,I hadde levere than a barel ale,I hadde lever than a barel ale,u Sx uSu S u Su Sx,u Su Su S u Su Sx,ich@pron%nom haven@v%pt_3 lef@adj%comp than@conj a@indef_art barel@n ale@n,ich@pron%nom haven@v%pt_3 lef@adj%comp than@conj a@indef_art barel@n ale@n,
"That Goodelief, my wyf, hadde herd this tale!",That Goodelief my wif had herd this tale!,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1894,,10,10,That Goodelief my wyf hadde herd this tale,That Goodelief my wif had herd this tale,u SuS u S ux S u Sx,u SuS u S u S u Sx,that@conj goodelief@n#propn min@pron%gen wif@n haven@v%pt_3 heren@v%ppl this@gram_adj tale@n,that@conj goodelief@n#propn min@pron%gen wif@n haven@v%pt_3 heren@v%ppl this@gram_adj tale@n,
For she nys no thyng of swich pacience,For she nis no thing° of swich pacience,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1895,,10,10,For she nys no thyng of swich pacience,For she nis no thing of swich pacience,u S u S u S u SuSx,u S u S u S u SuSx,for@conj she@pron%nom ben@v%pr_3_neg no@gram_adj thing@n of@prep swich@gram_adj pacience@n,for@conj she@pron%nom ben@v%pr_3_neg no@gram_adj thing@n of@prep swich@gram_adj pacience@n,
As was this Melibeus wyf Prudence.,As was this Melibeus wif Prudence.,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1896,,10,10,As was this Melibeus wyf Prudence,As was this Melibeus wif Prudence,u S u SuSu S uSx,u S u SuSu S uSx,as@conj ben@v%pt_3 this@gram_adj melibee@n#propn%gen wif@n prudence@n2#propn,as@conj ben@v%pt_3 this@gram_adj melibee@n#propn%gen wif@n prudence@n2#propn,
"By Goddes bones, whan I bete my knaves","By Goddes bones! whan I bete° my knaves,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1897,,10,10,By Goddes bones whan I bete my knaves,By Goddes bones whan I bete my knaves,u Su Su S u Sx u Sx,u Su Su S u Sx u Sx,bi@prep god@n1#propn%gen bon@n1%pl whan@adv&conj ich@pron%nom beten@v1%pr_1 min@pron%gen knave@n1%pl,bi@prep god@n1#propn%gen bon@n1%pl whan@adv&conj ich@pron%nom beten@v1%pr_1 min@pron%gen knave@n1%pl,
She bryngeth me forth the grete clobbed staves,"She bringth me forth the grete clobbed° staves,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1898,,10,10,She bryngeth me forth the grete clobbed staves,She bringth me forth the grete clobbed staves,x uS u S u Sx uS uS,u S u S u Sx uS uS,she@pron%nom bringen@v%pr_3 me@pron2%obj forth@adv the@def_art gret@adj clubbed@adj staf@n%pl,she@pron%nom bringen@v%pr_3 me@pron2%obj forth@adv the@def_art gret@adj clubbed@adj staf@n%pl,
"And crieth, `Slee the dogges everichoon","And crieth, ‘Slee the dogges everichoon",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1899,,10,10,And crieth Slee the dogges everichoon,And crieth Slee the dogges everichoon,u Su S u Su SxuS,u Su S u Su SxuS,and@conj crien@v%pr_3 slen@v%imp the@def_art dogge@n%pl everich-on@pron,and@conj crien@v%pr_3 slen@v%imp the@def_art dogge@n%pl everich-on@pron,
"And brek hem, bothe bak and every boon!'","And brek hem, bothe bak and every boon.’",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1900,,10,10,And brek hem bothe bak and every boon,And brek hem bothe bak and every boon,u S u Sx u S uSu S,u S u Sx u S uSu S,and@conj breken@v%imp hem@pron%pl_obj bothe@num_conj bak@n and@conj everi@pron_gram_adj bon@n1,and@conj breken@v%imp hem@pron%pl_obj bothe@num_conj bak@n and@conj everi@pron_gram_adj bon@n1,
And if that any neighebor of myne,¶“And if that any neighebor of mine,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1901,,10,10,And if that any neighebor of myne,And if that any neighebor of mine,u S u Su SuS u Sx,u S u Su SuS u Sx,and@conj if@conj that@part ani@gram_adj neighebor@n of@prep min@pron%gen,and@conj if@conj that@part ani@gram_adj neighebor@n of@prep min@pron%gen,
Wol nat in chirche to my wyf enclyne,"Wol nat in chirche to my wif encline,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1902,,10,10,Wol nat in chirche to my wyf enclyne,Wol nat in chirche to my wif encline,u S u Su S u S uSx,u S u Su S u S uSx,willen@v%pr_3 not@adv in@prep chirche@n to@prep min@pron%gen wif@n enclinen@v%inf,willen@v%pr_3 not@adv in@prep chirche@n to@prep min@pron%gen wif@n enclinen@v%inf,
Or be so hardy to hire to trespace,"Or be so hardy° to hir to trespace,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1903,,10,10,Or be so hardy to hire to trespace,Or be so hardy to hir to trespace,u S u Su S ux S uSx,u S u Su S u S uSx,or@conj ben@v%pr_3 so@adv hardi@adj to@prep hire@pron2%fem_obj to@part trespassen@v%inf,or@conj ben@v%pr_3 so@adv hardi@adj to@prep hire@pron2%fem_obj to@part trespassen@v%inf,
Whan she comth hoom she rampeth in my face,"Whan she comth hoom, she rampeth° in my face",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1904,,10,10,Whan she comth hoom she rampeth in my face,Whan she comth hoom she rampeth in my face,u S u S u Su S u Sx,u S u S u Su S u Sx,whan@adv&conj she@pron%nom comen@v%pr_3 hom@adv she@pron%nom raumpen@v%pr_3 in@prep min@pron%gen face@n,whan@adv&conj she@pron%nom comen@v%pr_3 hom@adv she@pron%nom raumpen@v%pr_3 in@prep min@pron%gen face@n,
"And crieth, `False coward, wrek thy wyf!","And cryeth, ‘False coward, wreek° thy wif",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1905,,10,10,And crieth False coward wrek thy wyf,And cryeth False coward wreek thy wif,u Su Su Su S u S,u Su Su Su S u S,and@conj crien@v%pr_3 fals@adj couard@n wreken@v%imp thin@pron%gen wif@n,and@conj crien@v%pr_3 fals@adj couard@n wreken@v%imp thin@pron%gen wif@n,
"By corpus bones, I wol have thy knyf",By corpus bones!° I wol have thy knif,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1906,,10,10,By corpus bones I wol have thy knyf,By corpus bones I wol have thy knif,u Su Su S u Sx u S,u Su Su S u Sx u S,bi@prep cors@n bon@n1%pl ich@pron%nom willen@v%pr_1 haven@v%inf thin@pron%gen knif@n,bi@prep cors@n bon@n1%pl ich@pron%nom willen@v%pr_1 haven@v%inf thin@pron%gen knif@n,
And thou shalt have my distaf and go spynne!',And thou shalt have my distaf and go spinne!’,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1907,,10,10,And thou shalt have my distaf and go spynne,And thou shalt have my distaf and go spinne,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,and@conj thou@pron%nom shulen@v1%pr_2 haven@v%inf min@pron%gen distaf@n and@conj gon@v%inf spinnen@v%inf,and@conj thou@pron%nom shulen@v1%pr_2 haven@v%inf min@pron%gen distaf@n and@conj gon@v%inf spinnen@v%inf,
Fro day to nyght right thus she wol bigynne.,Fro day to night right thus she wol biginne;,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1908,,10,10,Fro day to nyght right thus she wol bigynne,Fro day to night right thus she wol biginne,u S u S u S u S uSx,u S u S u S u S uSx,from@prep dai@n to@prep night@n righte@adv thus@adv she@pron%nom willen@v%pr_2 biginnen@v%inf,from@prep dai@n to@prep night@n righte@adv thus@adv she@pron%nom willen@v%pr_2 biginnen@v%inf,
"`Allas,' she seith, `that evere I was shape","‘Allas!’ she seith, ‘that ever I was shape°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1909,,10,10,Allas she seith that evere I was shape,Allas she seith that ever I was shape,uS x u S uSu S u Sx,uS u S u Su S u Sx,alas@interj she@pron%nom seien@v1%pr_3 that@conj ever@adv ich@pron%nom ben@v%pt_1 shapen@v%ppl,alas@interj she@pron%nom seien@v1%pr_3 that@conj ever@adv ich@pron%nom ben@v%pt_1 shapen@v%ppl,
"To wedden a milksop, or a coward ape","To wedde a milksop° or a coward ape,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1910,DIFF,10,10,To wedden a milksop or a coward ape,To wedde a milksop or a coward ape,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,to@part wedden@v%inf a@indef_art milk-sop@n or@conj a@indef_art couard@adj ape@n,to@part wedden@v%inf a@indef_art milk-sop@n or@conj a@indef_art couard@adj ape@n,green
That wol been overlad with every wight!,That wol be overlad° with every wight!,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1911,DIFF,10,10,That wol been overlad with every wight,That wol be overlad with every wight,u S u SuS u Sxu S,u S u SuS u Sxu S,that@pron willen@v%pr_3 ben@v%inf overleden@v%ppl with@prep everi@pron_gram_adj wight@n,that@pron willen@v%pr_3 ben@v%inf overleden@v%ppl with@prep everi@pron_gram_adj wight@n,green
Thou darst nat stonden by thy wyves right!',Thou darst nat stonden by thy wives right!’,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1912,,10,10,Thou darst nat stonden by thy wyves right,Thou darst nat stonden by thy wives right,u S u Su S u Su S,u S u Su S u Su S,thou@pron%nom durren@v%pr_2 not@adv stonden@v1%inf bi@prep thin@pron%gen wif@n%gen right@n,thou@pron%nom durren@v%pr_2 not@adv stonden@v1%inf bi@prep thin@pron%gen wif@n%gen right@n,
"This is my lif, but if that I wol fighte;","¶“This is my lif, but if that° I wol fighte;",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1913,,10,10,This is my lif but if that I wol fighte,This is my lif but if that I wol fighte,u S u S u S u S u Sx,u S u S u S u S u Sx,this@pron ben@v%pr_3 min@pron%gen lif@n but@conj if@conj that@part ich@pron%nom willen@v%pr_1 fighten@v%inf,this@pron ben@v%pr_3 min@pron%gen lif@n but@conj if@conj that@part ich@pron%nom willen@v%pr_1 fighten@v%inf,
And out at dore anon I moot me dighte,"And out at dore anon I moot me dighte,°",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1914,,10,10,And out at dore anon I moot me dighte,And out at dore anon I moot me dighte,u S u Sx uS u S u Sx,u S u Sx uS u S u Sx,and@conj oute@adv at@prep dore@n1 an-on@adv ich@pron%nom moten@v2%pr_1 me@pron2%obj dighten@v%inf,and@conj oute@adv at@prep dore@n1 an-on@adv ich@pron%nom moten@v2%pr_1 me@pron2%obj dighten@v%inf,
"Or elles I am but lost, but if that I","Or elles I am but lost, but if that I",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1915,,10,10,Or elles I am but lost but if that I,Or elles I am but lost but if that I,u Su x S u S u S u S,u Su x S u S u S u S,or@conj elles@adv ich@pron%nom ben@v%pr_1 but@conj losen@v2%ppl but@conj if@conj that@part ich@pron%nom,or@conj elles@adv ich@pron%nom ben@v%pr_1 but@conj losen@v2%ppl but@conj if@conj that@part ich@pron%nom,
"Be lik a wilde leoun, fool-hardy.",Be lik a wilde leoun foolhardy.,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1916,,10,10,Be lik a wilde leoun foolhardy,Be lik a wilde leoun foolhardy,u S u Su Su SuS,u S u Su Su SuS,ben@v%pr_1 like@prep a@indef_art wilde@adj lioun@n1 fol-hardi@adj,ben@v%pr_1 like@prep a@indef_art wilde@adj lioun@n1 fol-hardi@adj,
I woot wel she wol do me slee som day,I woot wel she wol do me slee° som day,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1917,,10,10,I woot wel she wol do me slee som day,I woot wel she wol do me slee som day,u S u S u S u S u S,u S u S u S u S u S,ich@pron%nom witen@v1%pr_1 wel@adv she@pron%nom willen@v%pr_3 don@v1%inf me@pron2%obj slen@v%inf som@gram_adj dai@n,ich@pron%nom witen@v1%pr_1 wel@adv she@pron%nom willen@v%pr_3 don@v1%inf me@pron2%obj slen@v%inf som@gram_adj dai@n,
"Som neighebor, and thanne go my way;","Som neighebor, and thanne go my wey.",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1918,,10,10,Som neighebor and thanne go my way,Som neighebor and thanne go my wey,u SuS u Su S u S,u SuS u Su S u S,som@gram_adj neighebor@n and@conj thanne@adv gon@v%inf min@pron%gen wei@n,som@gram_adj neighebor@n and@conj thanne@adv gon@v%inf min@pron%gen wei@n,
For I am perilous with knyf in honde,For I am perilous with knif in honde,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1919,,10,10,For I am perilous with knyf in honde,For I am perilous with knif in honde,u S u SuS u S u Sx,u S u SuS u S u Sx,for@conj ich@pron%nom ben@v%pr_1 perilous@adj with@prep knif@n in@prep honde@n,for@conj ich@pron%nom ben@v%pr_1 perilous@adj with@prep knif@n in@prep honde@n,
Al be it that I dar nat hire withstonde,Al be it that I dar nat hir withstonde,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1920,,10,10,Al be it that I dar nat hire withstonde,Al be it that I dar nat hir withstonde,u S u S u S u Sx uSx,u S u S u S u S uSx,al@conj ben@v%pr_3 hit@pron that@conj ich@pron%nom durren@v%pr_1 not@adv hire@pron2%fem_obj withstonden@v%inf,al@conj ben@v%pr_3 hit@pron that@conj ich@pron%nom durren@v%pr_1 not@adv hire@pron2%fem_obj withstonden@v%inf,
"For she is byg in armes, by my feith:","For she is big° in armes, by my feith",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1921,,10,10,For she is byg in armes by my feith,For she is big in armes by my feith,u S u S u Su S u S,u S u S u Su S u S,for@conj she@pron%nom ben@v%pr_3 big@adj in@prep arm@n%pl bi@prep min@pron%gen feith@n,for@conj she@pron%nom ben@v%pr_3 big@adj in@prep arm@n%pl bi@prep min@pron%gen feith@n,
That shal he fynde that hire mysdooth or seith --,"That shal he find, that hir misdooth° or seith.",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1922,,10,10,That shal he fynde that hire mysdooth or seith,That shal he find that hir misdooth or seith,u S u Sx u Sx uS u S,u S u S u S uS u S,that@pron shulen@v1%pr_3 he@pron1%nom finden@v%inf that@conj hire@pron2%fem_obj misdon@v%pr_3 or@conj seien@v1%pr_3 --@dash,that@pron shulen@v1%pr_3 he@pron1%nom finden@v%inf that@conj hire@pron2%fem_obj misdon@v%pr_3 or@conj seien@v1%pr_3 --@dash,
But lat us passe awey fro this mateere.,But lat us passe awey° fro this matere.,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1923,,10,10,But lat us passe awey fro this mateere,But lat us passe awey fro this matere,u S u Sx uS u S uSx,u S u Sx uS u S uSx,but@conj leten@v%imp us@pron%pl_obj passen@v%inf awei@adv from@prep this@gram_adj matere@n,but@conj leten@v%imp us@pron%pl_obj passen@v%inf awei@adv from@prep this@gram_adj matere@n,
"My lord, the Monk,"""" quod he, """"be myrie of cheere","¶“My lord the Monk,” quod he, “be mery of chere;",data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1924,,0,10,My lord the Monk quod he be myrie of cheere,My lord the Monk quod he be mery of chere,"         ",u S u S u S u Su S xx,min@pron%gen lord@n the@def_art monk@n quethen@v%pt_3 he@pron1%nom ben@v%imp mirie@adj of@prep chere@n1,min@pron%gen lord@n the@def_art monk@n quethen@v%pt_3 he@pron1%nom ben@v%imp mirie@adj of@prep chere@n1,
For ye shul telle a tale trewely.,For ye shul telle a tale trewely.,data/riverside_cats/MkPro_riv.cat,data/oxford_txts/MkPro_oxford.txt,data/csvs/MkPro,Prologue to the Monk's Tale 1925,,10,10,For ye shul telle a tale trewely,For ye shul telle a tale trewely,u S u Sx u Su SuS,u S u Sx u Su SuS,for@conj ye@pron%pl_nom shulen@v1%pr_pl tellen@v%inf a@indef_art tale@n treuli@adv,for@conj ye@pron%pl_nom shulen@v1%pr_pl tellen@v%inf a@indef_art tale@n treuli@adv,
