OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Namoore of this, for Goddes dignitee","¶“No moore of this, for Goddes dignitee,”",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 919,DIFF,10,10,Namoore of this for Goddes dignitee,No moore of this for Goddes dignitee,uSx u S u Su SuS,u Sx u S u Su SuS,no_more@n of@prep this@pron for@prep god@n1#propn%gen dignite@n,  of@prep this@pron for@prep god@n1#propn%gen dignite@n,
"Quod oure Hooste, """"for thou makest me","Quod oure Hoste, “for thou makest me",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 920,,10,10,Quod oure Hooste for thou makest me,Quod oure Hoste for thou makest me,u Su Su S u Su S,u Su Su S u Su S,quethen@v%pt_3 oure@pron%pl_gen hoste@n2 for@conj thou@pron%nom maken@v1%pr_2 me@pron2%obj,quethen@v%pt_3 oure@pron%pl_gen hoste@n2 for@conj thou@pron%nom maken@v1%pr_2 me@pron2%obj,
So wery of thy verray lewednesse,So wery of thy verray lewednesse°,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 921,,10,10,So wery of thy verray lewednesse,So wery of thy verray lewednesse,u Su S u Su SuSx,u Su S u Su SuSx,so@adv weri@adj of@prep thin@pron%gen verrei@adj leuednesse@n,so@adv weri@adj of@prep thin@pron%gen verrei@adj leuednesse@n,
"That, also wisly God my soule blesse","That, also wisly° God my soule blesse",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 922,,10,10,That also wisly God my soule blesse,That also wisly God my soule blesse,u Su Su S u Su Sx,u Su Su S u Su Sx,that@conj as@conj wisli@adv god@n1#propn min@pron%gen soule@n blessen@v%pr_3,that@conj as@conj wisli@adv god@n1#propn min@pron%gen soule@n blessen@v%pr_3,
Myne eres aken of thy drasty speche.,Min eres° aken° of thy drasty° speche;,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 923,,10,10,Myne eres aken of thy drasty speche,Min eres aken of thy drasty speche,ux Su Su S u Su Sx,u Su Su S u Su Sx,min@pron%gen ere@n1%pl aken@v%pr_pl of@prep thin@pron%gen drasti@adj speche@n,min@pron%gen ere@n1%pl aken@v%pr_pl of@prep thin@pron%gen drasti@adj speche@n,
Now swich a rym the devel I biteche!,Now swich a rim° the devel I biteche!°,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 924,,10,10,Now swich a rym the devel I biteche,Now swich a rim the devel I biteche,u S u S u Su S uSx,u S u S u Su S uSx,nou@adv swich@gram_adj a@indef_art rime@n3 the@def_art devel@n ich@pron%nom bitechen@v%pr_1,nou@adv swich@gram_adj a@indef_art rime@n3 the@def_art devel@n ich@pron%nom bitechen@v%pr_1,
"This may wel be rym dogerel,"""" quod he.","This may wel be rim dogerel,” quod he.",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 925,,10,10,This may wel be rym dogerel quod he,This may wel be rim dogerel quod he,u S u S u SuS u S,u S u S u SuS u S,this@pron mouen@v3%pr_3 wel@adv ben@v%inf rime@n3 doggerel@adj quethen@v%pt_3 he@pron1%nom,this@pron mouen@v3%pr_3 wel@adv ben@v%inf rime@n3 doggerel@adj quethen@v%pt_3 he@pron1%nom,
"Why so?"""" quod I, """"why wiltow lette me","¶“Why so?” quod I, “Why wiltow lette me°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 926,,10,10,Why so quod I why wiltow lette me,Why so quod I Why wiltow lette me,u S u S u Su Su S,u S u S u Su Su S,whi@adv so@adv quethen@v%pt_1 ich@pron%nom whi@adv willen@v%pr_2_pron letten@v%inf me@pron2%obj,whi@adv so@adv quethen@v%pt_1 ich@pron%nom whi@adv willen@v%pr_2_pron letten@v%inf me@pron2%obj,
Moore of my tale than another man,More of my tale than another man,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 927,,10,10,Moore of my tale than another man,More of my tale than another man,ux S u Su S uSu S,ux S u Su S uSu S,more@n3 of@prep min@pron%gen tale@n than@conj another@gram_adj man@n,more@n3 of@prep min@pron%gen tale@n than@conj another@gram_adj man@n,
Syn that it is the beste rym I kan?,Sin that it is the beste rim I can?”,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 928,,10,10,Syn that it is the beste rym I kan,Sin that it is the beste rim I can,u S u S u Su S u S,u S u S u Su S u S,sin@conj that@part hit@pron ben@v%pr_3 the@def_art best@adj%sup rime@n3 ich@pron%nom connen@v%pr_1,sin@conj that@part hit@pron ben@v%pr_3 the@def_art best@adj%sup rime@n3 ich@pron%nom connen@v%pr_1,
