OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"O Lord, oure Lord, thy name how merveillous","“O Lord our lord, thy nam° how merveillous",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 453,,10,10,O Lord oure Lord thy name how merveillous,O Lord our lord thy nam how merveillous,u S ux S u Sx u SuS,u S u S u S u SuS,o@interj lord@n oure@pron%pl_gen lord@n thin@pron%gen name@n hou@adv&conj merveillous@adj,o@interj lord@n oure@pron%pl_gen lord@n thin@pron%gen name@n hou@adv&conj merveillous@adj,
Is in this large world ysprad -- quod she --,"Is in this large worlde ysprad,”° quod she",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 454,,10,10,Is in this large world ysprad quod she,Is in this large worlde ysprad quod she,u S u Su S uS u S,u S u Su Sx uS u S,ben@v%pr_3 in@prep this@gram_adj large@adj world@n spreden@v%ppl --@dash quethen@v%pt_3 she@pron%nom --@dash,ben@v%pr_3 in@prep this@gram_adj large@adj world@n spreden@v%ppl --@dash quethen@v%pt_3 she@pron%nom --@dash,
For noght oonly thy laude precious,“For noght only thy laude° precious,data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 455,,10,10,For noght oonly thy laude precious,For noght only thy laude precious,u S uS u Su SuS,u S uS u Su SuS,for@conj nought@adv onli@adv thin@pron%gen laude@n1 preciouse@adj,for@conj nought@adv onli@adv thin@pron%gen laude@n1 preciouse@adj,
Parfourned is by men of dignitee,Parfourned is by men of dignitee,data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 456,,10,10,Parfourned is by men of dignitee,Parfourned is by men of dignitee,uSu S u S u SuS,uSu S u S u SuS,performen@v%ppl ben@v%pr_3 bi@prep man@n%pl of@prep dignite@n,performen@v%ppl ben@v%pr_3 bi@prep man@n%pl of@prep dignite@n,
But by the mouth of children thy bountee,But by the mouth of children thy bountee°,data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 457,,10,10,But by the mouth of children thy bountee,But by the mouth of children thy bountee,u S u S u Su S uS,u S u S u Su S uS,but@conj bi@prep the@def_art mouth@n of@prep child@n%pl thin@pron%gen bounte@n,but@conj bi@prep the@def_art mouth@n of@prep child@n%pl thin@pron%gen bounte@n,
"Parfourned is, for on the brest soukynge","Parfourned is, for on the brest soukinge°",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 458,,10,10,Parfourned is for on the brest soukynge,Parfourned is for on the brest soukinge,uSu S u S u S uSx,uSu S u S u S uSx,performen@v%ppl ben@v%pr_3 for@conj on@prep the@def_art brest@n1 souken@v%prp_abs,performen@v%ppl ben@v%pr_3 for@conj on@prep the@def_art brest@n1 souken@v%prp_abs,
Somtyme shewen they thyn heriynge.,Somtime shewen they thin heryinge.°,data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 459,,0,10,Somtyme shewen they thyn heriynge,Somtime shewen they thin heryinge,    ,uSu Su S u SuSx,som-time@adv sheuen@v1%pr_pl thei@pron%pl_nom thin@pron%gen heriinge@ger,som-time@adv sheuen@v1%pr_pl thei@pron%pl_nom thin@pron%gen heriinge@ger,
"Wherfore in laude, as I best kan or may","Wherfore in laude,° as I best can or may,°",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 460,,10,10,Wherfore in laude as I best kan or may,Wherfore in laude as I best can or may,uSx u Sx u S u S u S,uSx u Sx u S u S u S,wher-for@adv in@prep laude@n1 as@conj ich@pron%nom best@adv%sup connen@v%pr_1 or@conj mouen@v3%pr_1,wher-for@adv in@prep laude@n1 as@conj ich@pron%nom best@adv%sup connen@v%pr_1 or@conj mouen@v3%pr_1,
Of thee and of the white lylye flour,"Of thee, and of the white lily flour",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 461,,10,10,Of thee and of the white lylye flour,Of thee and of the white lily flour,u S u S u Su Su S,u S u S u Su Su S,of@prep the@pron2%obj and@conj of@prep the@def_art whit@adj lilie@n#adj flour@n1,of@prep the@pron2%obj and@conj of@prep the@def_art whit@adj lilie@n#adj flour@n1,
"Which that the bar, and is a mayde alway","Which that thee bar, and is a maide° alway",data/riverside_cats/PrPro_riv.cat,data/oxford_txts/PrPro_oxford.txt,data/csvs/PrPro,The Prioress' Prologue 462,,10,10,Which that the bar and is a mayde alway,Which that thee bar and is a maide alway,u S u S u S u Sx uS,u S u S u S u Sx uS,which@pron that@pron the@pron2%obj beren@v1%pt_3 and@conj ben@v%pr_3 a@indef_art maide@n al-wei@adv,which@pron that@pron the@pron2%obj beren@v1%pt_3 and@conj ben@v%pr_3 a@indef_art maide@n al-wei@adv,
