OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"At Trumpyngtoun, nat fer fro Cantebrigge","¶At Trumpington, nat fer fro Cantebrigge",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3921,,10,10,At Trumpyngtoun nat fer fro Cantebrigge,At Trumpington nat fer fro Cantebrigge,u SuS u S u SuSx,u SuS u S u SuSx,at@prep trumpingtoun@n#propn not@adv fer@adv from@prep cantebregge@n#propn,at@prep trumpingtoun@n#propn not@adv fer@adv from@prep cantebregge@n#propn,green
"Ther gooth a brook, and over that a brigge","Ther goth a brook and over that a brigge,°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3922,,10,10,Ther gooth a brook and over that a brigge,Ther goth a brook and over that a brigge,u S u S u Su S u Sx,u S u S u Su S u Sx,ther@adv gon@v%pr_3 a@indef_art brok@n3 and@conj over@prep that@pron a@indef_art brigge@n,ther@adv gon@v%pr_3 a@indef_art brok@n3 and@conj over@prep that@pron a@indef_art brigge@n,green
Upon the whiche brook ther stant a melle;,Upon the whiche brook ther stant a melle;°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3923,,10,10,Upon the whiche brook ther stant a melle,Upon the whiche brook ther stant a melle,uS u Su S u S u Sx,uS u Su S u S u Sx,upon@prep the@def_art which@gram_adj brok@n3 ther@adv stonden@v1%pr_3 a@indef_art milne@n,upon@prep the@def_art which@gram_adj brok@n3 ther@adv stonden@v1%pr_3 a@indef_art milne@n,green
And this is verray sooth that I yow telle:,And this is verray soth° that I yow telle.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3924,,10,10,And this is verray sooth that I yow telle,And this is verray soth that I yow telle,u S u Su S u S u Sx,u S u Su S u S u Sx,and@conj this@pron ben@v%pr_3 verrei@adj soth@n that@pron ich@pron%nom you@pron%pl_obj tellen@v%pr_1,and@conj this@pron ben@v%pr_3 verrei@adj soth@n that@pron ich@pron%nom you@pron%pl_obj tellen@v%pr_1,green
A millere was ther dwellynge many a day.,A miller was ther dwelling many a day;,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3925,,10,10,A millere was ther dwellynge many a day,A miller was ther dwelling many a day,u Sux S u Sux Sx u S,u Su S u Su Sx u S,a@indef_art milnere@n ben@v%pt_3 ther@adv dwellen@v%prp mani@gram_adj a@indef_art dai@n,a@indef_art milnere@n ben@v%pt_3 ther@adv dwellen@v%prp mani@gram_adj a@indef_art dai@n,green
As any pecok he was proud and gay.,As eny pecok he was proud and gay.°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3926,,10,10,As any pecok he was proud and gay,As eny pecok he was proud and gay,u Su Su S u S u S,u Su Su S u S u S,as@conj ani@gram_adj po-cok@n he@pron1%nom ben@v%pt_3 proud@adj and@conj gai@adj,as@conj ani@gram_adj po-cok@n he@pron1%nom ben@v%pt_3 proud@adj and@conj gai@adj,green
"Pipen he koude and fisshe, and nettes beete","Pipen° he coude and fisshe, and nettes bete,°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3927,,10,10,Pipen he koude and fisshe and nettes beete,Pipen he coude and fisshe and nettes bete,uS u Sx u Sx u Su Sx,uS u Sx u Sx u Su Sx,pipen@v%inf he@pron1%nom connen@v%pt_3 and@conj fishen@v%inf and@conj net@n1%pl beten@v2%inf,pipen@v%inf he@pron1%nom connen@v%pt_3 and@conj fishen@v%inf and@conj net@n1%pl beten@v2%inf,green
"And turne coppes, and wel wrastle and sheete;","And turne coppes,° and wel wrastle and shete;°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3928,,10,10,And turne coppes and wel wrastle and sheete,And turne coppes and wel wrastle and shete,u Su Su S u Sx u Sx,u Su Su S u Sx u Sx,and@conj turnen@v%inf cuppe@n%pl and@conj wel@adv wrestlen@v%inf and@conj sheten@v%inf,and@conj turnen@v%inf cuppe@n%pl and@conj wel@adv wrestlen@v%inf and@conj sheten@v%inf,green
Ay by his belt he baar a long panade,"And by his belt he baar a long panade,°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3929,DIFF,10,10,Ay by his belt he baar a long panade,And by his belt he baar a long panade,u S u S u S u S uSx,u S u S u S u S uSx,and@conj bi@prep his@pron1%gen belt@n he@pron1%nom beren@v1%pt_3 ai@adv long@adj1 panade@n,and@conj bi@prep his@pron1%gen belt@n he@pron1%nom beren@v1%pt_3 ai@adv long@adj1 panade@n,green
And of a swerd ful trenchant was the blade.,And of a swerd ful trenchant° was the blade.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 3930,,10,10,And of a swerd ful trenchant was the blade,And of a swerd ful trenchant was the blade,u S u S u Su S u Sx,u S u S u Su S u Sx,and@conj of@prep a@indef_art sword@n ful@adv trenchaunte@adj ben@v%pt_3 the@def_art blade@n,and@conj of@prep a@indef_art sword@n ful@adv trenchaunte@adj ben@v%pt_3 the@def_art blade@n,green
