OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"But al to litel, weylaway the whyle","But al to litel, weylawey the while",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 1,,10,10,But al to litel weylaway the whyle,But al to litel weylawey the while,u S u Su SuS u Sx,u S u Su SuS u Sx,but@conj al@adv to@adv2 litel@adv weilawai@interj the@def_art whil@n,but@conj al@adv to@adv2 litel@adv weilawai@interj the@def_art whil@n,
"Lasteth swich joie, ythonked be Fortune","Lasteth swich joye, ythonked be Fortune!",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 2,,10,10,Lasteth swich joie ythonked be Fortune,Lasteth swich joye ythonked be Fortune,uS u S uSu S uSx,uS u Su Sux S uSx,lasten@v1%pr_3 swich@gram_adj joie@n thanken@v%ppl ben@v%pr_3 fortune@n#propn,lasten@v1%pr_3 swich@gram_adj joie@n thanken@v%ppl ben@v%pr_3 fortune@n#propn,
That semeth trewest whan she wol bygyle,"That semeth trewest, whan she wol bigile",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 3,,10,10,That semeth trewest whan she wol bygyle,That semeth trewest whan she wol bigile,u Su Su S u S uSx,u Su Su S u S uSx,that@pron semen@v2%pr_3 treu@adj%sup whan@adv&conj she@pron%nom willen@v%pr_3 bigilen@v%inf,that@pron semen@v2%pr_3 treu@adj%sup whan@adv&conj she@pron%nom willen@v%pr_3 bigilen@v%inf,
And kan to fooles so hire song entune,And can to foles so hir song entune,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 4,,10,10,And kan to fooles so hire song entune,And can to foles so hir song entune,u S u Su S ux S uSx,u S u Su S u S uSx,and@conj connen@v%pr_3 to@prep fol@n%pl so@adv hire@pron1%fem_gen song@n entunen@v%inf,and@conj connen@v%pr_3 to@prep fol@n%pl so@adv hire@pron1%fem_gen song@n entunen@v%inf,
"That she hem hent and blent, traitour comune!","That she hem hent and blent, traitour comune;",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 5,,10,10,That she hem hent and blent traitour comune,That she hem hent and blent traitour comune,u S u S u S uS uSx,u S u S u S uS uSx,that@conj she@pron%nom hem@pron%pl_obj henten@v%pr_3 and@conj blenden@v1%pr_3 traitour@n commune@adj,that@conj she@pron%nom hem@pron%pl_obj henten@v%pr_3 and@conj blenden@v1%pr_3 traitour@n commune@adj,
And whan a wight is from hire whiel ythrowe,And whan a wight is from hir wheel ythrowe,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 6,,10,10,And whan a wight is from hire whiel ythrowe,And whan a wight is from hir wheel ythrowe,u S u S u S ux S uSx,u S u S u S u S uSx,and@conj whan@adv&conj a@indef_art wight@n ben@v%pr_3 from@prep hire@pron1%fem_gen whel@n throuen@v1%ppl,and@conj whan@adv&conj a@indef_art wight@n ben@v%pr_3 from@prep hire@pron1%fem_gen whel@n throuen@v1%ppl,
"Than laugheth she, and maketh hym the mowe.","Than laugheth she, and maketh him the mowe.",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 7,,10,10,Than laugheth she and maketh hym the mowe,Than laugheth she and maketh him the mowe,u Su S u Su S u Sx,u Su S u Su S u Sx,thanne@adv laughen@v%pr_3 she@pron%nom and@conj maken@v1%pr_3 him@pron%obj the@def_art moue@n2,thanne@adv laughen@v%pr_3 she@pron%nom and@conj maken@v1%pr_3 him@pron%obj the@def_art moue@n2,
From Troilus she gan hire brighte face,From Troilus she gan hir brighte face,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 8,,10,10,From Troilus she gan hire brighte face,From Troilus she gan hir brighte face,u SuS x u Su Su Sx,u SuS u S u Su Sx,from@prep troilus@n#propn she@pron%nom ginnen@v%pt_3 hire@pron1%fem_gen bright@adj face@n,from@prep troilus@n#propn she@pron%nom ginnen@v%pt_3 hire@pron1%fem_gen bright@adj face@n,
"Awey to writhe, and tok of hym non heede","Awey to writhe, and took of him non hede",data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 9,,10,10,Awey to writhe and tok of hym non heede,Awey to writhe and took of him non hede,uS u Sx u S u S u Sx,uS u Sx u S u S u Sx,awei@adv to@part writhen@v%inf and@conj taken@v%pt_3 of@prep him@pron%obj non@gram_adj hed@n2,awei@adv to@part writhen@v%inf and@conj taken@v%pt_3 of@prep him@pron%obj non@gram_adj hed@n2,
But caste hym clene out of his lady grace,But caste him clene oute of his lady grace,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 10,,10,10,But caste hym clene out of his lady grace,But caste him clene oute of his lady grace,u Sx u Sx u S u Su Sx,u Sx u Sx ux S u Su Sx,but@conj casten@v%pt_3 him@pron%obj clene@adv oute@adv#prep of@prep his@pron1%gen ladie@n%gen grace@n,but@conj casten@v%pt_3 him@pron%obj clene@adv oute@adv#prep of@prep his@pron1%gen ladie@n%gen grace@n,
And on hire whiel she sette up Diomede;,And on hir wheel she sette up Diomede;,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 11,,10,10,And on hire whiel she sette up Diomede,And on hir wheel she sette up Diomede,u S ux S u Sx u SuSx,u S u S u Sx u SuSx,and@conj on@prep hire@pron1%fem_gen whel@n she@pron%nom setten@v%pt_3 up@adv diomede@n#propn,and@conj on@prep hire@pron1%fem_gen whel@n she@pron%nom setten@v%pt_3 up@adv diomede@n#propn,
For which myn herte right now gynneth blede,For which right now min herte ginneth blede,data/riverside_cats/TC4_riv.cat,data/oxford_txts/TC4_oxford.txt,data/csvs/TC4,Troilus and Criseyde; Book IV 12,DIFF,10,10,For which myn herte right now gynneth blede,For which right now min herte ginneth blede,u S u Su S u Su Sx,u S u S u Su Su Sx,for@prep which@pron min@pron%gen herte@n righte@adv nou@adv ginnen@v%pr_3 bleden@v%inf,for@prep which@pron righte@adv nou@adv min@pron%gen herte@n ginnen@v%pr_3 bleden@v%inf,
