headword,word,line_number,filename,context,is_elided,is_final,text_type
derk,derk,Book of the Duchess 155,data/oxford_txts/BD_oxford.txt,Til he com to the derk valeie,False,False,oxford
swete,sweet,Book of the Duchess 209,data/oxford_txts/BD_oxford.txt,"And farwel, sweet, my worldes blisse!",False,False,oxford
most,most,Book of the Duchess 465,data/oxford_txts/BD_oxford.txt,"The most pitee, the moste routhe,°",False,False,oxford
laste,last,Book of the Duchess 514,data/oxford_txts/BD_oxford.txt,"¶But at the last, to sayn right sothe",False,False,oxford
fals,fals,Book of the Duchess 618,data/oxford_txts/BD_oxford.txt,For fals Fortune hath pleide a game,False,False,oxford
god,good,Book of the Duchess 714,data/oxford_txts/BD_oxford.txt,"¶“A! good sir!” quod I, “Say not so!",False,False,oxford
fair,fairest,Book of the Duchess 807,data/oxford_txts/BD_oxford.txt,"Trewly, the fairest companye",False,False,oxford
fair,fair,Book of the Duchess 909,data/oxford_txts/BD_oxford.txt,"To mak that fair, that trewly she",False,False,oxford
chef,chief,Book of the Duchess 910,data/oxford_txts/BD_oxford.txt,Was hir chief patrone° of beaute,False,False,oxford
swete,sweet,Book of the Duchess 920,data/oxford_txts/BD_oxford.txt,"Had that sweet, my lives leche!°",False,False,oxford
swete,sweet,Book of the Duchess 940,data/oxford_txts/BD_oxford.txt,"Had that sweet, that boon nor brekke°",False,False,oxford
leste,lest,Book of the Duchess 973,data/oxford_txts/BD_oxford.txt,"She wolde have be, at the lest",False,True,oxford
fair,fairest,Book of the Duchess 1079,data/oxford_txts/BD_oxford.txt,As for the fairest and the beste.,True,False,oxford
glad,gladdest,Book of the Duchess 1280,data/oxford_txts/BD_oxford.txt,The gladdest and the moste at reste.°,True,False,oxford
west,west,The Clerk's Tale 57,data/oxford_txts/ClT_oxford.txt,"Ther is, at the west side of Itaille",False,False,oxford
povre,poor,The Clerk's Tale 232,data/oxford_txts/ClT_oxford.txt,"Upon Grisilde, this poor creature",False,False,oxford
laste,last,The Clerk's Tale 266,data/oxford_txts/ClT_oxford.txt,"That may be founde, as fer as last Itaille.°",True,False,oxford
heigh,heigh,The Clerk's Tale 418,data/oxford_txts/ClT_oxford.txt,So spradde of hire heigh bountee the fame,False,False,oxford
heigh,heigh,The Clerk's Tale 923,data/oxford_txts/ClT_oxford.txt,Ne of hir heigh estaat no remembraunce,True,False,oxford
west,west,The Clerk's Tale 945,data/oxford_txts/ClT_oxford.txt,So noble array in al West Lumbardie.,False,False,oxford
heigh,heigh,The Clerk's Tale 991,data/oxford_txts/ClT_oxford.txt,"And more plesant, for hir heigh linage;",False,False,oxford
wise,wisest,The Canon's Yeoman's Tale 967,data/oxford_txts/CYT_oxford.txt,"He that semeth the wisest, by Jhesus!",False,False,oxford
fals,fals,The Canon's Yeoman's Tale 1073,data/oxford_txts/CYT_oxford.txt,God kepe us from his fals dissimulinge!°,False,False,oxford
fals,fals,The Canon's Yeoman's Tale 1159,data/oxford_txts/CYT_oxford.txt,"This fals chanoun, the foule feend him fecche!°",False,False,oxford
sori,sory,The Canon's Yeoman's Tale 1349,data/oxford_txts/CYT_oxford.txt,Than had this preest this sory° craft to lere;°,False,False,oxford
graunt,grant,The Canon's Yeoman's Tale 1380,data/oxford_txts/CYT_oxford.txt,"Quod the chanoun, “and farwel, grant mercy!”",False,False,oxford
prive,privy,The Canon's Yeoman's Tale 1452,data/oxford_txts/CYT_oxford.txt,“Tel me the name of the privy° stoon?”,False,False,oxford
hevi,hevy,The Franklin's Tale 822,data/oxford_txts/FranT_oxford.txt,"Hir frendes, which that° knewe hir hevy° thoght",False,False,oxford
wise,wis,The Franklin's Tale 871,data/oxford_txts/FranT_oxford.txt,"Of swich a parfit wis God and a stable,°",False,False,oxford
ouen,own,The Franklin's Tale 880,data/oxford_txts/FranT_oxford.txt,That thou it madest lik to thin own merk.°,False,False,oxford
heigh,heigh,The Franklin's Tale 989,data/oxford_txts/FranT_oxford.txt,"¶“Aurelie,” quod she, “by heigh God above",False,False,oxford
heigh,hyest,The Franklin's Tale 1061,data/oxford_txts/FranT_oxford.txt,The hyest rokke in Armorik Briteine;,False,False,oxford
ouen,own,The Franklin's Tale 1093,data/oxford_txts/FranT_oxford.txt,"That loveth thee, as his own hertes lif.",False,False,oxford
gret,grettest,The Franklin's Tale 1192,data/oxford_txts/FranT_oxford.txt,The grettest that ever were seyn with eye.,False,False,oxford
foul,foul,The Franklin's Tale 1396,data/oxford_txts/FranT_oxford.txt,To been defouled° with mannes foul delit,False,False,oxford
god,good,The Franklin's Tale 1443,data/oxford_txts/FranT_oxford.txt,“What seith Omer of good Penalopee?,False,False,oxford
heigh,hyest,The Franklin's Tale 1479,data/oxford_txts/FranT_oxford.txt,Trouthe is the hyest thing that man may kepe”:—,False,False,oxford
quik,quikkest,The Franklin's Tale 1502,data/oxford_txts/FranT_oxford.txt,"Amid° the toun, right in the quikkest° strete",False,False,oxford
north,north,The Friar's Tale 1413,data/oxford_txts/FriT_oxford.txt,"‘Brother,’ quod he, ‘fer in the north contree",False,False,oxford
swete,sweet,The Friar's Tale 1613,data/oxford_txts/FriT_oxford.txt,"¶“ ‘Pay me,’ quod he, ‘or by the sweet Seinte Anne",False,False,oxford
heigh,heigh,The General Prologue 316,data/oxford_txts/GP_oxford.txt,"For his science, and for his heigh renoun",False,False,oxford
heigh,hyer,The General Prologue 399,data/oxford_txts/GP_oxford.txt,"If that he faught, and had the hyer hond",False,False,oxford
short,shortest,The General Prologue 836,data/oxford_txts/GP_oxford.txt,He which that hath the shortest shal biginne.,False,False,oxford
troian,troyan,House of Fame 207,data/oxford_txts/HF_oxford.txt,Of al the Troyan nacioun,False,False,oxford
troian,troyan,House of Fame 217,data/oxford_txts/HF_oxford.txt,Of the Troyan Eneas,True,False,oxford
soth,sooth,House of Fame 351,data/oxford_txts/HF_oxford.txt,"O, sooth is, every thing is wist,°",True,False,oxford
gret,greet,House of Fame 428,data/oxford_txts/HF_oxford.txt,Fulliche of al his greet trespas,False,False,oxford
bon,bon,House of Fame 1022,data/oxford_txts/HF_oxford.txt,"Seint Julian, lo, bon hostel!°",False,False,oxford
right,right,House of Fame 1294,data/oxford_txts/HF_oxford.txt,The castel-yate° on my right hond,False,False,oxford
fin,finest,House of Fame 1351,data/oxford_txts/HF_oxford.txt,Fulle of the finest stones° faire,False,False,oxford
gret,gret,House of Fame 1466,data/oxford_txts/HF_oxford.txt,"Of iren, he, the gret Omere;°",True,False,oxford
gret,gretest,House of Fame 1813,data/oxford_txts/HF_oxford.txt,"The harm, the gretest wikkednesse",False,False,oxford
olde,eldest,The Knight's Tale 912,data/oxford_txts/KnT_oxford.txt,The eldest lady of hem alle spak,False,False,oxford
chef,chief,The Knight's Tale 1057,data/oxford_txts/KnT_oxford.txt,"Which of the castel was the chief dongeoun,°",False,False,oxford
yonder,yonder,The Knight's Tale 1119,data/oxford_txts/KnT_oxford.txt,Of hir that rometh in the yonder place;,False,False,oxford
