Headword,Stem Forms,All Forms,Always Ends in E
gret,greet; greete; gret; grete,greet; greete; gret; grete; gretter; grettere; grettest; gretteste,No
god,good; goode,good; goode,No
long,lange; long; longe,lange; long; longe; longest,No
best,,best; beste,No
nerre,,neer; ner,No
olde,old; olde; oold,elder; eldeste; old; olde; oold,No
smal,smal; smale,smal; smale,No
wel,weel; wel; wele; well,weel; wel; wele; well,No
ded,ded; dede; deed,ded; dede; deed,No
wod,wood; woode,wood; woode,No
swete,sweete; swete,sweete; swete,Yes
dere,deere; dere,deere; dere,Yes
quik,quike; quyk; quyke; quykkest,quike; quyk; quyke; quykkest,No
cold,cold; colde; coold,cold; colde; coold,No
pale,pale,pale,Yes
derk,derk; derke; dirke,derk; derke; derkeste; dirke,No
dep,deep; dep; depe,deep; dep; depe,No
pure,pure,pure,Yes
whit,whit; white; whyt; whyte,whit; white; whitter; whyt; whyte,No
raied,rayed,rayed,No
fin,fyn; fyne,fyn; fyne; fynest; fyneste,No
blak,blak; blake,blak; blake,No
mo,,mo; moo,No
leste,,leest; leeste; lest; leste,No
noble,noble,noble; nobleste,Yes
mete,meete; mete,meete; mete,Yes
bright,bright; brighte; bryght; bryghte,bright; brighte; brighter; brightest; bryght; bryghte,No
glad,glad; gladde; glade,glad; gladde; gladder; gladdest; glade,No
fair,fair; faire; fayr; fayre; feir; feyr,fair; faire; fairer; fairest; faireste; fayr; fayre; fayrer; fayrest; fayreste; feir; feyr,No
bleu,blew; blewe,blew; blewe,No
cler,cleer; cleere; cler; clere,cleer; cleere; cler; clere; clerer,No
prive,prive; privee; privy; pryve; pryvee,prive; privee; privy; pryve; pryvee,No
smothe,smothe,smothe,Yes
flouri,floury,floury,No
grene,greene; grene,greene; grene,Yes
thikke,thikke; thykke,thikke; thikkeste; thykke,Yes
softe,softe,softe; softer,Yes
gai,gay; gaye,gay; gaye; gayer,No
huge,huge,huge,Yes
brod,brod; brode; brood,brod; brode; brood,No
ful,ful; full; fulle,ful; full; fulle,No
laste,last,last; laste,No
ware,war,war,No
most,,moost; mooste; most; moste,No
red,red; rede; reed; reede,red; redder; rede; reed; reede,No
fresh,fresh; freshe; fressh; fresshe,fresh; freshe; fressh; fresshe; fressher; fresshest,No
fre,fre; free,fre; free,Yes
warm,warm,warm,No
ouen,awen; oune; owen; owene; owne,awen; oune; owen; owene; owne,No
smert,smart; smerte,smart; smerte,No
hevi,hevy; hevye,hevy; hevye,No
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
right,right; righte; ryght,right; righte; ryght,No
sori,soory; sory,soory; sory,No
more,,moore; more,No
hole,hol; hool; hoole,hol; hool; hoole,No
sik,seeke; sek; sik; sike; syk,seeke; sek; sik; sike; syk; syke,No
graunt,grant; graunt,grant; graunt,No
werste,,werste; worst; worste,No
loth,looth; loothe; loth; lothest,looth; loothe; loth; lothest,No
fals,fals; false,fals; false,No
worth,worth,worth,No
queinte,queynt; queynte,queynt; queynte,No
werse,,wers; werse; wors; worse,No
sad,sad; sadde,sad; sadde,No
simple,simple; symple,simple; symple,Yes
wid,wide; wyd; wyde,wide; wyd; wydder; wyde,No
sobre,sobre,sobre,Yes
large,large,large,Yes
dul,dul; dulle,dul; dulle,No
chef,chef; chief,chef; chief,No
treu,trewe,trewe; trewest; treweste,Yes
rounde,round; rounde,round; rounde,No
streight,streght; streghte; streight; streighte,streght; streghte; streight; streighte,No
flat,flat,flat,No
lik,lik; like; lyk,lik; like; likker; likkere; lyk,No
muche,moch; moche; muche,moch; moche; muche,No
half,half; halve,half; halve,No
wise,wis; wise; wys; wyse,wis; wise; wiser; wisest; wiseste; wys; wyse; wyser,No
yong,yong; yonge,yong; yonge; yongest; yongeste,No
ofte,ofte,ofte,Yes
wo,wo,wo,No
neue,new; newe,new; newe; newer,No
riche,riche; ryche,riche; richeste; ryche,Yes
west,west,west,No
strong,strong; stronge; stroong,strong; stronge; strongest; stroong,No
self,self; selve; selven,self; selve; selven,No
short,short; shorte,short; shorte; shortest; shorteste,No
heigh,heigh; heighe; hy; hye; hyeste; hygh,heigh; heighe; high; hy; hye; hyer; hyeste; hygh,No
straunge,estraunge; strange; straunge,estraunge; strange; straunge; straunger,Yes
mek,meeke; meke,meeke; meke; mekeste,Yes
selde,seelde,seelde,Yes
humble,humble,humble,Yes
povre,poore; poure; povere; povre,poore; pore; poure; povere; povre; povrest,Yes
tender,tendre,tendre,Yes
ripe,rype,rype,Yes
hard,hard; harde,hard; harde; harder; hardest,No
lege,lige,lige,Yes
digne,digne,digne,Yes
loue,low; lowe,low; lowe; lower; lowere,No
lef,leef; leeve; leve; lief,leef; leeve; leve; levere; levest; lief,No
maide,mayde,mayde,Yes
sterne,sterne; stierne,sterne; stierne,Yes
trouble,trouble,trouble,Yes
badde,badde,badde; badder,Yes
plaine,playn; pleyn; pleyne,playn; pleyn; pleyne,No
kinde,kynde,kynde,Yes
stable,stable,stable,Yes
rude,rude,rude,Yes
wikke,wikke,wikke,Yes
clene,cleene; clene,cleene; clene,Yes
bar,bare,bare,Yes
stille,stille,stille,Yes
drie,dreye; drie; drye,dreye; drie; drye,Yes
pleine,pleyn,pleyn,No
couth,couth; kouth; kowthe,couth; kouth; kowthe,No
mene,meene; mene,meene; mene,Yes
salt,salt; salte,salt; salte,No
foul,foul; foule,foul; foule; fouler,No
deinte,deynte; deyntee,deynte; deyntee,Yes
sharp,sharp; sharpe,sharp; sharpe,No
feble,feble; fieble,feble; fieble,Yes
egre,egre,egre,Yes
light,light; lighte; lyght; lyghte,light; lighte; lyght; lyghte; lyghter,No
wan,wan,wan,No
thinne,thynne,thynne,Yes
crude,crude,crude,Yes
nice,nice; nyce,nice; nyce,Yes
roughe,rough; rowe,rough; rowe,No
bitter,bitter; bittere; bittre,bitter; bittere; bittre,No
hot,hoot; hoote; hote,hoot; hoote; hote; hotter,No
blithe,blithe; blythe,blithe; blythe,Yes
sauf,sauf,sauf; save,No
fol,fool,fool,No
sleigh,sleigh; sly; slye,sleigh; sly; slye,No
mis,mys,mys,No
fain,fawe; fayn; feyn,fawe; fayn; feyn,No
