file,ger_compliance_pct,ger_following,ger_violating,overall_compliance_pct,total_following,total_lines,total_violating,v%inf_compliance_pct,v%inf_following,v%inf_violating,v%ppl_compliance_pct,v%ppl_following,v%ppl_violating,v%pr_1_compliance_pct,v%pr_1_following,v%pr_1_violating,v%pr_2_compliance_pct,v%pr_2_following,v%pr_2_violating,v%pr_3_compliance_pct,v%pr_3_following,v%pr_3_violating,v%pr_pl_compliance_pct,v%pr_pl_following,v%pr_pl_violating,v%pt_1_compliance_pct,v%pt_1_following,v%pt_1_violating,v%pt_2_compliance_pct,v%pt_2_following,v%pt_2_violating,v%pt_3_compliance_pct,v%pt_3_following,v%pt_3_violating,v%pt_compliance_pct,v%pt_following,v%pt_pl_compliance_pct,v%pt_pl_following,v%pt_pl_violating,v%pt_violating
PrT_gui.csv,75.0,3,1,95.45,168,170,8,100.0,41,0,100.0,17,0,100.0,6,0,100.0,1,0,100.0,26,0,70.0,7,3,100.0,1,0,0.0,0,0,100.0,62,0,0.0,0,50.0,4,4,0
TC2_gui.csv,50.0,10,10,96.59,1616,1502,57,95.33,408,20,100.0,100,0,100.0,131,0,100.0,16,0,100.0,331,0,78.81,93,25,100.0,34,0,100.0,2,0,100.0,451,0,0.0,0,95.24,40,2,0
SumT_gui.csv,45.45,5,6,96.13,521,532,21,98.0,98,2,100.0,66,0,100.0,42,0,100.0,4,0,100.0,132,0,75.61,31,10,100.0,8,0,100.0,1,0,100.0,128,0,0.0,0,66.67,6,3,0
ClT_gui.csv,24.0,6,19,93.9,1047,1073,68,94.34,250,15,100.0,106,0,100.0,82,0,100.0,10,0,100.0,167,0,65.06,54,29,100.0,30,0,0.0,0,0,100.0,309,0,0.0,0,86.84,33,5,0
HF_gui.csv,31.25,5,11,95.2,1269,1765,64,93.77,316,21,100.0,110,0,100.0,76,0,100.0,46,0,100.0,194,0,71.76,61,24,100.0,97,0,100.0,2,0,100.0,305,0,0.0,0,87.69,57,8,0
TC3_gui.csv,42.86,6,8,96.47,1529,1517,56,95.48,401,19,100.0,120,0,100.0,128,0,100.0,20,0,100.0,259,0,75.45,83,27,100.0,26,0,100.0,7,0,100.0,441,0,0.0,0,95.0,38,2,0
PhyT_gui.csv,25.0,2,6,94.12,272,271,17,98.57,69,1,100.0,31,0,100.0,13,0,100.0,1,0,100.0,56,0,52.94,9,8,100.0,1,0,100.0,2,0,100.0,83,0,0.0,0,71.43,5,2,0
CYT_gui.csv,12.0,3,22,91.13,678,671,66,90.8,158,16,100.0,58,0,100.0,60,0,100.0,1,0,100.0,153,0,63.24,43,25,100.0,13,0,0.0,0,0,100.0,168,0,0.0,0,87.5,21,3,0
SNT_gui.csv,55.56,5,4,92.95,369,399,28,91.95,80,7,100.0,36,0,100.0,23,0,100.0,14,0,100.0,49,0,50.0,14,14,100.0,4,0,100.0,4,0,100.0,125,0,0.0,0,83.33,15,3,0
BD_gui.csv,76.92,20,6,93.57,873,1047,60,85.63,149,25,100.0,90,0,100.0,78,0,100.0,3,0,100.0,110,0,65.22,15,8,100.0,105,0,100.0,1,0,100.0,277,0,0.0,0,54.35,25,21,0
TC1_gui.csv,36.84,7,12,95.88,931,915,40,94.44,238,14,100.0,83,0,100.0,79,0,100.0,33,0,100.0,173,0,73.08,38,14,100.0,12,0,100.0,7,0,100.0,236,0,0.0,0,100.0,25,0,0
WBPro_gui.csv,10.0,1,9,93.43,782,749,55,89.47,170,20,100.0,76,0,100.0,68,0,100.0,11,0,100.0,159,0,62.5,30,18,100.0,78,0,100.0,3,0,100.0,171,0,0.0,0,65.22,15,8,0
RvT_gui.csv,25.0,1,3,95.1,427,367,22,94.32,83,5,100.0,54,0,100.0,32,0,100.0,4,0,100.0,88,0,38.1,8,13,100.0,3,0,0.0,0,0,100.0,139,0,0.0,0,93.75,15,1,0
KnT_gui.csv,38.46,25,40,96.34,1895,2033,72,96.88,403,13,100.0,251,0,100.0,114,0,100.0,35,0,100.0,391,0,84.21,96,18,100.0,27,0,100.0,5,0,100.0,484,0,0.0,0,98.46,64,1,0
FriT_gui.csv,28.57,2,5,93.21,343,325,25,92.13,82,7,100.0,20,0,100.0,41,0,100.0,12,0,100.0,50,0,67.5,27,13,100.0,10,0,100.0,2,0,100.0,87,0,0.0,0,100.0,10,0,0
PF_gui.csv,40.0,4,6,95.77,475,510,21,100.0,125,0,100.0,39,0,100.0,50,0,100.0,12,0,100.0,94,0,55.0,11,9,100.0,28,0,0.0,0,0,100.0,96,0,0.0,0,72.73,16,6,0
SqT_gui.csv,0.0,0,10,94.31,564,594,34,91.27,115,11,100.0,53,0,100.0,34,0,100.0,3,0,100.0,123,0,81.82,45,10,100.0,13,0,0.0,0,0,100.0,172,0,0.0,0,66.67,6,3,0
NPT_gui.csv,18.18,2,9,93.22,536,576,39,92.62,113,9,100.0,57,0,100.0,36,0,100.0,5,0,100.0,74,0,65.85,27,14,100.0,13,0,100.0,3,0,100.0,184,0,0.0,0,75.86,22,7,0
WBT_gui.csv,0.0,0,2,92.78,360,373,28,83.17,84,17,100.0,21,0,100.0,32,0,100.0,5,0,100.0,84,0,80.0,28,7,100.0,4,0,0.0,0,0,100.0,100,0,0.0,0,50.0,2,2,0
TC5_gui.csv,28.57,2,5,96.28,1269,1279,49,95.04,383,20,100.0,92,0,100.0,98,0,100.0,21,0,100.0,203,0,69.62,55,24,100.0,36,0,100.0,3,0,100.0,349,0,0.0,0,100.0,27,0,0
MkT_gui.csv,0.0,0,6,96.54,335,353,12,97.26,71,2,100.0,33,0,100.0,5,0,100.0,7,0,100.0,29,0,90.0,9,1,0.0,0,0,100.0,1,0,100.0,171,0,0.0,0,75.0,9,3,0
TC4_gui.csv,52.78,19,17,95.65,1450,1464,66,93.67,444,30,100.0,131,0,100.0,113,0,100.0,29,0,100.0,277,0,84.76,89,16,100.0,20,0,100.0,5,0,100.0,281,0,0.0,0,93.33,42,3,0
GP_gui.csv,27.78,5,13,96.46,790,763,29,96.49,165,6,100.0,74,0,100.0,21,0,0.0,0,0,100.0,62,0,80.0,16,4,100.0,5,0,0.0,0,0,100.0,415,0,0.0,0,81.82,27,6,0
MilT_gui.csv,20.0,2,8,96.78,632,602,21,95.21,139,7,100.0,61,0,100.0,44,0,100.0,13,0,100.0,114,0,77.78,14,4,100.0,2,0,0.0,0,0,100.0,235,0,0.0,0,80.0,8,2,0
