OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whilom ther was dwellynge in my contree,¶Whilom° ther was dwellinge in my contree°,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1301,,10,10,Whilom ther was dwellynge in my contree,Whilom ther was dwellinge in my contree,uS u S uSx u S uS,uS u S uSx u S uS,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp in@prep min@pron%gen contree@n,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp in@prep min@pron%gen contree@n,
"An erchedeken, a man of heigh degree","An erchdeken,° a man of heigh degree",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1302,,10,10,An erchedeken a man of heigh degree,An erchdeken a man of heigh degree,u SuSx u S u S uS,u SuS u S u S uS,a@indef_art arche-deken@n a@indef_art man@n of@prep heigh@adj degre@n,a@indef_art arche-deken@n a@indef_art man@n of@prep heigh@adj degre@n,
That boldely dide execucioun,That boldely dide execucioun°,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1303,,10,10,That boldely dide execucioun,That boldely dide execucioun,u SuS ux SuSuS,u SuS ux SuSuS,that@pron boldeliche@adv don@v1%pt_3 execucioun@n,that@pron boldeliche@adv don@v1%pt_3 execucioun@n,
In punysshynge of fornicacioun,In punisshinge of fornicacioun,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1304,,10,10,In punysshynge of fornicacioun,In punisshinge of fornicacioun,u SuSx u SuSuS,u SuSx u SuSuS,in@prep punishinge@ger of@prep fornicacioun@n,in@prep punishinge@ger of@prep fornicacioun@n,
"Of wicchecraft, and eek of bawderye","Of wicchecraft, and eek of bauderie,°",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1305,DIFF,0,10,Of wicchecraft and eek of bawderye,Of wicchecraft and eek of bauderie,"     ",u SuS u S u SuS,of@prep wicchecraft@n and@conj ek@adv of@prep bauderie@n1,of@prep wicchecraft@n and@conj ek@adv of@prep bauderie@n1,green
"Of diffamacioun, and avowtrye","Of diffamacioun,° and avoutrie,°",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1306,,0,10,Of diffamacioun and avowtrye,Of diffamacioun and avoutrie,"   ",u SuSuS u SuS,of@prep defamacioun@n and@conj avoutrie@n,of@prep defamacioun@n and@conj avoutrie@n,
"Of chirche reves, and of testamentz","Of chirche-reves,° and of testamentz,°",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1307,DIFF,10,10,Of chirche reves and of testamentz,Of chirche reves and of testamentz,u Su Su S u SuS,u Su Su S u SuS,of@prep chirche@n#adj ref@n1%pl and@conj of@prep testament@n%pl,of@prep   and@conj of@prep testament@n%pl,green
Of contractes and of lakke of sacramentz,"Of contracts, and of lakke° of sacraments",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1308,,10,10,Of contractes and of lakke of sacramentz,Of contracts and of lakke of sacraments,u Sux S u Sx u SuS,u Su S u Sx u SuS,of@prep contract@n%pl and@conj of@prep lak@n of@prep sacrament@n%pl,of@prep contract@n%pl and@conj of@prep lak@n of@prep sacrament@n%pl,
"Of usure, and of symonye also.","Of usure,° and of simonie° also.",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1309,,0,10,Of usure and of symonye also,Of usure and of simonie also,"     ",u Sux S u SuS uS,of@prep usure@n and@conj of@prep simonie@n also@adv,of@prep usure@n and@conj of@prep simonie@n also@adv,
"But certes, lecchours dide he grettest wo;","But certes, lechours dide he grettest wo;",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1310,,10,10,But certes lecchours dide he grettest wo,But certes lechours dide he grettest wo,u Su Su Sx u Su S,u Su Su Sx u Su S,but@conj certes@adv lechour@n%pl don@v1%pt_3 he@pron1%nom gret@adj%sup wo@n,but@conj certes@adv lechour@n%pl don@v1%pt_3 he@pron1%nom gret@adj%sup wo@n,
They sholde syngen if that they were hent;,"They sholde singen,° if that they were hent;°",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1311,,10,10,They sholde syngen if that they were hent,They sholde singen if that they were hent,u Sx uS u S u Su S,u Sx uS u S u Su S,thei@pron%pl_nom shulen@v1%pt_pl singen@v%inf if@conj that@part thei@pron%pl_nom ben@v%pt_pl henten@v%ppl,thei@pron%pl_nom shulen@v1%pt_pl singen@v%inf if@conj that@part thei@pron%pl_nom ben@v%pt_pl henten@v%ppl,
And smale tytheres weren foule yshent,And smale titheres° weren foule yshent.°,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1312,,10,10,And smale tytheres weren foule yshent,And smale titheres weren foule yshent,u Sx uSu Su Sx uS,u Sx uSu Su Sx uS,and@conj smal@adj tithere@n%pl ben@v%pt_pl foule@adv ishenden@v%ppl,and@conj smal@adj tithere@n%pl ben@v%pt_pl foule@adv ishenden@v%ppl,
If any persoun wolde upon hem pleyne.,"If any person wolde upon hem pleine,°",data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1313,,10,10,If any persoun wolde upon hem pleyne,If any person wolde upon hem pleine,u Su Su Sx uS u Sx,u Su Su Sx uS u Sx,if@conj ani@gram_adj persoune@n2 willen@v%pt_3 upon@prep hem@pron%pl_obj pleinen@v%inf,if@conj ani@gram_adj persoune@n2 willen@v%pt_3 upon@prep hem@pron%pl_obj pleinen@v%inf,
Ther myghte asterte hym no pecunyal peyne.,Ther mighte asterte him° no pecunial° peine.,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1314,,0,0,Ther myghte asterte hym no pecunyal peyne,Ther mighte asterte him no pecunial peine,"      ",u S uS u S uSu S,ther@adv mouen@v3%pt_3 asterten@v%inf him@pron%obj no@gram_adj pecuniale@adj peine@n,ther@adv mouen@v3%pt_3 asterten@v%inf him@pron%obj no@gram_adj pecuniale@adj peine@n,
For smale tithes and for smal offrynge,For smale tithes and for smal offringe,data/riverside_cats/FriT_riv.cat,data/oxford_txts/FriT_oxford.txt,data/csvs/FriT,The Friar's Tale 1315,,10,10,For smale tithes and for smal offrynge,For smale tithes and for smal offringe,u Su Su S u S uSx,u Su Su S u S uSx,for@prep smal@adj tithe@n1%pl and@conj for@prep smal@adj offringe@ger,for@prep smal@adj tithe@n1%pl and@conj for@prep smal@adj offringe@ger,
