OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Wepyng and waylyng, care and oother sorwe","¶“Weping and wailing, care, and other sorwe",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1213,,10,10,Wepyng and waylyng care and oother sorwe,Weping and wailing care and other sorwe,uS u Su Sx u Su Sx,uS u Su Sx u Su Sx,wepinge@ger and@conj weilinge@ger care@n1 and@conj other@gram_adj sorwe@n,wepinge@ger and@conj weilinge@ger care@n1 and@conj other@gram_adj sorwe@n,
"I knowe ynogh, on even and a-morwe","I know ynogh, on even° and amorwe,”°",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1214,,10,10,I knowe ynogh on even and amorwe,I know ynogh on even and amorwe,u Sx uS u Su S uSx,u S uS u Su S uSx,ich@pron%nom knouen@v%pr_1 inough@n on@prep even@n and@conj amorwen@adv,ich@pron%nom knouen@v%pr_1 inough@n on@prep even@n and@conj amorwen@adv,
"Quod the Marchant, """"and so doon other mo","Quod the Marchaunt, “and so don other mo°",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1215,,10,10,Quod the Marchant and so doon other mo,Quod the Marchaunt and so don other mo,u S uS u S u Su S,u S uS u S u Su S,quethen@v%pt_3 the@def_art marchaunt@n and@conj so@adv don@v1%pr_pl other@pron mo@adj%comp,quethen@v%pt_3 the@def_art marchaunt@n and@conj so@adv don@v1%pr_pl other@pron mo@adj%comp,
That wedded been. I trowe that it be so,"That° wedded been, I trow° that it be so.",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1216,,10,10,That wedded been I trowe that it be so,That wedded been I trow that it be so,u Su S u Sx u S u S,u Su S u S u S u S,that@pron wedden@v%ppl ben@v%pr_pl ich@pron%nom trouen@v%pr_1 that@conj hit@pron ben@v%pr_3 so@adv,that@pron wedden@v%ppl ben@v%pr_pl ich@pron%nom trouen@v%pr_1 that@conj hit@pron ben@v%pr_3 so@adv,
For wel I woot it fareth so with me.,"For, wel I woot,° it fareth so° with me.",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1217,,10,10,For wel I woot it fareth so with me,For wel I woot it fareth so with me,u S u S u Su S u S,u S u S u Su S u S,for@conj wel@adv ich@pron%nom witen@v1%pr_1 hit@pron faren@v%pr_3 so@adv with@prep me@pron2%obj,for@conj wel@adv ich@pron%nom witen@v1%pr_1 hit@pron faren@v%pr_3 so@adv with@prep me@pron2%obj,
"I have a wyf, the worste that may be;","I have a wif, the worste that may be;",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1218,,10,10,I have a wyf the worste that may be,I have a wif the worste that may be,u Sx u S u Su S u S,u Sx u S u Su S u S,ich@pron%nom haven@v%pr_1 a@indef_art wif@n the@def_art werste@adj%sup that@pron mouen@v3%pr_3 ben@v%inf,ich@pron%nom haven@v%pr_1 a@indef_art wif@n the@def_art werste@adj%sup that@pron mouen@v3%pr_3 ben@v%inf,
For thogh the feend to hire ycoupled were,For thogh the feend° to hir ycoupled° were,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1219,,10,10,For thogh the feend to hire ycoupled were,For thogh the feend to hir ycoupled were,u S u S u Sx uSu Sx,u S u S u S uSu Sx,for@conj though@conj the@def_art fend@n to@prep hire@pron2%fem_obj couplen@v%ppl ben@v%pt_3,for@conj though@conj the@def_art fend@n to@prep hire@pron2%fem_obj couplen@v%ppl ben@v%pt_3,
"She wolde hym overmacche, I dar wel swere.","She wolde him overmacche,° I dar wel swere.",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1220,,10,10,She wolde hym overmacche I dar wel swere,She wolde him overmacche I dar wel swere,u Sx u SuSx u S u Sx,u Sx u SuSx u S u Sx,she@pron%nom willen@v%pt_3 him@pron%obj overmacchen@v%inf ich@pron%nom durren@v%pr_1 wel@adv sweren@v%inf,she@pron%nom willen@v%pt_3 him@pron%obj overmacchen@v%inf ich@pron%nom durren@v%pr_1 wel@adv sweren@v%inf,
What sholde I yow reherce in special,What° sholde I yow reherce in special°,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1221,,10,10,What sholde I yow reherce in special,What sholde I yow reherce in special,u Sx u S uSx u SuS,u Sx u S uSx u SuS,what@adv shulen@v1%pt_1 ich@pron%nom you@pron%pl_obj rehersen@v%inf in@prep speciale@n,what@adv shulen@v1%pt_1 ich@pron%nom you@pron%pl_obj rehersen@v%inf in@prep speciale@n,
Hir hye malice? She is a shrewe at al.,Hir hie malice? she is a shrewe at al.°,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1222,,10,10,Hir hye malice She is a shrewe at al,Hir hie malice she is a shrewe at al,u S uSx u S u Sx u S,u S uSx u S u Sx u S,hire@pron1%fem_gen heigh@adj malice@n she@pron%nom ben@v%pr_3 a@indef_art shreue@n at@prep al@gram_adjas_n,hire@pron1%fem_gen heigh@adj malice@n she@pron%nom ben@v%pr_3 a@indef_art shreue@n at@prep al@gram_adjas_n,
Ther is a long and large difference,Ther is a long and large difference,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1223,,10,10,Ther is a long and large difference,Ther is a long and large difference,u S u S u Su SuSx,u S u S u Su SuSx,ther@adv ben@v%pr_3 a@indef_art long@adj1 and@conj large@adj difference@n,ther@adv ben@v%pr_3 a@indef_art long@adj1 and@conj large@adj difference@n,
Bitwix Grisildis grete pacience,Bitwix° Grisildis grete pacience,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1224,,10,10,Bitwix Grisildis grete pacience,Bitwix Grisildis grete pacience,uS uSu Su SuSx,uS uSu Su SuSx,bitwixe@prep grisilde@n#propn%gen gret@adj pacience@n,bitwixe@prep grisilde@n#propn%gen gret@adj pacience@n,
