OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whilom ther was dwellynge in Lumbardye,¶Whilom° ther was dwellinge in Lumbardie,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1245,,0,10,Whilom ther was dwellynge in Lumbardye,Whilom ther was dwellinge in Lumbardie,"     ",uS u S uSx u SuS,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp in@prep lombardie@n#propn,whilom@adv ther@adv ben@v%pt_3 dwellen@v%prp in@prep lombardie@n#propn,
"A worthy knyght, that born was of Pavye","A worthy knight, that born was of Pavie",data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1246,,0,10,A worthy knyght that born was of Pavye,A worthy knight that born was of Pavie,"       ",u Su S u S u S uS,a@indef_art worthi@adj knight@n that@pron beren@v1%ppl ben@v%pt_3 of@prep pavie@n#propn,a@indef_art worthi@adj knight@n that@pron beren@v1%ppl ben@v%pt_3 of@prep pavie@n#propn,
In which he lyved in greet prosperitee;,In which° he lived in greet prosperitee;,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1247,,10,10,In which he lyved in greet prosperitee,In which he lived in greet prosperitee,u S u Su S u SxuS,u S u Su S u SxuS,in@prep which@pron he@pron1%nom liven@v1%pt_3 in@prep gret@adj prosperite@n,in@prep which@pron he@pron1%nom liven@v1%pt_3 in@prep gret@adj prosperite@n,
And sixty yeer a wyflees man was hee,And sixty yeer a wiflees man was he,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1248,,10,10,And sixty yeer a wyflees man was hee,And sixty yeer a wiflees man was he,u Su S u Su S u S,u Su S u Su S u S,and@conj sixti@num_adj yer@n a@indef_art wifles@adj man@n ben@v%pt_3 he@pron1%nom,and@conj sixti@num_adj yer@n a@indef_art wifles@adj man@n ben@v%pt_3 he@pron1%nom,
And folwed ay his bodily delyt,And folwed ay his bodily delit°,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1249,,10,10,And folwed ay his bodily delyt,And folwed ay his bodily delit,u Su S u SuS uS,u Su S u SuS uS,and@conj folwen@v%pt_3 ai@adv his@pron1%gen bodilich@adj delite@n1,and@conj folwen@v%pt_3 ai@adv his@pron1%gen bodilich@adj delite@n1,
"On wommen, ther as was his appetyt","On wommen, theras° was his appetit",data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1250,DIFF,10,10,On wommen ther as was his appetyt,On wommen theras was his appetit,u Su S u S u SuS,u Su Su S u SuS,on@prep womman@n%pl ther@adv as@conj ben@v%pt_3 his@pron1%gen appetit@n,on@prep womman@n%pl ther-as@adv ben@v%pt_3 his@pron1%gen appetit@n,green
As doon thise fooles that been seculeer.,As doon thise foles° that ben seculeer.°,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1251,,10,10,As doon thise fooles that been seculeer,As doon thise foles that ben seculeer,u S ux Su S u SuS,u S ux Su S u SuS,as@conj don@v1%pr_pl these@gram_adj%pl fol@n%pl that@pron ben@v%pr_pl seculere@adj,as@conj don@v1%pr_pl these@gram_adj%pl fol@n%pl that@pron ben@v%pr_pl seculere@adj,
And whan that he was passed sixty yeer,And whan that he was passed sixty yeer,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1252,,10,10,And whan that he was passed sixty yeer,And whan that he was passed sixty yeer,u S u S u Su Su S,u S u S u Su Su S,and@conj whan@adv&conj that@part he@pron1%nom ben@v%pt_3 passen@v%ppl sixti@num_adj yer@n,and@conj whan@adv&conj that@part he@pron1%nom ben@v%pt_3 passen@v%ppl sixti@num_adj yer@n,
Were it for hoolynesse or for dotage,"Were it° for holinesse or for dotage,°",data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1253,,10,10,Were it for hoolynesse or for dotage,Were it for holinesse or for dotage,ux S u SuSx u S uSx,ux S u SuSx u S uSx,ben@v%pt_3 hit@pron for@prep holinesse@n2 or@conj for@prep dotage@n,ben@v%pt_3 hit@pron for@prep holinesse@n2 or@conj for@prep dotage@n,
"I kan nat seye, but swich a greet corage","I can nat sey, but swich a greet corage°",data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1254,,10,10,I kan nat seye but swich a greet corage,I can nat sey but swich a greet corage,u S u S u S u S uSx,u S u S u S u S uSx,ich@pron%nom connen@v%pr_1 not@adv seien@v1%inf but@conj swich@gram_adj a@indef_art gret@adj corage@n,ich@pron%nom connen@v%pr_1 not@adv seien@v1%inf but@conj swich@gram_adj a@indef_art gret@adj corage@n,
Hadde this knyght to been a wedded man,Had this knight to been a wedded man,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1255,,9,9,Hadde this knyght to been a wedded man,Had this knight to been a wedded man,Sx u S u S u Su S,S u S u S u Su S,haven@v%pt_3 this@gram_adj knight@n to@part ben@v%inf a@indef_art wedden@v#adj%ppl man@n,haven@v%pt_3 this@gram_adj knight@n to@part ben@v%inf a@indef_art wedden@v#adj%ppl man@n,
That day and nyght he dooth al that he kan,That day and night he dooth al that he can,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1256,,10,10,That day and nyght he dooth al that he kan,That day and night he dooth al that he can,u S u S u S u S u S,u S u S u S u S u S,that@conj dai@n and@conj night@n he@pron1%nom don@v1%pr_3 al@gram_adjas_n that@pron he@pron1%nom connen@v%pr_3,that@conj dai@n and@conj night@n he@pron1%nom don@v1%pr_3 al@gram_adjas_n that@pron he@pron1%nom connen@v%pr_3,
T' espien where he myghte wedded be,T’espien° where he mighte wedded be;,data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1257,,10,10,T espien where he myghte wedded be,T espien where he mighte wedded be," uSu Sx u Su Su S"," uSu Sx u Su Su S",to@part aspien@v%inf wher@adv&conj he@pron1%nom mouen@v3%pt_3 wedden@v%ppl ben@v%inf,to@part aspien@v%inf wher@adv&conj he@pron1%nom mouen@v3%pt_3 wedden@v%ppl ben@v%inf,
Preyinge oure Lord to graunten him that he,"Preyinge° our Lord to granten him, that he",data/riverside_cats/MerT_riv.cat,data/oxford_txts/MerT_oxford.txt,data/csvs/MerT,The Merchant's Tale 1258,,10,10,Preyinge oure Lord to graunten him that he,Preyinge our Lord to granten him that he,uSx ux S u Su S u S,uSx u S u Su S u S,preien@v1%prp_abs oure@pron%pl_gen lord@n to@part graunten@v%inf him@pron%obj that@conj he@pron1%nom,preien@v1%prp_abs oure@pron%pl_gen lord@n to@part graunten@v%inf him@pron%obj that@conj he@pron1%nom,
