OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
By that the Maunciple hadde his tale al ended,¶By that° the Maunciple hadde his tale al ended,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 1,,10,10,By that the Maunciple hadde his tale al ended,By that the Maunciple hadde his tale al ended,u S u Sux Sx u Sx u Sx,u S u Sux Sx u Sx u Sx,bi@conj that@pron the@def_art maunciple@n haven@v%pt_3 his@pron1%gen tale@n al@adv enden@v%ppl,bi@conj that@pron the@def_art maunciple@n haven@v%pt_3 his@pron1%gen tale@n al@adv enden@v%ppl,
The sonne fro the south lyne was descended,The sonne fro the south line° was descended,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 2,,10,10,The sonne fro the south lyne was descended,The sonne fro the south line was descended,u Sx u S u Sx u SuS,u Sx u S u Sx u SuS,the@def_art sonne@n from@prep the@def_art south@adj line@n1 ben@v%pt_3 descenden@v%ppl,the@def_art sonne@n from@prep the@def_art south@adj line@n1 ben@v%pt_3 descenden@v%ppl,
"So lowe that he nas nat, to my sighte","So lowe, that he nas nat,° to my sighte",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 3,,10,10,So lowe that he nas nat to my sighte,So lowe that he nas nat to my sighte,u Su S u S u S u Sx,u Su S u S u S u Sx,so@adv loue@adv that@conj he@pron1%nom ben@v%pt_3_neg not@adv to@prep min@pron%gen sighte@n,so@adv loue@adv that@conj he@pron1%nom ben@v%pt_3_neg not@adv to@prep min@pron%gen sighte@n,
Degrees nyne and twenty as in highte.,Degreës nine and twenty as in° highte.,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 4,,9,9,Degrees nyne and twenty as in highte,Degres nine and twenty as in highte,Su Sx u Su S u Sx,Su Sx u Su S u Sx,degre@n%pl nin@num_adj and@conj twenti@num_adj as@conj in@prep heighte@n,degre@n%pl nin@num_adj and@conj twenti@num_adj as@conj in@prep heighte@n,
"Foure of the clokke it was tho, as I gesse","Foure of the clokke it was tho, as I gesse;",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 5,,10,10,Foure of the clokke it was tho as I gesse,Foure of the clokke it was tho as I gesse,ux S u Sx u S u S u Sx,ux S u Sx u S u S u Sx,four@num_n of@prep the@def_art clokke@n hit@pron ben@v%pt_3 tho@adv as@conj ich@pron%nom gessen@v%pr_1,four@num_n of@prep the@def_art clokke@n hit@pron ben@v%pt_3 tho@adv as@conj ich@pron%nom gessen@v%pr_1,
"For ellevene foot, or litel moore or lesse","For eleven foot, or litel more or lesse",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 6,,10,10,For ellevene foot or litel moore or lesse,For eleven foot or litel more or lesse,u Suxx S u Su Sx u Sx,u Sux S u Su Sx u Sx,for@conj elleven@num_adj fot@n or@conj litel@adv more@adj or@conj lesse@adj%comp,for@conj elleven@num_adj fot@n or@conj litel@adv more@adj or@conj lesse@adj%comp,
"My shadwe was at thilke tyme, as there","My shadwe was at thilke° time, as there,°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 7,,10,10,My shadwe was at thilke tyme as there,My shadwe was at thilke time as there,u Su S u Su Sx u Sx,u Su S u Su Sx u Sx,min@pron%gen shadwe@n ben@v%pt_3 at@prep thilke@gram_adj time@n as@conj ther@adv,min@pron%gen shadwe@n ben@v%pt_3 at@prep thilke@gram_adj time@n as@conj ther@adv,
Of swiche feet as my lengthe parted were,Of swich feet as my lengthe parted° were,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 8,DIFF,10,10,Of swiche feet as my lengthe parted were,Of swich feet as my lengthe parted were,u Sx u S u Su Su Sx,u S u S u Su Su Sx,of@prep swich@gram_adj fot@n%pl as@conj min@pron%gen lengthe@n parten@v%ppl ben@v%pt_3,of@prep swich@gram_adj fot@n%pl as@conj min@pron%gen lengthe@n parten@v%ppl ben@v%pt_3,green
In sixe feet equal of proporcioun.,In six feet equal of proporcioun.,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 9,,10,10,In sixe feet equal of proporcioun,In six feet equal of proporcioun,u Sx u Su S uSuS,u S u Su S uSuS,in@prep six@num_adj fot@n%pl equal@adj of@prep proporcioun@n,in@prep six@num_adj fot@n%pl equal@adj of@prep proporcioun@n,
Therwith the moones exaltacioun --,"Therwith the mones exaltacioun,°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 10,,10,10,Therwith the moones exaltacioun,Therwith the mones exaltacioun,uS u Su SuSuS,uS u Su SuSuS,ther-with@adv the@def_art mone@n1%gen exaltacioun@n1 --@dash,ther-with@adv the@def_art mone@n1%gen exaltacioun@n1 --@dash,
