OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
A marchant whilom dwelled at Seint-Denys,¶A marchant whilom° dwelled at Seint Denis,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 1,DIFF,10,10,A marchant whilom dwelled at SeintDenys,A marchant whilom dwelled at Seint Denis,u Su Su Su S uxS,u Su Su Su S u xS,a@indef_art marchaunt@n whilom@adv dwellen@v%pt_3 at@prep seint-denis@n#propn,a@indef_art marchaunt@n whilom@adv dwellen@v%pt_3 at@prep seinte@adj denis@n#propn,green
"That riche was, for which men helde hym wys.","That riche was, for which men helde° him wis;",data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 2,,10,10,That riche was for which men helde hym wys,That riche was for which men helde him wis,u Su S u S u Sx u S,u Su S u S u Sx u S,that@pron riche@adj ben@v%pt_3 for@prep which@pron man@n%pl holden@v1%pt_pl him@pron%obj wise@adj,that@pron riche@adj ben@v%pt_3 for@prep which@pron man@n%pl holden@v1%pt_pl him@pron%obj wise@adj,
A wyf he hadde of excellent beautee;,A wif he hadde of excellent beautee,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 3,,10,10,A wyf he hadde of excellent beautee,A wif he hadde of excellent beautee,u S u Sx u SuS uS,u S u Sx u SuS uS,a@indef_art wif@n he@pron1%nom haven@v%pt_3 of@prep excellent@adj beaute@n,a@indef_art wif@n he@pron1%nom haven@v%pt_3 of@prep excellent@adj beaute@n,
And compaignable and revelous was she,And compaignable° and revelous° was she,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 4,,10,10,And compaignable and revelous was she,And compaignable and revelous was she,u SuSx u SuS u S,u SuSx u SuS u S,and@conj compaignable@adj and@conj revelous@adj ben@v%pt_3 she@pron%nom,and@conj compaignable@adj and@conj revelous@adj ben@v%pt_3 she@pron%nom,
Which is a thyng that causeth more dispence,Which is a thing that causeth more dispence°,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 5,,10,10,Which is a thyng that causeth more dispence,Which is a thing that causeth more dispence,u S u S u Su Sx uSx,u S u S u Su Sx uSx,which@pron ben@v%pr_3 a@indef_art thing@n that@pron causen@v1%pr_3 more@adj%comp dispense@n,which@pron ben@v%pr_3 a@indef_art thing@n that@pron causen@v1%pr_3 more@adj%comp dispense@n,
Than worth is al the chiere and reverence,Than worth is al the cheere° and reverence,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 6,,10,10,Than worth is al the chiere and reverence,Than worth is al the cheere and reverence,u S u S u Sux S uxSx,u S u S u Sx u SuSx,than@conj worth@adj ben@v%pr_3 al@gram_adj the@def_art chere@n1 and@conj reverence@n,than@conj worth@adj ben@v%pr_3 al@gram_adj the@def_art chere@n1 and@conj reverence@n,
That men hem doon at festes and at daunces.,That men hem doon° at festes and at daunces;,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 7,,10,10,That men hem doon at festes and at daunces,That men hem doon at festes and at daunces,u S u S u Su S u Sx,u S u S u Su S u Sx,that@pron man@n%pl hem@pron%pl_obj don@v1%pr_pl at@prep feste@n%pl and@conj at@prep daunce@n%pl,that@pron man@n%pl hem@pron%pl_obj don@v1%pr_pl at@prep feste@n%pl and@conj at@prep daunce@n%pl,
Swiche salutaciouns and contenaunces,Swich salutaciouns and contenaunces°,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 8,DIFF,10,10,Swiche salutaciouns and contenaunces,Swich salutaciouns and contenaunces,ux SuSuS u SuSx,u SuSuS u SuSx,swich@gram_adj salutacioun@n%pl and@conj contenaunce@n%pl,swich@gram_adj salutacioun@n%pl and@conj contenaunce@n%pl,green
Passen as dooth a shadwe upon the wal;,Passen as dooth a shadwe° upon the wal.,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 9,,10,10,Passen as dooth a shadwe upon the wal,Passen as dooth a shadwe upon the wal,uS u S u Sx uS u S,uS u S u Sx uS u S,passen@v%pr_pl as@conj don@v1%pr_3 a@indef_art shadwe@n upon@prep the@def_art wal@n1,passen@v%pr_pl as@conj don@v1%pr_3 a@indef_art shadwe@n upon@prep the@def_art wal@n1,
But wo is hym that payen moot for al!,But wo is him that payen moot° for al;,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 10,,10,10,But wo is hym that payen moot for al,But wo is him that payen moot for al,u S u S u Su S u S,u S u S u Su S u S,but@conj wo@n ben@v%pr_3 him@pron%obj that@pron paien@v%inf moten@v2%pr_3 for@prep al@gram_adjas_n,but@conj wo@n ben@v%pr_3 him@pron%obj that@pron paien@v%inf moten@v2%pr_3 for@prep al@gram_adjas_n,
"The sely housbonde, algate he moot paye","The sely° housbonde, algate° he moot paye;",data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 11,,10,10,The sely housbonde algate he moot paye,The sely housbonde algate he moot paye,u Su Sux Sux S u S,u Su Sux Sux S u S,the@def_art seli@adj hous-bonde@n al-gates@adv he@pron1%nom moten@v2%pr_3 paien@v%inf,the@def_art seli@adj hous-bonde@n al-gates@adv he@pron1%nom moten@v2%pr_3 paien@v%inf,
"He moot us clothe, and he moot us arraye","He moot us clothe, and he moot us arraye,°",data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 12,,0,0,He moot us clothe and he moot us arraye,He moot us clothe and he moot us arraye,"        ",u S u S u S u S uS,he@pron1%nom moten@v2%pr_3 us@pron%pl_obj clothen@v%inf and@conj he@pron1%nom moten@v2%pr_3 us@pron%pl_obj arraien@v%inf,he@pron1%nom moten@v2%pr_3 us@pron%pl_obj clothen@v%inf and@conj he@pron1%nom moten@v2%pr_3 us@pron%pl_obj arraien@v%inf,green
Al for his owene worshipe richely,Al for his owne worship richely,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 13,,10,10,Al for his owene worshipe richely,Al for his owne worship richely,u S u Sux Sux SuS,u S u Su Su SuS,al@adv for@prep his@pron1%gen ouen@adj worshipe@n richeli@adv,al@adv for@prep his@pron1%gen ouen@adj worshipe@n richeli@adv,
In which array we daunce jolily.,In which array we daunce jolily.°,data/riverside_cats/ShipT_riv.cat,data/oxford_txts/ShipT_oxford.txt,data/csvs/ShipT,The Shipman's Tale 14,,10,10,In which array we daunce jolily,In which array we daunce jolily,u S uS u Su SuS,u S uS u Su SuS,in@prep which@gram_adj arrai@n we@pron%pl_nom dauncen@v%pr_pl jolili@adv,in@prep which@gram_adj arrai@n we@pron%pl_nom dauncen@v%pr_pl jolili@adv,
