TYPE,headword,word,tag,oxford_count,riverside_count,oxford_files,riverside_files,oxford_contexts,riverside_contexts
BOTH,abaten,abate,v%inf,1,1,data/oxford_txts/MkT_oxford.txt,data/riverside_cats/MkT_riverside_reordered.cat,The Monk's Tale 2590: Wening° that God ne mighte his pride abate.°,The Monk's Tale 2590: Wenynge that God ne myghte his pride abate
BOTH,abiden,abide,v%inf,39,10,data/oxford_txts/PardT_oxford.txt; data/oxford_txts/MerT_oxford.txt; data/oxford_txts/MLT_oxford.txt; data/oxford_txts/LGW_FPro_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/SqT_oxford.txt; data/oxford_txts/FranT_oxford.txt; data/oxford_txts/NPT_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/ShipT_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/WBPro_oxford.txt; data/oxford_txts/TC3_oxford.txt; data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC4_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/LGW_FPro_riv.cat; data/riverside_cats/TC3_riv.cat,"The Shipman's Tale 160: But out it moot,° I may namore abide.° | Troilus and Criseyde; Book II 1158: Quod she, “I can abide til they be goon,” | The Legend of Good Women; Prologue F 180: The longe day I shoop me° for t’abide°",The Legend of Good Women; Prologue F 180: The longe day I shoop me for t abide | Troilus and Criseyde; Book III 643: And have a thonk as grucche and thanne abide | Troilus and Criseyde; Book III 1432: That under that men myghte in reste abide
BOTH,abiden,abide,v%pr_2,1,1,data/oxford_txts/HF_oxford.txt,data/riverside_cats/HF_riv.cat,House of Fame 1994: That thou a whil abide° me,House of Fame 1994: That thou a while abide me
OXFORD,abiden,abide,v%pr_pl,3,0,data/oxford_txts/WBT_oxford.txt; data/oxford_txts/PardT_oxford.txt; data/oxford_txts/LGW_oxford.txt,,"The Wife of Bath's Tale 979: Heer may ye se, thogh we a time abide,° | 100-ch 1718: And at the chambre-dore they abide.° | The Pardoner's Tale 747: In age, if that ye so longe abide;°",
RIVERSIDE,abiden,abyde,v%imp,0,1,,data/riverside_cats/WBPro_riv.cat,,The Wife of Bath's Prologue 169: Abyde quod she my tale is nat bigonne
RIVERSIDE,abiden,abyde,v%inf,0,30,,data/riverside_cats/TC2_riv.cat; data/riverside_cats/FranT_riv.cat; data/riverside_cats/SqT_riv.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/TC1_riv.cat; data/riverside_cats/MLT_riv.cat; data/riverside_cats/MerT_riv.cat; data/riverside_cats/NPT_riv.cat; data/riverside_cats/WBPro_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/PardT_riv.cat; data/riverside_cats/ShipT_riv.cat,,The Shipman's Tale 160: But out it moot I may namoore abyde | Troilus and Criseyde; Book II 1158: Quod she I kan abyde til they be gon | The Wife of Bath's Prologue 255: She may no while in chastitee abyde
RIVERSIDE,abiden,abyde,v%pr_pl,0,3,,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/PardT_riv.cat; data/riverside_cats/WBT_riv.cat,,The Wife of Bath's Tale 979: Heere may ye se thogh we a tyme abyde | 100-ch 1718: And at the chambredore they abyde | The Pardoner's Tale 747: In age if that ye so longe abyde
BOTH,abien,aboughte,v%pt_pl,1,1,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat,Troilus and Criseyde; Book V 1756: Ful cruelly the Grekes ay aboughte;,Troilus and Criseyde; Book V 1756: Ful cruwely the Grekis ay aboughte
BOTH,abounden,habounde,v%inf,2,2,data/oxford_txts/MkT_oxford.txt; data/oxford_txts/MerT_oxford.txt,data/riverside_cats/MerT_riv.cat; data/riverside_cats/TC2_riv.cat,"The Merchant's Tale 1286: Wel may his herte in joye and blisse habounde.° | The Monk's Tale 2396: Which that he knew in heigh° science habounde,°",Troilus and Criseyde; Book II 159: In whom that alle vertu list habounde | The Merchant's Tale 1286: Wel may his herte in joy and blisse habounde
RIVERSIDE,abreiden,abrayde,v%inf,0,1,,data/riverside_cats/TC5_riv.cat,,Troilus and Criseyde; Book V 520: This Troilus gan of his slep t abrayde
OXFORD,abreiden,abreide,v%inf,2,0,data/oxford_txts/TC3_oxford.txt; data/oxford_txts/HF_oxford.txt,,"Troilus and Criseyde; Book III 1113: But al for nought; yet mighte he not abreide. | House of Fame 559: And, for I sholde the bet abreide°—",
OXFORD,abreiden,abreide,v%pr_3,1,0,data/oxford_txts/RvT_oxford.txt,,"The Reeve's Tale 4190: “And if that he out of his sleep abreide,°",
RIVERSIDE,abreiden,abreyde,v%inf,0,2,,data/riverside_cats/HF_riv.cat; data/riverside_cats/TC3_riv.cat,,Troilus and Criseyde; Book III 1113: But al for nought yit myght he nought abreyde | House of Fame 559: And for I shulde the bet abreyde
RIVERSIDE,abreiden,abreyde,v%pr_3,0,1,,data/riverside_cats/RvT_riv.cat,,The Reeve's Tale 4190: And gif that he out of his sleep abreyde
OXFORD,abreiden,tabreide,v%inf,1,0,data/oxford_txts/TC5_oxford.txt,,Troilus and Criseyde; Book V 520: This Troilus gan of his sleep t’abreide,
BOTH,absenten,absente,v%pr_pl,1,1,data/oxford_txts/ABC_oxford.txt,data/riverside_cats/ABC_riv.cat,"ABC 43: Biseching° you that ye you not absente,°",ABC 43: Biseeching yow that ye you not absente
BOTH,accorden,accorde,v%inf,1,2,data/oxford_txts/MancT_oxford.txt,data/riverside_cats/ABC_riv.cat; data/riverside_cats/MancT_riv.cat,The Manciple's Tale 208: The word mot nede° accorde with the dede.°,The Manciple's Tale 208: The word moot nede accorde with the dede | ABC 27: God vouched sauf thurgh thee with us to accorde
RIVERSIDE,accorden,accorde,v%pr_pl,0,1,,riverside_cats/01-1-ch.cat,,832: If evensong and morwesong accorde
BOTH,accorden,acorde,v%inf,4,3,data/oxford_txts/ABC_oxford.txt; data/oxford_txts/TC5_oxford.txt; data/oxford_txts/PF_oxford.txt; data/oxford_txts/TC4_oxford.txt,data/riverside_cats/TC4_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/PF_riv.cat,"ABC 27: God vouched saf° thurgh thee with us t’acorde.° | Troilus and Criseyde; Book IV 1519: Min herte, ywis, may therwith not acorde. | Troilus and Criseyde; Book V 446: That at that feste it nas wel herd acorde;",Troilus and Criseyde; Book IV 1519: Myn herte ywys may therwith naught acorde | Troilus and Criseyde; Book V 446: That at that feste it nas wel herd acorde | Parliament of Fowls 608: This is my red syn they may nat acorde
BOTH,accorden,acorde,v%pr_1,1,1,data/oxford_txts/LGW_FPro_oxford.txt,data/riverside_cats/LGW_FPro_riv.cat,The Legend of Good Women; Prologue F 3: And I acorde° wel that it is so;,The Legend of Good Women; Prologue F 3: And I acorde wel that it ys so
BOTH,accorden,acorde,v%pr_pl,1,1,oxford_txts/GP.txt,data/riverside_cats/LGW_riverside_reordered.cat,832: If evensong and morwesong acorde,100-ch 1739: For they acorde bothe in dede and sygne
BOTH,agasten,agaste,v%inf,2,2,data/oxford_txts/NPT_oxford.txt; data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat; data/riverside_cats/NPT_riv.cat,"Troilus and Criseyde; Book II 901: And ay gan love hir lasse for to agaste | The Nun's Priest's Tale 3088: ‘No dreem,’ quod he, ‘may so min herte agaste,°",Troilus and Criseyde; Book II 901: And ay gan love hire lasse for t agaste | The Nun's Priest's Tale 3088: No dreem quod he may so myn herte agaste
RIVERSIDE,agreen,agre,v%pr_3,0,1,,data/riverside_cats/PF_riv.cat,,Parliament of Fowls 409: That she agre to his eleccioun
BOTH,agreen,agree,v%pr_3,2,1,data/oxford_txts/TC1_oxford.txt; data/oxford_txts/PF_oxford.txt,data/riverside_cats/TC1_riv.cat,"Parliament of Fowls 409: That she agree to his eleccioun,° | Troilus and Criseyde; Book I 409: If harme agree me, wherto pleine I thenne?",Troilus and Criseyde; Book I 409: If harm agree me wherto pleyne I thenne
BOTH,ajournen,ajourne,v%pr_2,1,1,data/oxford_txts/ABC_oxford.txt,data/riverside_cats/ABC_riv.cat,"ABC 158: Lady, unto that court thou me ajourne°",ABC 158: Ladi unto that court thou me ajourne
BOTH,alighten,alighte,v%inf,2,2,data/oxford_txts/ClT_oxford.txt,data/riverside_cats/ClT_riv.cat,"The Clerk's Tale 909: To his estaat so lowe for t’alighte,° | The Clerk's Tale 981: Abouten undern° gan this erl alighte,°",The Clerk's Tale 909: To his estaat so lowe for t alighte | The Clerk's Tale 981: Abouten undren gan this erl alighte
BOTH,alighten,alighte,v%pt_pl,1,1,data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat,"Troilus and Criseyde; Book V 513: Of Troilus, they doun of hors alighte",Troilus and Criseyde; Book V 513: Of Troilus they doun of hors alighte
BOTH,amenden,amende,v%inf,10,11,data/oxford_txts/TC2_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_oxford.txt; data/oxford_txts/SqT_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/TC3_oxford.txt; data/oxford_txts/TC5_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/SqT_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/TC3_riv.cat; data/riverside_cats/BD_riv.cat,"100-ch 2418: That carpenter ne coude° it nat amende.° | Troilus and Criseyde; Book II 245: And if I have er this, I wol amende. | The Squire's Tale 97: Ne coude him nat amende° with a word.",100-ch 2418: That carpenter ne coude it nat amende | Troilus and Criseyde; Book II 245: And if I have er this I wol amende | The Squire's Tale 97: Ne koude hym nat amende with a word
BOTH,amenden,amende,v%pr_1,1,1,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/TC2_riv.cat,Troilus and Criseyde; Book II 854: That day by day I in my wille amende.,Troilus and Criseyde; Book II 854: That day by day I in my wille amende
BOTH,amenden,amende,v%pr_3,1,3,data/oxford_txts/TC2_oxford.txt,data/riverside_cats/SumT_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/PardT_riv.cat,"Troilus and Criseyde; Book II 1731: And in what plit oon is, God him amende!",Troilus and Criseyde; Book II 1731: And in what plit oon is God hym amende | The Summoner's Tale 1810: Ye God amende defautes sire quod she | The Pardoner's Tale 767: And yow amende Thus seyde this olde man
RIVERSIDE,answeren,andswere,v%imp,0,1,,data/riverside_cats/MerT_riv.cat,,The Merchant's Tale 1870: Andswere to my demaunde as in this cas
OXFORD,answeren,answer,v%inf,4,0,data/oxford_txts/FriT_oxford.txt; data/oxford_txts/MerT_oxford.txt; data/oxford_txts/ShipT_oxford.txt,,"The Shipman's Tale 412: I wol answer yow shortly, to the point. | The Friar's Tale 1589: T’answer to the court of certein thinges.’ | The Friar's Tale 1596: And answer there, by my procutour,°",
OXFORD,appareillen,apparail,v%inf,1,0,data/oxford_txts/WBPro_oxford.txt,,"The Wife of Bath's Prologue 343: Ye wommen shul apparail yow,” quod he",
OXFORD,appointen,apointe,v%inf,1,0,data/oxford_txts/TC5_oxford.txt,,"Troilus and Criseyde; Book V 1620: That this shal be, that can I not apointe.",
RIVERSIDE,appointen,apoynte,v%inf,0,1,,data/riverside_cats/TC5_riv.cat,,Troilus and Criseyde; Book V 1620: That this shal be that kan I naught apoynte
BOTH,approchen,approche,v%imp,1,1,data/oxford_txts/ThopPro_oxford.txt,data/riverside_cats/ThopPro_riv.cat,"Prologue to Sir Thopas 698: Approche neer, and looke up murily.°",Prologue to Sir Thopas 698: Approche neer and looke up murily
BOTH,approchen,approche,v%pr_2,1,1,data/oxford_txts/WBPro_oxford.txt,data/riverside_cats/WBPro_riv.cat,"The Wife of Bath's Prologue 178: Be war of it, er thou to neigh° approche;",The Wife of Bath's Prologue 178: Be war of it er thou to ny approche
OXFORD,aqueinten,aqueinte,v%inf,1,0,data/oxford_txts/BD_oxford.txt,,"Book of the Duchess 532: And I saw that, and gan me aqueinte°",
RIVERSIDE,aqueinten,aqueynte,v%inf,0,1,,data/riverside_cats/BD_riv.cat,,Book of the Duchess 532: And I saw that and gan me aqueynte
BOTH,aquiten,acquite,v%inf,2,2,data/oxford_txts/FriT_oxford.txt; data/oxford_txts/ClT_oxford.txt,data/riverside_cats/FriT_riv.cat; data/riverside_cats/ClT_riv.cat,"The Friar's Tale 1599: Twelf pens to me, and I wol thee acquite. | The Clerk's Tale 936: Ther can no man in humblesse him acquite°",The Friar's Tale 1599: Twelf pens to me and I wol thee acquite | The Clerk's Tale 936: Ther kan no man in humblesse hym acquite
RIVERSIDE,aquiten,aquite,v%imp,0,1,,data/riverside_cats/TC2_riv.cat,,Troilus and Criseyde; Book II 1200: Aquite hym wel for Goddes love quod he
BOTH,aracen,arace,v%pr_3,1,1,data/oxford_txts/TC3_oxford.txt,data/riverside_cats/TC3_riv.cat,Troilus and Criseyde; Book III 1015: Ther Jove him sone out of your herte arace!,Troilus and Criseyde; Book III 1015: Ther Jove hym sone out of youre herte arace
OXFORD,areden,ared,v%inf,1,0,data/oxford_txts/BD_oxford.txt,,"Book of the Duchess 289: I trowe, ared° my dremes even.°",
BOTH,areden,arede,v%inf,3,4,data/oxford_txts/TC2_oxford.txt; data/oxford_txts/TC4_oxford.txt,data/riverside_cats/TC4_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/BD_riv.cat,"Troilus and Criseyde; Book II 1505: And what it is, I leie, I can arede. | Troilus and Criseyde; Book IV 1112: Wherwith she can, if I shal right arede | Troilus and Criseyde; Book IV 1570: Wolde of it seye? It is ful light t’arede.",Troilus and Criseyde; Book II 1505: And what it is I leye I kan arede | Troilus and Criseyde; Book IV 1112: Wherwith she kan if I shal right arede | Troilus and Criseyde; Book IV 1570: Wolde of it seye It is ful light t arede
BOTH,aresten,areste,v%inf,2,2,data/oxford_txts/FranT_oxford.txt; oxford_txts/GP.txt,riverside_cats/01-1-ch.cat; data/riverside_cats/FranT_riv.cat,"The Franklin's Tale 1370: They comanded his doghtres for t’areste,° | 829: And there our host bigan his hors areste",The Franklin's Tale 1370: They comanded his doghtres for t areste | 829: And there oure Hoost bigan his hors areste
OXFORD,asken,ask,v%pr_1,1,0,data/oxford_txts/PF_oxford.txt,,Parliament of Fowls 648: I ask respit for to avisen me.°,
BOTH,asken,aske,v%pr_2,1,1,data/oxford_txts/MilT_oxford.txt,data/riverside_cats/MilT_riv.cat,"The Miller's Tale 3557: Ax nat why, for though thou aske me",The Miller's Tale 3557: Axe nat why for though thou aske me
BOTH,asken,aske,v%pr_3,1,1,data/oxford_txts/BD_oxford.txt,data/riverside_cats/BD_riv.cat,"Book of the Duchess 32: But natheles, who aske this",Book of the Duchess 32: But natheles who aske this
BOTH,asken,asked,v%pt_pl,1,2,data/oxford_txts/PF_oxford.txt,data/riverside_cats/MilT_riv.cat,"Parliament of Fowls 579: Of this matere, and asked what she radde;°",The Miller's Tale 3195: If that men asked hym in certein houres | The Miller's Tale 3197: Or if men asked hym what sholde bifalle
OXFORD,asken,ax,v%pr_1,1,0,data/oxford_txts/WBPro_oxford.txt,,"The Wife of Bath's Prologue 21: But that I ax,° why that the fifthe man",
BOTH,asken,axe,v%imp,1,3,data/oxford_txts/PardT_oxford.txt,data/riverside_cats/FriT_riv.cat; data/riverside_cats/PardT_riv.cat; data/riverside_cats/MilT_riv.cat,"The Pardoner's Tale 667: “Go bet,”° quod he, “and axe redily",The Friar's Tale 1557: Axe hym thyself if thou nat trowest me | The Miller's Tale 3557: Axe nat why for though thou aske me | The Pardoner's Tale 667: Go bet quod he and axe redily
BOTH,asken,axed,v%pt_pl,1,1,data/oxford_txts/SNT_oxford.txt,data/riverside_cats/SNT_riv.cat,The Second Nun's Tale 430: In oo demande; ye axed lewedly.”°,The Second Nun's Tale 430: In o demande ye axed lewedly
RIVERSIDE,asken,axede,v%pt_pl,0,1,,data/riverside_cats/PF_riv.cat,,Parliament of Fowls 579: Of this matere and axede what she radde
BOTH,aspien,espide,v%pt_pl,2,1,data/oxford_txts/LGW_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat,"100-ch 771: Or wonder° erly, lest men it espide;° | 100-ch 1422: For drede° lest his lordes it espide.°",100-ch 1422: For drede lest his lordes it espide
BOTH,aspien,espie,v%pr_3,1,1,data/oxford_txts/CYT_oxford.txt,data/riverside_cats/CYT_riv.cat,"The Canon's Yeoman's Tale 1138: Our privetee,° that no man us espie",The Canon's Yeoman's Tale 1138: Oure pryvetee that no man us espie
RIVERSIDE,aspien,espyde,v%pt_pl,0,1,,data/riverside_cats/LGW_riverside_reordered.cat,,100-ch 771: Or wonder erly lest men it espyde
RIVERSIDE,aspien,espye,v%pr_3,0,1,,data/riverside_cats/MilT_riv.cat,,The Miller's Tale 3566: That no man of oure purveiaunce espye
OXFORD,aspien,spie,v%pr_3,1,0,data/oxford_txts/MilT_oxford.txt,,The Miller's Tale 3566: That no man of our purveaunce° spie.,
RIVERSIDE,assaien,asay,v%inf,0,1,,data/riverside_cats/TC5_riv.cat,,Troilus and Criseyde; Book V 783: But for t asay he seyde it naught n agreveth
RIVERSIDE,assaien,assay,v%inf,0,2,,data/riverside_cats/BD_riv.cat,,Book of the Duchess 346: T assay hys horn and for to knowe | Book of the Duchess 574: But whooso wol assay hymselve
BOTH,assaien,assaye,v%imp,1,1,data/oxford_txts/MerPro_oxford.txt,data/riverside_cats/MerPro_riv.cat,"The Merchant's Prologue 1229: Assaye° whoso° wol, and he shal finde",The Merchant's Prologue 1229: Assaye whoso wole and he shal fynde
RIVERSIDE,assaillen,assaile,v%pr_3,0,1,,data/riverside_cats/TC4_riv.cat,,Troilus and Criseyde; Book IV 1595: The tenthe day but if that deth m assaile
BOTH,assenten,assente,v%inf,17,17,data/oxford_txts/MerT_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/KnT_oxford.txt; oxford_txts/GP.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/LGW_oxford.txt; data/oxford_txts/FranT_oxford.txt; data/oxford_txts/TC1_oxford.txt; data/oxford_txts/ClT_oxford.txt; data/oxford_txts/TC5_oxford.txt; data/oxford_txts/MkT_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/FranT_riv.cat; data/riverside_cats/ClT_riv.cat; data/riverside_cats/TC5_riv.cat; data/riverside_cats/TC1_riv.cat; data/riverside_cats/MerT_riv.cat; riverside_cats/01-1-ch.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/TC4_riv.cat; data/riverside_cats/MkT_riverside_reordered.cat,"100-ch 730: But° that hir fadres° nolde° it nat assente;° | Troilus and Criseyde; Book II 356: As wel as thee, if that I sholde assente | Troilus and Criseyde; Book II 1539: And to Pandarus reed gan al assente",100-ch 730: But that here fadres nolde it nat assente | Troilus and Criseyde; Book II 356: As wel as the if that I sholde assente | Troilus and Criseyde; Book II 1539: And to Pandarus reed gan al assente
BOTH,assenten,assente,v%pr_1,3,3,data/oxford_txts/TC2_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/MLPro_oxford.txt,data/riverside_cats/TC4_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/MLPro_riv.cat,"Troilus and Criseyde; Book II 1058: Quod Troilus, “Depardieux, I assente; | 02-1-ch 39: ¶“Hoste,” quod he, “depardieux° ich° assente; | Troilus and Criseyde; Book IV 632: And seide, “Freend, graunt mercy, ich assente;",Troilus and Criseyde; Book II 1058: Quod Troilus Depardieux ich assente | 02-1-ch 39: Hooste quod he depardieux ich assente | Troilus and Criseyde; Book IV 632: And seyde Frend graunt mercy ich assente
RIVERSIDE,assenten,assente,v%pr_3,0,1,,data/riverside_cats/TC2_riv.cat,,Troilus and Criseyde; Book II 335: For to ben slayn if his fortune assente
BOTH,assenten,assente,v%pr_pl,1,1,data/oxford_txts/PhyT_oxford.txt,data/riverside_cats/PhyT_riv.cat,The Physician's Tale 87: Loke wel that ye unto no vice assente,The Physician's Tale 87: Looke wel that ye unto no vice assente
OXFORD,assenten,wolde,v%pr_3,1,0,data/oxford_txts/TC2_oxford.txt,,"Troilus and Criseyde; Book II 335: For to be slain, if fortune wolde assente;",
BOTH,assuren,assure,v%imp,1,1,data/oxford_txts/TC1_oxford.txt,data/riverside_cats/TC1_riv.cat,"Troilus and Criseyde; Book I 680: “Therfore, as freend fullich in me assure",Troilus and Criseyde; Book I 680: Therfore as frend fullich in me assure
OXFORD,asterten,astert,v%inf,1,0,data/oxford_txts/BD_oxford.txt,,"Book of the Duchess 1154: And who hath that, may not astert.°",
BOTH,asterten,asterte,v%inf,5,7,data/oxford_txts/FranT_oxford.txt; data/oxford_txts/WBT_oxford.txt; data/oxford_txts/KnT_oxford.txt; data/oxford_txts/LGW_oxford.txt,data/riverside_cats/FriT_riv.cat; data/riverside_cats/LGW_riverside_reordered.cat; data/riverside_cats/FranT_riv.cat; data/riverside_cats/WBT_riv.cat; data/riverside_cats/KnT_riv.cat; data/riverside_cats/BD_riv.cat,"The Wife of Bath's Tale 968: That nedely° som word hir moste asterte;° | 100-ch 1802: What! shal she crie, or how shal she asterte° | 100-ch 2338: So that she mighte him° nevermore asterte.°",The Wife of Bath's Tale 968: That nedely som word hire moste asterte | 100-ch 1802: What shal she crye or how shal she asterte | 100-ch 2338: So that she myghte hym neveremore asterte
BOTH,asterten,asterte,v%pr_3,1,2,data/oxford_txts/TC1_oxford.txt,data/riverside_cats/TC5_riv.cat; data/riverside_cats/TC1_riv.cat,Troilus and Criseyde; Book I 1050: And yet m’athinketh that this avaunt me asterte!,Troilus and Criseyde; Book V 1343: That sleth my wit if aught amys m asterte | Troilus and Criseyde; Book I 1050: And yet m athenketh that this avant m asterte
OXFORD,asterten,masterte,v%pr_3,1,0,data/oxford_txts/TC5_oxford.txt,,"Troilus and Criseyde; Book V 1343: That sleeth my wit, if ought amis m’asterte",
BOTH,at-reden,atrede,v%inf,2,2,data/oxford_txts/KnT_oxford.txt; data/oxford_txts/TC4_oxford.txt,data/riverside_cats/TC4_riv.cat; data/riverside_cats/KnT_riv.cat,"Troilus and Criseyde; Book IV 1456: ‘Men may the wise atrenne, and not atrede.’ | The Knight's Tale 2449: Men may the olde atrenne,° and noght atrede.°",Troilus and Criseyde; Book IV 1456: Men may the wise atrenne and naught atrede | The Knight's Tale 2449: Men may the olde atrenne and noght atrede
