headword,classification,notes,evidence,total_occurrences
abaten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
abaven,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
abounden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%prp(-e:2),6
abreggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:14),14
abreiden,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:6); v%pr_3(-e:2); v%pt_1(-d:2); v%pt_3(-e:9, -d:1)",20
abrochen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
absenten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
accomplisshen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
accusen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%ppl(-ed:2); v%pt_3(-ed:4)",10
acheken,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
acloien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
acoien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
adournen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
affermen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:4); v%pr_3(-eth:2),8
affilen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
afrighten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
agreen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_3(-e:4),6
agroteien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
ajournen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2(-e:2),2
aken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_pl(-e:2),8
alighten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl(-t:4); v%pt_3(-e:8); v%pt_pl(-e:2),18
alleggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_1(-e:2),8
allien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:5, -en:4); v%ppl(-ed:4)",13
alosen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
amaien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:4),4
amblen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2); v%imp(-e:2),4
ameven,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:2),2
amounten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:8),8
anoien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%ppl(-ed:2); v%pr_3(-eth:10); v%pr_pl(-en:2)",18
apaien,weak,"classified by morphological evidence on January 27, 2026","v%ppl(-d:20, -ed:8); v%ppl_abs(-d:8, -ed:4)",40
apeiren,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2); v%pr_pl(-e:2),6
appareillen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:3, -en:2, other:1)",6
apperceiven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-eth:2),6
apperen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:20, -en:2); v%ppl(-ed:2); v%pt_3(-ed:2)",26
appertenen,unknown,"classified by morphological evidence on January 27, 2026",v%prp(other:2),2
appesen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:10); v%ppl(-ed:4); v%pr_pl(-en:2),16
appetiten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
appreven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:4),4
approchen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:6, -en:6); v%pr_2(-e:2); v%pr_3(-eth:4); v%pt_3(-ed:2)",22
aquiten,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2, -eth:2); v%inf(-e:4)",8
aracen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_3(-e:2),8
araisen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
areden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:9, -ed:1)",10
aresten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2)",6
arten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
ascenden,weak,"classified by morphological evidence on January 27, 2026","v%ppl(-ed:2); v%prp(other:1, -e:1)",4
assignen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
assoilen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2); v%inf(-e:4, -en:2); v%pr_1(-e:2)",10
asswagen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:7),7
at-reden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
at-rennen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
ataken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2); v%ppl_abs(-e:2),4
athinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_3(-eth:2),4
