OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whan ended was the lyf of Seinte Cecile,¶Whan ended was the lif of Seint Cecile,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 554,,10,10,Whan ended was the lyf of Seinte Cecile,Whan ended was the lif of Seint Cecile,u Su S u S u Sx uSx,u Su S u S u S uSx,whan@adv&conj enden@v%ppl ben@v%pt_3 the@def_art lif@n of@prep seinte@adj cecile@n#propn,whan@adv&conj enden@v%ppl ben@v%pt_3 the@def_art lif@n of@prep seinte@adj cecile@n#propn,
Er we hadde riden fully fyve mile,Er° we had riden fully five mile,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 555,,10,10,Er we hadde riden fully fyve mile,Er we had riden fully five mile,u S ux Su Su Su Sx,u S u Su Su Su Sx,er@conj1 we@pron%pl_nom haven@v%pt_pl riden@v%ppl fulli@adv five@num_adj mile@n1,er@conj1 we@pron%pl_nom haven@v%pt_pl riden@v%ppl fulli@adv five@num_adj mile@n1,
At Boghtoun under Blee us gan atake,At Boghton under Blee us gan atake°,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 556,,10,10,At Boghtoun under Blee us gan atake,At Boghton under Blee us gan atake,u Su Su S u S uSx,u Su Su S u S uSx,at@prep boghtoun@n#propn under@prep blee@n#propn us@pron%pl_obj ginnen@v%pt_3 ataken@v%inf,at@prep boghtoun@n#propn under@prep blee@n#propn us@pron%pl_obj ginnen@v%pt_3 ataken@v%inf,
A man that clothed was in clothes blake,"A man, that clothed was in clothes blake",data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 557,,10,10,A man that clothed was in clothes blake,A man that clothed was in clothes blake,u S u Su S u Su Sx,u S u Su S u Su Sx,a@indef_art man@n that@pron clothen@v%ppl ben@v%pt_3 in@prep cloth@n%pl blak@adj,a@indef_art man@n that@pron clothen@v%ppl ben@v%pt_3 in@prep cloth@n%pl blak@adj,
And undernethe he hadde a whyt surplys.,And under that he had a whit surplis.°,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 558,DIFF,10,10,And undernethe he hadde a whyt surplys,And under that he had a whit surplis,u SuSx u Sx u S uS,u Su S u S u S uS,and@conj undernethen@adv he@pron1%nom haven@v%pt_3 a@indef_art whit@adj surplis@n,and@conj under@prep  he@pron1%nom haven@v%pt_3 a@indef_art whit@adj surplis@n,green
"His hakeney, that was al pomely grys","His hakeney,° that was al pomely° gris,°",data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 559,,10,10,His hakeney that was al pomely grys,His hakeney that was al pomely gris,u Sxu S u S uSu S,u Sxu S u S uSu S,his@pron1%gen hakeneie@n that@pron ben@v%pt_3 al@adv pomele@adj gris@adj,his@pron1%gen hakeneie@n that@pron ben@v%pt_3 al@adv pomele@adj gris@adj,
So swatte that it wonder was to see;,"So swatte,° that it wonder was to see;",data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 560,,10,10,So swatte that it wonder was to see,So swatte that it wonder was to see,u Su S u Su S u S,u Su S u Su S u S,so@adv sweten@v1%pt_3 that@conj hit@pron wonder@n ben@v%pt_3 to@part sen@v1%inf,so@adv sweten@v1%pt_3 that@conj hit@pron wonder@n ben@v%pt_3 to@part sen@v1%inf,
It semed as he had priked miles three.,It semed he had priked° miles three.,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 561,DIFF,10,10,It semed as he had priked miles three,It semed he had priked miles three,u Su S u S uS ux S,u Su S u Su Su S,hit@pron semen@v2%pt_3 as@conj he@pron1%nom haven@v%pt_3 priken@v%ppl mile@n1%pl thre@num_adj,hit@pron semen@v2%pt_3 he@pron1%nom haven@v%pt_3 priken@v%ppl mile@n1%pl thre@num_adj,green
The hors eek that his yeman rood upon,The hors eek that his yeman° rood upon,data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 562,,10,10,The hors eek that his yeman rood upon,The hors eek that his yeman rood upon,u S u S u Su S uS,u S u S u Su S uS,the@def_art hors@n ek@adv that@pron his@pron1%gen yeman@n riden@v%pt_3 upon@prep,the@def_art hors@n ek@adv that@pron his@pron1%gen yeman@n riden@v%pt_3 upon@prep,
So swatte that unnethe myghte it gon.,"So swatte, that unnethe° mighte it gon.",data/riverside_cats/CYPro_riv.cat,data/oxford_txts/CYPro_oxford.txt,data/csvs/CYPro,Prologue to the Canon's Yeoman's Tale 563,,10,10,So swatte that unnethe myghte it gon,So swatte that unnethe mighte it gon,u Su S uSu Sx u S,u Su S uSu Sx u S,so@adv sweten@v1%pt_3 that@conj unethe@adv mouen@v3%pt_3 hit@pron gon@v%inf,so@adv sweten@v1%pt_3 that@conj unethe@adv mouen@v3%pt_3 hit@pron gon@v%inf,
