OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Oure Hooste gan to swere as he were wood;,"¶Our Hoste gan to swere as he° were wood,°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 287,,10,10,Oure Hooste gan to swere as he were wood,Our Hoste gan to swere as he were wood,ux Sx u S ux S u Su S,u Sx u S ux S u Su S,oure@pron%pl_gen hoste@n2 ginnen@v%pt_3 to@part sweren@v%inf as@conj he@pron1%nom ben@v%pt_3 wod@adj,oure@pron%pl_gen hoste@n2 ginnen@v%pt_3 to@part sweren@v%inf as@conj he@pron1%nom ben@v%pt_3 wod@adj,
"Harrow!"""" quod he, """"by nayles and by blood!","“Harrow!”° quod he, “by nailes and by blood!",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 288,,10,10,Harrow quod he by nayles and by blood,Harrow quod he by nailes and by blood,uS u S u Su S u S,uS u S u Su S u S,harou@interj quethen@v%pt_3 he@pron1%nom bi@prep nail@n%pl and@conj bi@prep blod@n1,harou@interj quethen@v%pt_3 he@pron1%nom bi@prep nail@n%pl and@conj bi@prep blod@n1,
This was a fals cherl and a fals justise.,This was a fals cherl° and a fals justise!°,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 289,,10,10,This was a fals cherl and a fals justise,This was a fals cherl and a fals justise,u S u S u S u S uSx,u S u S u S u S uSx,this@pron ben@v%pt_3 a@indef_art fals@adj cherl@n and@conj a@indef_art fals@adj justice@n,this@pron ben@v%pt_3 a@indef_art fals@adj cherl@n and@conj a@indef_art fals@adj justice@n,
As shameful deeth as herte may devyse,As shamful deeth as herte may devise°,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 290,,10,10,As shameful deeth as herte may devyse,As shamful deeth as herte may devise,u SuS u S ux S uSx,u Su S u Su S uSx,as@conj shamefulle@adj deth@n as@conj herte@n mouen@v3%pr_3 devisen@v%inf,as@conj shamefulle@adj deth@n as@conj herte@n mouen@v3%pr_3 devisen@v%inf,
Come to thise juges and hire advocatz!,Come to thise juges and hir advocats!°,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 291,,10,10,Come to thise juges and hire advocatz,Come to thise juges and hir advocats,ux S ux Su S ux SuS,ux S ux Su S u SuS,comen@v%pr_3 to@prep these@gram_adj%pl juge@n1%pl and@conj here@pron%pl_gen advocat@n%pl,comen@v%pr_3 to@prep these@gram_adj%pl juge@n1%pl and@conj here@pron%pl_gen advocat@n%pl,
"Algate this sely mayde is slayn, allas!","Algate° this sely° maide is slain, allas!",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 292,,10,10,Algate this sely mayde is slayn allas,Algate this sely maide is slain allas,uSx u Su Sx u S uS,uSx u Su Sx u S uS,al-gates@adv this@gram_adj seli@adj maide@n ben@v%pr_3 slen@v%ppl alas@interj,al-gates@adv this@gram_adj seli@adj maide@n ben@v%pr_3 slen@v%ppl alas@interj,
"Allas, to deere boughte she beautee!",Allas! to dere° boghte° she beautee!,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 293,,10,10,Allas to deere boughte she beautee,Allas to dere boghte she beautee,uS u Su Su S uS,uS u Su Su S uS,alas@interj to@adv2 dere@adv bien@v%pt_3 she@pron%nom beaute@n,alas@interj to@adv2 dere@adv bien@v%pt_3 she@pron%nom beaute@n,
Wherfore I seye al day that men may see,"Wherfore I seye al day,° as men may see",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 294,DIFF,10,10,Wherfore I seye al day that men may see,Wherfore I seye al day as men may see,uSx u S u S u S u S,uSx u S u S u S u S,wher-for@adv ich@pron%nom seien@v1%pr_1 al@gram_adj dai@n that@conj man@n%pl mouen@v3%pr_pl sen@v1%inf,wher-for@adv ich@pron%nom seien@v1%pr_1 al@gram_adj dai@n seien@v1%pr_1 man@n%pl mouen@v3%pr_pl seien@v1%pr_1,green
That yiftes of Fortune and of Nature,That yiftes° of fortune or of nature,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 295,DIFF,10,10,That yiftes of Fortune and of Nature,That yiftes of fortune or of nature,u Su S uSx u S uSx,u Su S uSx u S uSx,that@conj yifte@n%pl of@prep fortune@n#propn and@conj of@prep nature@n#propn,that@conj yifte@n%pl of@prep fortune@n#propn or@conj of@prep nature@n#propn,green
Been cause of deeth to many a creature.,Ben cause of deeth to many a creature.,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 296,,10,10,Been cause of deeth to many a creature,Ben cause of deeth to many a creature,u Sx u S u Sx u SuSx,u Sx u S u Sx u SuSx,ben@v%pr_pl cause@n of@prep deth@n to@prep mani@gram_adj a@indef_art creature@n,ben@v%pr_pl cause@n of@prep deth@n to@prep mani@gram_adj a@indef_art creature@n,
"Hire beautee was hire deth, I dar wel sayn.","Hir beautee was hir deeth, I dar wel sayn;",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 297,,10,10,Hire beautee was hire deth I dar wel sayn,Hir beautee was hir deeth I dar wel sayn,ux Su S ux S u S u S,u Su S u S u S u S,hire@pron1%fem_gen beaute@n ben@v%pt_3 hire@pron1%fem_gen deth@n ich@pron%nom durren@v%pr_1 wel@adv seien@v1%inf,hire@pron1%fem_gen beaute@n ben@v%pt_3 hire@pron1%fem_gen deth@n ich@pron%nom durren@v%pr_1 wel@adv seien@v1%inf,
"Allas, so pitously as she was slayn!",Allas! so pitously as she was slain!,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 298,,10,10,Allas so pitously as she was slayn,Allas so pitously as she was slain,uS u SuS u S u S,uS u SuS u S u S,alas@interj so@adv pitousli@adv as@conj she@pron%nom ben@v%pt_3 slen@v%ppl,alas@interj so@adv pitousli@adv as@conj she@pron%nom ben@v%pt_3 slen@v%ppl,
