FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/07/225-gow.cat,225-gow3295,In a Cronique I finde also,In a Cronique I finde also,0,     ,in@prep a@indef_art cronike@n ich@pron%nom finden@v%pr_3 also@adv
gow/07/225-gow.cat,225-gow3296,"Of Siculus, which was ek so",Of Siculus which was ek so,8,u SuS u S u S,of@prep siculus@n#propn which@pron ben@v%pt_3 ek@adv so@adv
gow/07/225-gow.cat,225-gow3297,"A cruel king lich the tempeste,",A cruel king lich the tempeste,8,u Su S u S uSx,a@indef_art cruel@adj king@n like@prep the@def_art tempest@n
gow/07/225-gow.cat,225-gow3298,"The whom no Pite myhte areste, --",The whom no Pite myhte areste ,8,u S u Su Sx uSx,the@def_art whom@pron%obj no@gram_adj pite@n mouen@v3%pt_3 aresten@v%inf --@dash
gow/07/225-gow.cat,225-gow3299,"He was the ferste, as bokes seie,",He was the ferste as bokes seie,8,u S u Sx u Su S,he@pron1%nom ben@v%pt_3 the@def_art first@num_n as@conj bok@n1%pl seien@v1%pr_pl
gow/07/225-gow.cat,225-gow3300,Upon the See which fond Galeie,Upon the See which fond Galeie,8,uS u S u S uS,upon@prep the@def_art se@n1 which@pron finden@v%pt_3 galeie@n
gow/07/225-gow.cat,225-gow3301,"And let hem make for the werre, --",And let hem make for the werre ,8,u S u Su S u Sx,and@conj leten@v%pt_3 hem@pron%pl_obj maken@v1%inf for@prep the@def_art werre@n1 --@dash
gow/07/225-gow.cat,225-gow3302,As he which al was out of herre,As he which al was out of herre,8,u S u S u S u Sx,as@conj he@pron1%nom which@pron al@adv ben@v%pt_3 oute@adv of@prep herre@n1
gow/07/225-gow.cat,225-gow3303,Fro Pite and misericorde;,Fro Pite and misericorde,8,u Su S uSuSx,from@prep pite@n and@conj misericorde@n
gow/07/225-gow.cat,225-gow3304,"For therto couthe he noght acorde,",For therto couthe he noght acorde,8,u Su Sx u S uSx,for@conj ther-to@adv connen@v%pt_3 he@pron1%nom nought@adv accorden@v%inf
gow/07/225-gow.cat,225-gow3305,"Bot whom he myhte slen, he slouh,",Bot whom he myhte slen he slouh,8,u S u Su S u S,but@conj whom@pron%obj he@pron1%nom mouen@v3%pt_3 slen@v%inf he@pron1%nom slen@v%pt_3
gow/07/225-gow.cat,225-gow3306,And therof was he glad ynouh.,And therof was he glad ynouh,8,u Su S u S uS,and@conj ther-of@adv ben@v%pt_3 he@pron1%nom glad@adj inough@adv
gow/07/225-gow.cat,225-gow3307,"He hadde of conseil manyon,",He hadde of conseil manyon,8,u Su S uS uS,he@pron1%nom haven@v%pt_3 of@prep counseil@n mani_on@phr#n
gow/07/225-gow.cat,225-gow3308,"Among the whiche ther was on,",Among the whiche ther was on,8,uS u Su S u S,amonges@prep the@def_art which@pron ther@adv ben@v%pt_3 on@pron
gow/07/225-gow.cat,225-gow3309,Be name which Berillus hihte;,Be name which Berillus hihte,8,u Su S uSu Sx,bi@prep name@n which@pron berillus@n#propn hoten@v1%pt_3
