FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/07/234-gow.cat,234-gow3807,Nou forthermore if I schal sein,Nou forthermore if I schal sein,8,u SuSx u S u S,nou@adv further_more@adv if@conj ich@pron%nom shulen@v1%pr_3 seien@v1%inf
gow/07/234-gow.cat,234-gow3808,"Of my matiere, and torne ayein",Of my matiere and torne ayein,0,     ,of@prep min@pron matere@n and@conj turnen@v%inf ayen@adv
gow/07/234-gow.cat,234-gow3809,To speke of justice and Pite,To speke of justice and Pite,8,u Su S uSx u Sx,to@part speken@v%inf of@prep justice@n and@conj pite@n
gow/07/234-gow.cat,234-gow3810,"After the reule of realte,",After the reule of realte,8,uS u Su S uSx,after@prep the@def_art reule@n of@prep realte@n1
gow/07/234-gow.cat,234-gow3811,"This mai a king wel understonde,",This mai a king wel understonde,8,u S u S u SuSx,this@pron mouen@v3%pr_3 a@indef_art king@n wel@adv understonden@v%inf
gow/07/234-gow.cat,234-gow3812,"Knihthode mot ben take on honde,",Knihthode mot ben take on honde,8,uSu S u Sx u Sx,knighthode@n moten@v2%pr_3 ben@v%inf taken@v%inf on@prep honde@n
gow/07/234-gow.cat,234-gow3813,Whan that it stant upon the nede:,Whan that it stant upon the nede,8,u S u S uS u Sx,whan@adv&conj that@part hit@pron stonden@v1%pr_3 upon@prep the@def_art nede@n1
gow/07/234-gow.cat,234-gow3814,"He schal no rihtful cause drede,",He schal no rihtful cause drede,8,u S u Su Su Sx,he@pron1%nom shulen@v1%pr_3 no@gram_adj rightful@adj cause@n dreden@v%inf
gow/07/234-gow.cat,234-gow3815,"Nomore of werre thanne of pes,",Nomore of werre thanne of pes,8,uSx u Su Sx u S,no_more@adv of@prep werre@n1 than@conj of@prep pes@n
gow/07/234-gow.cat,234-gow3816,If he wol stonde blameles;,If he wol stonde blameles,8,u S u Su SuS,if@conj he@pron1%nom willen@v%pr_3 stonden@v1%inf blameles@adj
gow/07/234-gow.cat,234-gow3817,For such a cause a king mai have,For such a cause a king mai have,8,u S u Sx u S u Sx,for@conj swich@gram_adj a@indef_art cause@n a@indef_art king@n mouen@v3%pr_3 haven@v%inf
gow/07/234-gow.cat,234-gow3818,"That betre him is to sle than save,",That betre him is to sle than save,8,u Sx u S u S u Sx,that@conj bettre@adj him@pron%obj ben@v%pr_3 to@part slen@v%inf than@conj saven@v%inf
gow/07/234-gow.cat,234-gow3819,Wherof thou myht ensample finde.,Wherof thou myht ensample finde,8,uS u S uSu Sx,wher-of@adv thou@pron%nom mouen@v3%pt_2 ensaumple@n finden@v%inf
gow/07/234-gow.cat,234-gow3820,The hihe makere of mankinde,The hihe makere of mankinde,8,u Sx uSu S uSx,the@def_art heigh@adj makere@n of@prep man-kinde@n
gow/07/234-gow.cat,234-gow3821,"Be Samuel to Saul bad,",Be Samuel to Saul bad,0,    ,bi@prep samuel@n#propn to@prep saul@n#propn bidden@v%pt_3
gow/07/234-gow.cat,234-gow3822,That he schal nothing ben adrad,That he schal nothing ben adrad,8,u S u Su S uS,that@conj he@pron1%nom shulen@v1%pr_3 no-thing@adv ben@v%inf adreden@v%ppl
gow/07/234-gow.cat,234-gow3823,Ayein king Agag forto fihte;,Ayein king Agag forto fihte,8,uS u Su Su Sx,ayen@prep king@n agag@n#propn forto@part fighten@v%inf
gow/07/234-gow.cat,234-gow3824,"For this the godhede him behihte,",For this the godhede him behihte,8,u S u Sux S uSx,for@conj this@pron the@def_art godhede@n1 him@pron%obj bihoten@v%pt_3
gow/07/234-gow.cat,234-gow3825,That Agag schal ben overcome:,That Agag schal ben overcome,8,u Su S u SuSx,that@conj agag@n#propn shulen@v1%pr_3 ben@v%inf overcomen@v%ppl
gow/07/234-gow.cat,234-gow3826,"And whan it is so ferforth come,",And whan it is so ferforth come,8,u S u S u Su Sx,and@conj whan@adv&conj hit@pron ben@v%pr_3 so@adv fer-forth@adv comen@v%ppl
gow/07/234-gow.cat,234-gow3827,"That Saul hath him desconfit,",That Saul hath him desconfit,7,S u S u SuS,that@conj saul@n#propn haven@v%pr_3 him@pron%obj discomfiten@v%ppl
gow/07/234-gow.cat,234-gow3828,"The god bad make no respit,",The god bad make no respit,8,u S u Su S uS,the@def_art god@n1 bidden@v%pt_3 maken@v1%inf no@gram_adj respite@n
gow/07/234-gow.cat,234-gow3829,That he ne scholde him slen anon.,That he ne scholde him slen anon,8,u S u Sx u S uS,that@conj he@pron1%nom ne@adv shulen@v1%pt_3 him@pron%obj slen@v%inf an-on@adv
gow/07/234-gow.cat,234-gow3830,Bot Saul let it overgon,Bot Saul let it overgon,7,S u S u SuS,but@conj saul@n#propn leten@v%pt_3 hit@pron overgon@v%inf
gow/07/234-gow.cat,234-gow3831,And dede noght the goddes heste:,And dede noght the goddes heste,8,u Su S u Su Sx,and@conj don@v1%pt_3 nought@adv the@def_art god@n1%gen heste@n1
gow/07/234-gow.cat,234-gow3832,For Agag made gret beheste,For Agag made gret beheste,8,u Su Su S uSx,for@conj agag@n#propn maken@v1%pt_3 gret@adj biheste@n
gow/07/234-gow.cat,234-gow3833,"Of rancoun which he wolde yive,",Of rancoun which he wolde yive,8,u Su S u Su Sx,of@prep raunsoun@n which@pron he@pron1%nom willen@v%pt_3 yeven@v%inf
gow/07/234-gow.cat,234-gow3834,King Saul soffreth him to live,King Saul soffreth him to live,7,S u Su S u Sx,king@n saul@n#propn sufferen@v%pr_3 him@pron%obj to@part liven@v1%inf
gow/07/234-gow.cat,234-gow3835,And feigneth pite forth withal.,And feigneth pite forth withal,8,u Su Su S uS,and@conj feinen@v%pr_3 pite@n forth@adv with-al@adv
gow/07/234-gow.cat,234-gow3836,"Bot he which seth and knoweth al,",Bot he which seth and knoweth al,8,u S u S u Su S,but@conj he@pron1%nom which@pron sen@v1%pr_3 and@conj knouen@v%pr_3 al@gram_adjas_n
gow/07/234-gow.cat,234-gow3837,"The hihe god, of that he feigneth",The hihe god of that he feigneth,8,u Sx u S u S uS,the@def_art heigh@adj god@n1 of@prep that@pron he@pron1%nom feinen@v%pr_3
gow/07/234-gow.cat,234-gow3838,"To Samuel upon him pleigneth,",To Samuel upon him pleigneth,8,u Su Su S uS,to@prep samuel@n#propn upon@prep him@pron%obj pleinen@v%pr_3
gow/07/234-gow.cat,234-gow3839,"And sende him word, for that he lefte",And sende him word for that he lefte,8,u Sx u S u S u Sx,and@conj senden@v2%pt_3 him@pron%obj word@n for@conj that@pron he@pron1%nom leven@v1%pt_3
gow/07/234-gow.cat,234-gow3840,Of Agag that he ne berefte,Of Agag that he ne berefte,8,u Su S u S uSx,of@prep agag@n#propn that@conj he@pron1%nom ne@adv bireven@v%pt_3
gow/07/234-gow.cat,234-gow3841,"The lif, he schal noght only dye",The lif he schal noght only dye,8,u S u S u Su S,the@def_art lif@n he@pron1%nom shulen@v1%pr_3 nought@adv onli@adv dien@v%inf
gow/07/234-gow.cat,234-gow3842,"Himself, bot fro his regalie",Himself bot fro his regalie,8,uS u S u SuS,him-self@pron but@conj from@prep his@pron1%gen regalie@n
gow/07/234-gow.cat,234-gow3843,"He schal be put for everemo,",He schal be put for everemo,8,u S u S u SxuS,he@pron1%nom shulen@v1%pr_3 ben@v%inf putten@v%ppl for@prep ever-mor@adv
gow/07/234-gow.cat,234-gow3844,"Noght he, bot ek his heir also,",Noght he bot ek his heir also,8,u S u S u S uS,nought@adv he@pron1%nom but@conj ek@adv his@pron1%gen heir@n also@adv
gow/07/234-gow.cat,234-gow3845,That it schal nevere come ayein.,That it schal nevere come ayein,8,u S u Sux Sx uS,that@conj hit@pron shulen@v1%pr_3 never@adv comen@v%inf ayen@adv
