Adverb,Count,Has_E
so,1834,No
now,731,No
wel,710,No
ful,690,No
ther,670,No
whan,628,No
nat,586,No
thus,545,No
how,474,No
ne,396,Yes
eek,383,No
not,364,No
never,333,No
right,329,No
yet,289,No
al,278,No
than,238,No
tho,195,No
ever,193,No
anon,176,No
up,161,No
also,155,No
ay,155,No
doun,150,No
here,147,Yes
forth,145,No
anoon,144,No
why,135,No
faste,131,Yes
more,121,Yes
nought,119,No
noght,116,No
to,112,No
ywis,112,No
elles,102,No
no,102,No
first,101,No
the,93,Yes
alwey,87,No
out,85,No
what,84,No
ofte,80,Yes
sore,75,Yes
ye,74,Yes
adoun,74,No
again,72,No
there,72,Yes
certes,69,No
heer,69,No
aboute,69,Yes
sone,69,Yes
wher,67,No
trewely,65,No
yit,65,No
lenger,64,No
best,63,No
therto,61,No
therwith,58,No
longe,57,Yes
certein,56,No
shortly,55,No
after,54,No
bet,52,No
prively,51,No
therfor,51,No
above,50,Yes
awey,50,No
ones,49,No
in,47,No
hoom,45,No
wonder,42,No
sodeinly,42,No
most,41,No
evermo,40,No
pitously,40,No
rather,40,No
fully,39,No
theras,38,No
whilom,36,No
nathelees,36,No
nothing,36,No
fro,34,No
amis,34,No
ayein,34,No
thanne,33,Yes
therwithal,33,No
wisly,32,No
yfere,32,Yes
when,32,No
weel,31,No
nedes,30,No
fain,30,No
only,29,No
agein,29,No
natheles,29,No
stille,29,Yes
softe,28,Yes
biforn,28,No
fer,27,No
blive,27,Yes
litel,26,No
mo,26,No
therfore,26,Yes
eft,26,No
loude,26,Yes
yis,26,No
away,25,No
aright,25,No
hastily,24,No
newe,24,Yes
eke,24,Yes
certeinly,24,No
lowe,24,Yes
gladly,23,No
alway,22,No
therof,22,No
evermore,22,Yes
yore,22,Yes
finally,22,No
wheras,21,No
somtime,21,Yes
half,21,No
tomorwe,21,Yes
ynough,20,No
sikerly,20,No
faire,20,Yes
often,20,No
atwo,20,No
hie,20,Yes
bisily,19,No
by,19,No
therby,19,No
where,19,Yes
neigh,19,No
namely,18,No
doutelees,18,No
erst,18,No
bifore,18,Yes
verraily,17,No
soone,17,Yes
soothly,17,No
nowher,17,No
softely,17,No
almost,17,No
subtilly,16,No
swithe,16,Yes
clere,16,Yes
of,16,No
aweye,16,Yes
overal,15,No
on,15,No
unnethe,15,Yes
lightly,15,No
withoute,15,Yes
wide,14,Yes
openly,14,No
goodly,14,No
wis,14,No
