Source_File,liche,lich,Total,Percent_liche
Anelida_gui_complete.csv,1,0,1,100.00%
BD_gui_complete.csv,3,2,5,60.00%
CYT_gui_complete.csv,1,0,1,100.00%
ClT_gui_complete.csv,3,1,4,75.00%
GP_gui_complete.csv,1,0,1,100.00%
HF_gui_complete.csv,7,0,7,100.00%
KnT_gui_complete.csv,2,1,3,66.67%
LGW_FPro_gui_complete.csv,1,0,1,100.00%
LGW_gui_complete.csv,2,0,2,100.00%
RvT_gui_complete.csv,0,1,1,0.00%
ShipT_gui_complete.csv,0,1,1,0.00%
SqT_gui_complete.csv,2,2,4,50.00%
SumT_gui_complete.csv,1,0,1,100.00%
TC1_gui_complete.csv,1,0,1,100.00%
TC2_gui_complete.csv,1,2,3,33.33%
TC3_gui_complete.csv,5,0,5,100.00%
TC4_gui_complete.csv,2,0,2,100.00%
TC5_gui_complete.csv,3,1,4,75.00%
