Tag,Ending,Count,Percent
v%pt_3,other,2875,37.92%
v%pt_3,-t,211,2.78%
v%pt_3,-d,1356,17.89%
v%pt_3,-te,1052,13.88%
v%pt_3,-de,1381,18.22%
v%pt_3,-e,249,3.28%
v%pt_3,-ed,372,4.91%
v%pt_3,-ede,18,0.24%
v%pt_3,-et,60,0.79%
v%pt_3,vowel,5,0.07%
v%pt_3,-en,1,0.01%
v%pt_3,-eth,1,0.01%
v%pr_3,-eth,1098,17.56%
v%pr_3,-t,383,6.13%
v%pr_3,other,3918,62.67%
v%pr_3,-ede,27,0.43%
v%pr_3,vowel,27,0.43%
v%pr_3,-e,600,9.60%
v%pr_3,-de,60,0.96%
v%pr_3,-te,125,2.00%
v%pr_3,-d,3,0.05%
v%pr_3,-ed,4,0.06%
v%pr_3,-et,5,0.08%
v%pr_3,-en,2,0.03%
v%inf,-en,922,11.98%
v%inf,-e,4604,59.83%
v%inf,other,684,8.89%
v%inf,-de,577,7.50%
v%inf,-te,467,6.07%
v%inf,vowel,281,3.65%
v%inf,-t,15,0.19%
v%inf,-et,6,0.08%
v%inf,-d,15,0.19%
v%inf,-ede,115,1.49%
v%inf,-ed,3,0.04%
v%inf,-ing,5,0.06%
v%inf,-eth,1,0.01%
v%pr_pl,-e,549,24.52%
v%pr_pl,other,863,38.54%
v%pr_pl,-en,602,26.89%
v%pr_pl,-t,38,1.70%
v%pr_pl,vowel,43,1.92%
v%pr_pl,-te,55,2.46%
v%pr_pl,-de,55,2.46%
v%pr_pl,-ede,20,0.89%
v%pr_pl,-eth,7,0.31%
v%pr_pl,-d,4,0.18%
v%pr_pl,-et,3,0.13%
v%ppl,-t,431,15.01%
v%ppl,-ed,889,30.95%
v%ppl,-d,312,10.86%
v%ppl,other,373,12.99%
v%ppl,-e,367,12.78%
v%ppl,-et,56,1.95%
v%ppl,-en,273,9.51%
v%ppl,-de,81,2.82%
v%ppl,-te,24,0.84%
v%ppl,vowel,65,2.26%
v%ppl,-ede,1,0.03%
v%imp,-eth,263,21.77%
v%imp,other,341,28.23%
v%imp,-en,5,0.41%
v%imp,-t,137,11.34%
v%imp,-e,261,21.61%
v%imp,-et,20,1.66%
v%imp,vowel,90,7.45%
v%imp,-ede,6,0.50%
v%imp,-d,42,3.48%
v%imp,-ed,16,1.32%
