Tag,Verb_Class,Ending,Count,Percent
v,strong,-n,1,100.00%
v,weak,other,1,100.00%
v#adj%ppl,strong,-e,2,22.22%
v#adj%ppl,strong,-en,7,77.78%
v#adj%ppl,weak,-ed,82,73.87%
v#adj%ppl,weak,-te,9,8.11%
v#adj%ppl,weak,-et,4,3.60%
v#adj%ppl,weak,-t,8,7.21%
v#adj%ppl,weak,-d,3,2.70%
v#adj%ppl,weak,other,1,0.90%
v#adj%ppl,weak,-e,1,0.90%
v#adj%ppl,weak,-en,1,0.90%
v#adj%ppl,weak,-de,2,1.80%
v#adj%ppl_n,weak,-ed,1,100.00%
v#adj%prp,strong,-e,2,28.57%
v#adj%prp,strong,-ing,4,57.14%
v#adj%prp,strong,-est,1,14.29%
v#adj%prp,weak,-ing,16,94.12%
v#adj%prp,weak,-e,1,5.88%
v#adv%prp,weak,-ing,1,100.00%
v%imp,irregular,other,25,12.25%
v%imp,irregular,-e,46,22.55%
v%imp,irregular,vowel,90,44.12%
v%imp,irregular,-eth,41,20.10%
v%imp,irregular,-n,2,0.98%
v%imp,strong,other,150,33.63%
v%imp,strong,-t,122,27.35%
v%imp,strong,-eth,57,12.78%
v%imp,strong,-et,17,3.81%
v%imp,strong,-e,53,11.88%
v%imp,strong,-d,35,7.85%
v%imp,strong,-de,4,0.90%
v%imp,strong,-ed,1,0.22%
v%imp,strong,-n,1,0.22%
v%imp,strong,-te,4,0.90%
v%imp,strong,-ing,1,0.22%
v%imp,strong,-en,1,0.22%
v%imp,weak,-eth,163,30.93%
v%imp,weak,-en,4,0.76%
v%imp,weak,-e,140,26.57%
v%imp,weak,-et,3,0.57%
v%imp,weak,other,160,30.36%
v%imp,weak,-n,1,0.19%
v%imp,weak,-t,15,2.85%
v%imp,weak,-ede,6,1.14%
v%imp,weak,-ed,15,2.85%
v%imp,weak,-te,7,1.33%
v%imp,weak,-d,7,1.33%
v%imp,weak,-de,4,0.76%
v%imp,weak,-ing,2,0.38%
v%imp_2,irregular,-e,1,100.00%
v%inf,irregular,-n,139,16.01%
v%inf,irregular,-en,128,14.75%
v%inf,irregular,vowel,165,19.01%
v%inf,irregular,-e,436,50.23%
v%inf,strong,-e,263,43.33%
v%inf,strong,-en,226,37.23%
v%inf,strong,other,33,5.44%
v%inf,strong,-de,39,6.43%
v%inf,strong,-d,9,1.48%
v%inf,strong,-te,28,4.61%
v%inf,strong,vowel,3,0.49%
v%inf,strong,-et,1,0.16%
v%inf,strong,-n,2,0.33%
