Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,ger,unknown,-ing,1,50.00%
ShipT_gui_complete.csv,ger,unknown,-e,1,50.00%
ShipT_gui_complete.csv,ger%pl,unknown,other,1,100.00%
ShipT_gui_complete.csv,v#adj%ppl,weak,-ed,2,100.00%
ShipT_gui_complete.csv,v%imp,irregular,-eth,4,57.14%
ShipT_gui_complete.csv,v%imp,irregular,-e,1,14.29%
ShipT_gui_complete.csv,v%imp,irregular,other,2,28.57%
ShipT_gui_complete.csv,v%imp,strong,other,6,46.15%
ShipT_gui_complete.csv,v%imp,strong,-t,2,15.38%
ShipT_gui_complete.csv,v%imp,strong,-e,4,30.77%
ShipT_gui_complete.csv,v%imp,strong,vowel,1,7.69%
ShipT_gui_complete.csv,v%imp,unknown,-eth,1,100.00%
ShipT_gui_complete.csv,v%imp,weak,-eth,2,28.57%
ShipT_gui_complete.csv,v%imp,weak,-en,2,28.57%
ShipT_gui_complete.csv,v%imp,weak,-e,1,14.29%
ShipT_gui_complete.csv,v%imp,weak,-et,1,14.29%
ShipT_gui_complete.csv,v%imp,weak,other,1,14.29%
ShipT_gui_complete.csv,v%inf,irregular,-e,17,65.38%
ShipT_gui_complete.csv,v%inf,irregular,-en,4,15.38%
ShipT_gui_complete.csv,v%inf,irregular,other,3,11.54%
ShipT_gui_complete.csv,v%inf,irregular,-de,1,3.85%
ShipT_gui_complete.csv,v%inf,irregular,-te,1,3.85%
ShipT_gui_complete.csv,v%inf,strong,-e,14,46.67%
ShipT_gui_complete.csv,v%inf,strong,other,9,30.00%
ShipT_gui_complete.csv,v%inf,strong,-de,4,13.33%
ShipT_gui_complete.csv,v%inf,strong,-en,1,3.33%
ShipT_gui_complete.csv,v%inf,strong,vowel,2,6.67%
ShipT_gui_complete.csv,v%inf,unknown,-e,11,100.00%
ShipT_gui_complete.csv,v%inf,weak,-en,4,12.12%
ShipT_gui_complete.csv,v%inf,weak,-e,21,63.64%
ShipT_gui_complete.csv,v%inf,weak,-te,3,9.09%
ShipT_gui_complete.csv,v%inf,weak,-de,1,3.03%
ShipT_gui_complete.csv,v%inf,weak,other,4,12.12%
ShipT_gui_complete.csv,v%ppl,irregular,-t,1,11.11%
ShipT_gui_complete.csv,v%ppl,irregular,-ed,3,33.33%
ShipT_gui_complete.csv,v%ppl,irregular,-d,3,33.33%
ShipT_gui_complete.csv,v%ppl,irregular,other,1,11.11%
ShipT_gui_complete.csv,v%ppl,irregular,-et,1,11.11%
ShipT_gui_complete.csv,v%ppl,strong,other,6,75.00%
ShipT_gui_complete.csv,v%ppl,strong,-e,1,12.50%
ShipT_gui_complete.csv,v%ppl,strong,-en,1,12.50%
ShipT_gui_complete.csv,v%ppl,unknown,other,1,100.00%
ShipT_gui_complete.csv,v%ppl,weak,-ed,14,87.50%
ShipT_gui_complete.csv,v%ppl,weak,-t,1,6.25%
ShipT_gui_complete.csv,v%ppl,weak,-d,1,6.25%
ShipT_gui_complete.csv,v%ppl_abs,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%ppl_abs,unknown,-ed,1,100.00%
ShipT_gui_complete.csv,v%pr_1,irregular,other,17,56.67%
ShipT_gui_complete.csv,v%pr_1,irregular,-e,13,43.33%
ShipT_gui_complete.csv,v%pr_1,strong,-te,1,14.29%
ShipT_gui_complete.csv,v%pr_1,strong,-e,2,28.57%
ShipT_gui_complete.csv,v%pr_1,strong,vowel,2,28.57%
ShipT_gui_complete.csv,v%pr_1,strong,other,2,28.57%
ShipT_gui_complete.csv,v%pr_1,unknown,-e,2,66.67%
ShipT_gui_complete.csv,v%pr_1,unknown,other,1,33.33%
ShipT_gui_complete.csv,v%pr_1,weak,-e,2,28.57%
ShipT_gui_complete.csv,v%pr_1,weak,-te,1,14.29%
ShipT_gui_complete.csv,v%pr_1,weak,other,4,57.14%
ShipT_gui_complete.csv,v%pr_1_neg,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_2,irregular,-t,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,irregular,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,weak,other,1,100.00%
ShipT_gui_complete.csv,v%pr_3,irregular,other,15,62.50%
ShipT_gui_complete.csv,v%pr_3,irregular,-t,2,8.33%
ShipT_gui_complete.csv,v%pr_3,irregular,-ede,3,12.50%
ShipT_gui_complete.csv,v%pr_3,irregular,vowel,1,4.17%
ShipT_gui_complete.csv,v%pr_3,irregular,-e,1,4.17%
ShipT_gui_complete.csv,v%pr_3,irregular,-eth,2,8.33%
ShipT_gui_complete.csv,v%pr_3,strong,other,24,66.67%
ShipT_gui_complete.csv,v%pr_3,strong,-eth,7,19.44%
ShipT_gui_complete.csv,v%pr_3,strong,-t,2,5.56%
ShipT_gui_complete.csv,v%pr_3,strong,-e,3,8.33%
ShipT_gui_complete.csv,v%pr_3,unknown,-eth,1,33.33%
ShipT_gui_complete.csv,v%pr_3,unknown,-de,2,66.67%
ShipT_gui_complete.csv,v%pr_3,weak,-eth,12,41.38%
ShipT_gui_complete.csv,v%pr_3,weak,-t,9,31.03%
ShipT_gui_complete.csv,v%pr_3,weak,other,5,17.24%
ShipT_gui_complete.csv,v%pr_3,weak,-e,1,3.45%
ShipT_gui_complete.csv,v%pr_3,weak,-de,2,6.90%
ShipT_gui_complete.csv,v%pr_3_neg,strong,other,1,100.00%
ShipT_gui_complete.csv,v%pr_pl,irregular,other,11,52.38%
