Source_File,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,v%pt_3,other,42,45.65%
ShipT_gui_complete.csv,v%pt_3,-t,1,1.09%
ShipT_gui_complete.csv,v%pt_3,-d,23,25.00%
ShipT_gui_complete.csv,v%pt_3,-te,10,10.87%
ShipT_gui_complete.csv,v%pt_3,-de,11,11.96%
ShipT_gui_complete.csv,v%pt_3,-e,3,3.26%
ShipT_gui_complete.csv,v%pt_3,-ed,2,2.17%
ShipT_gui_complete.csv,v%pr_3,-eth,22,23.91%
ShipT_gui_complete.csv,v%pr_3,-t,13,14.13%
ShipT_gui_complete.csv,v%pr_3,other,44,47.83%
ShipT_gui_complete.csv,v%pr_3,-ede,3,3.26%
ShipT_gui_complete.csv,v%pr_3,vowel,1,1.09%
ShipT_gui_complete.csv,v%pr_3,-e,5,5.43%
ShipT_gui_complete.csv,v%pr_3,-de,4,4.35%
ShipT_gui_complete.csv,v%inf,-en,9,9.00%
ShipT_gui_complete.csv,v%inf,-e,63,63.00%
ShipT_gui_complete.csv,v%inf,other,16,16.00%
ShipT_gui_complete.csv,v%inf,-de,6,6.00%
ShipT_gui_complete.csv,v%inf,-te,4,4.00%
ShipT_gui_complete.csv,v%inf,vowel,2,2.00%
ShipT_gui_complete.csv,v%pr_pl,-e,12,30.77%
ShipT_gui_complete.csv,v%pr_pl,other,15,38.46%
ShipT_gui_complete.csv,v%pr_pl,-en,5,12.82%
ShipT_gui_complete.csv,v%pr_pl,-t,2,5.13%
ShipT_gui_complete.csv,v%pr_pl,vowel,1,2.56%
ShipT_gui_complete.csv,v%pr_pl,-te,2,5.13%
ShipT_gui_complete.csv,v%pr_pl,-de,1,2.56%
ShipT_gui_complete.csv,v%pr_pl,-ede,1,2.56%
ShipT_gui_complete.csv,v%ppl,-t,2,5.88%
ShipT_gui_complete.csv,v%ppl,-ed,17,50.00%
ShipT_gui_complete.csv,v%ppl,-d,4,11.76%
ShipT_gui_complete.csv,v%ppl,other,8,23.53%
ShipT_gui_complete.csv,v%ppl,-e,1,2.94%
ShipT_gui_complete.csv,v%ppl,-et,1,2.94%
ShipT_gui_complete.csv,v%ppl,-en,1,2.94%
ShipT_gui_complete.csv,v%imp,-eth,7,25.00%
ShipT_gui_complete.csv,v%imp,other,9,32.14%
ShipT_gui_complete.csv,v%imp,-en,2,7.14%
ShipT_gui_complete.csv,v%imp,-t,2,7.14%
ShipT_gui_complete.csv,v%imp,-e,6,21.43%
ShipT_gui_complete.csv,v%imp,-et,1,3.57%
ShipT_gui_complete.csv,v%imp,vowel,1,3.57%
ShipT_gui_complete.csv,v%prp,-ing,1,100.00%
ShipT_gui_complete.csv,v%pt_pl,other,1,8.33%
ShipT_gui_complete.csv,v%pt_pl,-e,2,16.67%
ShipT_gui_complete.csv,v%pt_pl,-te,3,25.00%
ShipT_gui_complete.csv,v%pt_pl,-de,4,33.33%
ShipT_gui_complete.csv,v%pt_pl,-d,1,8.33%
ShipT_gui_complete.csv,v%pt_pl,-t,1,8.33%
