headword,word,tag,line_number,filename,context,text_type,source_file
drauen,drawing,v%prp,The Shipman's Tale 27,data/oxford_txts/ShipT_oxford.txt,That ever in oon° was drawing to that place.,OXFORD,ShipT_gui_complete.csv
ben,wer,v%pt_pl,The Shipman's Tale 35,data/oxford_txts/ShipT_oxford.txt,Wer bothe two yborn in o° village,OXFORD,ShipT_gui_complete.csv
seien,seith,v%pr_pl,The Shipman's Tale 37,data/oxford_txts/ShipT_oxford.txt,"And he again, he seith nat ones nay",OXFORD,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 45,data/oxford_txts/ShipT_oxford.txt,"To doon plesaunce, and also greet costage.°",OXFORD,ShipT_gui_complete.csv
walken,walking,v%prp_abs,The Shipman's Tale 92,data/oxford_txts/ShipT_oxford.txt,¶This goode wif cam walking prively°,OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 118,data/oxford_txts/ShipT_oxford.txt,"For I may singe ‘Allas’ and ‘Weilawey,°",OXFORD,ShipT_gui_complete.csv
beren,born,v%ppl,The Shipman's Tale 119,data/oxford_txts/ShipT_oxford.txt,"That I was born,’ but to no wight,” quod she",OXFORD,ShipT_gui_complete.csv
tellen,tell,v%inf,The Shipman's Tale 120,data/oxford_txts/ShipT_oxford.txt,“Dar I nat tell how that it stant with me.,OXFORD,ShipT_gui_complete.csv
gon,goon,v%inf,The Shipman's Tale 137,data/oxford_txts/ShipT_oxford.txt,"Ne shal I never, for to goon° to helle",OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 160,data/oxford_txts/ShipT_oxford.txt,"But out it moot,° I may namore abide.°",OXFORD,ShipT_gui_complete.csv
witen,woot,v%pr_pl,The Shipman's Tale 173,data/oxford_txts/ShipT_oxford.txt,And wel ye woot that wommen naturelly,OXFORD,ShipT_gui_complete.csv
seien,sey,v%pr_1,The Shipman's Tale 187,data/oxford_txts/ShipT_oxford.txt,"Daun John, I sey, leen me thes hundred frankes;",OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 188,data/oxford_txts/ShipT_oxford.txt,"Pardee,° I wol nat faille yow° my thankes",OXFORD,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 189,data/oxford_txts/ShipT_oxford.txt,If that yow list° to doon that° I yow praye.,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 190,data/oxford_txts/ShipT_oxford.txt,For at a certein day I wol yow paye,OXFORD,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 191,data/oxford_txts/ShipT_oxford.txt,And doon to yow what plesance° and service,OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 192,data/oxford_txts/ShipT_oxford.txt,"That I may doon, right as° yow list° devise.",OXFORD,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 192,data/oxford_txts/ShipT_oxford.txt,"That I may doon, right as° yow list° devise.",OXFORD,ShipT_gui_complete.csv
don,do,v%pr_1,The Shipman's Tale 193,data/oxford_txts/ShipT_oxford.txt,"And but° I do, God take on me vengeance",OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 200,data/oxford_txts/ShipT_oxford.txt,I wol deliver yow out of this care;°,OXFORD,ShipT_gui_complete.csv
deliveren,deliver,v%inf,The Shipman's Tale 200,data/oxford_txts/ShipT_oxford.txt,I wol deliver yow out of this care;°,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 201,data/oxford_txts/ShipT_oxford.txt,For I wol bringe yow an hundred frankes.”,OXFORD,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 207,data/oxford_txts/ShipT_oxford.txt,"Goth now, and beeth as trewe as I shal be.”",OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 215,data/oxford_txts/ShipT_oxford.txt,"Quod she, “what, sir, how longe wol ye faste?",OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 216,data/oxford_txts/ShipT_oxford.txt,How longe time wol ye rekene° and caste°,OXFORD,ShipT_gui_complete.csv
gon,go,v%pr_pl,The Shipman's Tale 223,data/oxford_txts/ShipT_oxford.txt,"What! Lat us here° a messe,° and go we° dine.”",OXFORD,ShipT_gui_complete.csv
shulen,shul,v%pr_pl,The Shipman's Tale 228,data/oxford_txts/ShipT_oxford.txt,"Scarsly amonges twelve twein° shul thrive,°",OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Shipman's Tale 230,data/oxford_txts/ShipT_oxford.txt,"We may wel make chere° and good visage,°",OXFORD,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 242,data/oxford_txts/ShipT_oxford.txt,As be to every wight buxom° and meke,OXFORD,ShipT_gui_complete.csv
