source_file,exception_count,headword,word,tag,line_number,filename,context,text_type
ShipT_gui_complete.csv,114,ben,wer,v%pt_pl,The Shipman's Tale 35,data/oxford_txts/ShipT_oxford.txt,Wer bothe two yborn in o° village,OXFORD
ShipT_gui_complete.csv,114,seien,seith,v%pr_pl,The Shipman's Tale 37,data/oxford_txts/ShipT_oxford.txt,"And he again, he seith nat ones nay",OXFORD
ShipT_gui_complete.csv,114,don,doon,v%inf,The Shipman's Tale 45,data/oxford_txts/ShipT_oxford.txt,"To doon plesaunce, and also greet costage.°",OXFORD
ShipT_gui_complete.csv,114,riden,ride,v%inf,The Shipman's Tale 65,data/oxford_txts/ShipT_oxford.txt,"And eek an officer,° out for to ride",OXFORD
ShipT_gui_complete.csv,114,leten,lete,v%pr_1,The Shipman's Tale 73,data/oxford_txts/ShipT_oxford.txt,And thus I lete° hem ete and drinke and pleye,OXFORD
ShipT_gui_complete.csv,114,letten,lette,v%inf,The Shipman's Tale 86,data/oxford_txts/ShipT_oxford.txt,And eek he nold° that no man sholde him lette°,OXFORD
ShipT_gui_complete.csv,114,mouen,may,v%pr_1,The Shipman's Tale 118,data/oxford_txts/ShipT_oxford.txt,"For I may singe ‘Allas’ and ‘Weilawey,°",OXFORD
ShipT_gui_complete.csv,114,beren,born,v%ppl,The Shipman's Tale 119,data/oxford_txts/ShipT_oxford.txt,"That I was born,’ but to no wight,” quod she",OXFORD
ShipT_gui_complete.csv,114,tellen,tell,v%inf,The Shipman's Tale 120,data/oxford_txts/ShipT_oxford.txt,“Dar I nat tell how that it stant with me.,OXFORD
ShipT_gui_complete.csv,114,wenden,wende,v%inf,The Shipman's Tale 121,data/oxford_txts/ShipT_oxford.txt,"Wherfore° I thinke out of this land to wende,°",OXFORD
ShipT_gui_complete.csv,114,forbeden,forbede,v%pr_3,The Shipman's Tale 125,data/oxford_txts/ShipT_oxford.txt,"And seide, “Allas, my nece, God forbede",OXFORD
ShipT_gui_complete.csv,114,gon,goon,v%inf,The Shipman's Tale 137,data/oxford_txts/ShipT_oxford.txt,"Ne shal I never, for to goon° to helle",OXFORD
ShipT_gui_complete.csv,114,kissen,kiste,v%pt_pl,The Shipman's Tale 141,data/oxford_txts/ShipT_oxford.txt,"Thus been they sworn, and heerupon° they kiste",OXFORD
ShipT_gui_complete.csv,114,ben,be,v%pr_3,The Shipman's Tale 147,data/oxford_txts/ShipT_oxford.txt,"With min housbonde, al be he° your cosin.”",OXFORD
ShipT_gui_complete.csv,114,hiden,hide,v%inf,The Shipman's Tale 159,data/oxford_txts/ShipT_oxford.txt,Ful lief wer me° this conseil for to hide,OXFORD
ShipT_gui_complete.csv,114,mouen,may,v%pr_1,The Shipman's Tale 160,data/oxford_txts/ShipT_oxford.txt,"But out it moot,° I may namore abide.°",OXFORD
ShipT_gui_complete.csv,114,abiden,abide,v%inf,The Shipman's Tale 160,data/oxford_txts/ShipT_oxford.txt,"But out it moot,° I may namore abide.°",OXFORD
ShipT_gui_complete.csv,114,understonden,understonde,v%inf,The Shipman's Tale 168,data/oxford_txts/ShipT_oxford.txt,"But° al honour, as I can understonde;",OXFORD
ShipT_gui_complete.csv,114,witen,woot,v%pr_pl,The Shipman's Tale 173,data/oxford_txts/ShipT_oxford.txt,And wel ye woot that wommen naturelly,OXFORD
ShipT_gui_complete.csv,114,willen,wolde,v%pt_pl,The Shipman's Tale 175,data/oxford_txts/ShipT_oxford.txt,They wolde that hir housbonds sholde be,OXFORD
ShipT_gui_complete.csv,114,shulen,sholde,v%pt_pl,The Shipman's Tale 175,data/oxford_txts/ShipT_oxford.txt,They wolde that hir housbonds sholde be,OXFORD
ShipT_gui_complete.csv,114,lesen,lorn,v%ppl,The Shipman's Tale 181,data/oxford_txts/ShipT_oxford.txt,"An hundred franks, or elles am I lorn.°",OXFORD
ShipT_gui_complete.csv,114,ben,were,v%pt_3,The Shipman's Tale 182,data/oxford_txts/ShipT_oxford.txt,Yet were me lever° that I were unborn,OXFORD
ShipT_gui_complete.csv,114,ben,were,v%pt_3,The Shipman's Tale 183,data/oxford_txts/ShipT_oxford.txt,Than me were doon a sclaundre° or vileinie;,OXFORD
ShipT_gui_complete.csv,114,seien,sey,v%pr_1,The Shipman's Tale 187,data/oxford_txts/ShipT_oxford.txt,"Daun John, I sey, leen me thes hundred frankes;",OXFORD
