Headword,Tag,Ending,Count,Percent
ben,v%pt_3,other,1522,89.48%
ben,v%pt_3,-e,177,10.41%
ben,v%pt_3,-ed,1,0.06%
ben,v%pt_3,-t,1,0.06%
ben,v%pr_3,other,1628,84.31%
ben,v%pr_3,-e,295,15.28%
ben,v%pr_3,-t,4,0.21%
ben,v%pr_3,vowel,4,0.21%
ben,v%pt_pl,other,12,7.06%
ben,v%pt_pl,-e,122,71.76%
ben,v%pt_pl,-en,35,20.59%
ben,v%pt_pl,-n,1,0.59%
ben,v%pr_pl,-en,258,65.65%
ben,v%pr_pl,-e,125,31.81%
ben,v%pr_pl,other,3,0.76%
ben,v%pr_pl,vowel,1,0.25%
ben,v%pr_pl,-n,5,1.27%
ben,v%pr_pl,-eth,1,0.25%
ben,v%pt_1,other,74,88.10%
ben,v%pt_1,-e,9,10.71%
ben,v%pt_1,vowel,1,1.19%
ben,v%inf,-en,128,22.94%
ben,v%inf,-e,430,77.06%
ben,v%pr_1_neg,-e,1,6.67%
ben,v%pr_1_neg,other,14,93.33%
ben,v%imp,-e,46,52.87%
ben,v%imp,-eth,41,47.13%
ben,v%pt_3_neg,other,91,86.67%
ben,v%pt_3_neg,-e,13,12.38%
ben,v%pt_3_neg,-de,1,0.95%
ben,v%pr_1,other,130,82.80%
ben,v%pr_1,-e,27,17.20%
ben,v%pr_3_neg,other,96,100.00%
ben,v%pr_2,-t,64,77.11%
ben,v%pr_2,-e,17,20.48%
ben,v%pr_2,other,2,2.41%
ben,v%ppl,-en,44,72.13%
ben,v%ppl,-e,17,27.87%
ben,v%pt_2,-e,13,76.47%
ben,v%pt_2,other,4,23.53%
ben,v%pt_1_neg,other,2,66.67%
ben,v%pt_1_neg,-e,1,33.33%
ben,v%pr_2_pron,other,18,94.74%
ben,v%pr_2_pron,-t,1,5.26%
ben,v%pr_2_neg,-t,1,100.00%
ben,v%imp_2,-e,1,100.00%
ben,v%pt_pl_neg,-e,4,100.00%
ben,v%pt_2_neg,-e,1,100.00%
causen,v%pr_3,-eth,13,100.00%
causen,v%pr_pl,-en,1,50.00%
causen,v%pr_pl,-e,1,50.00%
causen,v%pt_3,-ed,3,100.00%
paien,v%inf,-en,5,41.67%
paien,v%inf,-e,3,25.00%
paien,v%inf,other,4,33.33%
paien,v%ppl,-ed,5,100.00%
paien,v%imp,other,1,100.00%
paien,v%pt_3,-ed,1,100.00%
moten,v%pr_3,-t,73,86.90%
moten,v%pr_3,-te,9,10.71%
moten,v%pr_3,-e,2,2.38%
moten,v%pt_3,-te,48,85.71%
moten,v%pt_3,-t,8,14.29%
moten,v%pr_pl,-te,9,45.00%
moten,v%pr_pl,-en,5,25.00%
moten,v%pr_pl,-t,6,30.00%
moten,v%pt_1,-te,2,50.00%
moten,v%pt_1,-t,2,50.00%
moten,v%pr_1,-t,25,96.15%
moten,v%pr_1,-te,1,3.85%
moten,v%pt_pl,-en,2,22.22%
moten,v%pt_pl,-t,2,22.22%
moten,v%pt_pl,-te,5,55.56%
moten,v%pr_2,-t,6,100.00%
moten,v%pt_2,-t,2,100.00%
dauncen,v%pr_pl,-e,1,50.00%
dauncen,v%pr_pl,-en,1,50.00%
dauncen,v%pt_3,-ed,1,100.00%
dauncen,v#adj%prp,-ing,1,100.00%
dauncen,v%inf,-e,2,100.00%
dauncen,v%pr_3,-eth,4,100.00%
mouen,v%pr_3,other,408,99.27%
