Source_File,With_E,Without_E,Total,Percent_With_E
ABC_gui_complete.csv,21,64,85,24.71%
Anelida_gui_complete.csv,33,152,185,17.84%
BD_gui_complete.csv,140,618,758,18.47%
CYT_gui_complete.csv,91,313,404,22.52%
ClT_gui_complete.csv,128,368,496,25.81%
FranT_gui_complete.csv,108,328,436,24.77%
FriPro_gui_complete.csv,0,11,11,0.00%
FriT_gui_complete.csv,39,124,163,23.93%
GP_gui_complete.csv,61,263,324,18.83%
HF_gui_complete.csv,208,842,1050,19.81%
KnT_gui_complete.csv,186,831,1017,18.29%
LGW_FPro_gui_complete.csv,68,197,265,25.66%
LGW_gui_complete.csv,255,856,1111,22.95%
MLPro_gui_complete.csv,11,31,42,26.19%
MLT_gui_complete.csv,75,337,412,18.20%
MancPro_gui_complete.csv,13,48,61,21.31%
MancT_gui_complete.csv,25,109,134,18.66%
MerPro_gui_complete.csv,4,12,16,25.00%
MerT_gui_complete.csv,126,471,597,21.11%
MilT_gui_complete.csv,71,248,319,22.26%
MkT_gui_complete.csv,72,217,289,24.91%
NPPro_gui_complete.csv,5,24,29,17.24%
NPT_gui_complete.csv,59,220,279,21.15%
PF_gui_complete.csv,99,236,335,29.55%
PardT_gui_complete.csv,42,203,245,17.14%
ParsPro_gui_complete.csv,8,20,28,28.57%
PhyT_gui_complete.csv,26,86,112,23.21%
PrT_gui_complete.csv,20,78,98,20.41%
RvPro_gui_complete.csv,5,31,36,13.89%
RvT_gui_complete.csv,37,178,215,17.21%
SNT_gui_complete.csv,48,159,207,23.19%
ShipT_gui_complete.csv,34,152,186,18.28%
SqT_gui_complete.csv,62,266,328,18.90%
SumPro_gui_complete.csv,3,20,23,13.04%
SumT_gui_complete.csv,62,237,299,20.74%
TC1_gui_complete.csv,152,481,633,24.01%
TC2_gui_complete.csv,231,860,1091,21.17%
TC3_gui_complete.csv,245,841,1086,22.56%
TC4_gui_complete.csv,218,826,1044,20.88%
TC5_gui_complete.csv,215,942,1157,18.58%
ThopPro_gui_complete.csv,2,10,12,16.67%
Thop_gui_complete.csv,14,41,55,25.45%
WBPro_gui_complete.csv,72,330,402,17.91%
WBT_gui_complete.csv,54,149,203,26.60%
