Adverb,Count,Has_E
so,1853,No
nat,758,No
now,731,No
wel,705,No
ful,692,No
whan,635,No
ther,602,No
thus,553,No
how,468,No
ne,397,Yes
yet,295,No
al,281,No
anon,261,No
right,259,No
nevere,258,Yes
thanne,197,Yes
evere,177,Yes
up,175,No
eek,169,No
ek,167,No
tho,162,No
ay,154,No
also,148,No
forth,147,No
faste,139,Yes
nought,131,No
there,126,Yes
doun,115,No
not,113,No
noght,112,No
to,110,No
here,110,Yes
first,97,No
out,96,No
the,93,Yes
no,92,No
never,92,No
alwey,92,No
why,88,No
elles,87,No
what,84,No
ofte,83,Yes
than,79,No
ryght,77,No
heere,76,Yes
eke,76,Yes
naught,76,No
aboute,73,Yes
agayn,71,No
therfore,70,Yes
adoun,70,No
trewely,70,No
ye,67,Yes
yit,67,No
certes,66,No
best,65,No
anoon,65,No
soone,64,Yes
moore,63,Yes
longe,61,Yes
lenger,61,No
shortly,60,No
therto,59,No
more,57,Yes
therwith,56,No
where,55,Yes
bet,55,No
awey,55,No
whi,55,No
ever,53,No
above,51,Yes
after,50,No
certeyn,49,No
soore,48,Yes
weel,47,No
in,46,No
sodeynly,44,No
wonder,42,No
ywis,41,No
wher,40,No
rather,40,No
pitously,39,No
down,39,No
natheles,38,No
fully,37,No
mo,36,No
ywys,35,No
whilom,34,No
ones,34,No
pryvely,34,No
therwithal,34,No
amys,34,No
fro,33,No
fer,32,No
nedes,31,No
ageyn,31,No
when,31,No
thoo,31,No
heer,29,No
fayn,28,No
sore,28,Yes
yis,28,No
softe,27,Yes
newe,27,Yes
hoom,27,No
nathelees,27,No
moost,27,No
ayeyn,27,No
eft,26,No
hye,26,Yes
hom,26,No
blyve,26,Yes
stille,26,Yes
sone,25,Yes
hastily,24,No
prively,24,No
oonly,24,No
yfeere,24,Yes
lowe,24,Yes
ynough,23,No
gladly,23,No
tomorwe,23,Yes
everemo,22,No
loude,22,Yes
neigh,22,No
litel,21,No
half,21,No
wisly,21,No
therof,21,No
somtyme,21,Yes
biforn,21,No
soo,21,No
alway,20,No
often,20,No
atwo,20,No
forthi,20,No
wherfore,20,Yes
by,19,No
therby,19,No
namely,19,No
nothyng,19,No
of,19,No
ellis,18,No
sikerly,18,No
faire,18,Yes
certeynly,18,No
on,18,No
iwys,18,No
iwis,18,No
erst,17,No
aright,17,No
away,17,No
verraily,16,No
bisily,16,No
homward,16,No
softely,16,No
aweye,16,Yes
subtilly,15,No
hou,15,No
somwhat,15,No
goodly,15,No
most,15,No
outrely,15,No
lightly,15,No
withoute,15,Yes
therinne,15,Yes
boldely,14,No
namoore,14,Yes
afterward,14,No
nowher,14,No
lasse,14,Yes
unnethe,14,Yes
bettre,14,Yes
swithe,14,Yes
yoore,14,Yes
algate,13,Yes
abedde,13,Yes
certeinly,13,No
atones,13,No
openly,13,No
soothly,13,No
certein,13,No
sauf,13,No
almoost,13,No
thennes,13,No
everemoore,12,Yes
ferther,12,No
falsly,12,No
unnethes,12,No
thider,12,No
doutelees,12,No
upright,11,No
sothly,11,No
overal,11,No
depe,11,Yes
hertely,11,No
wys,11,No
anonright,11,No
alday,10,No
specially,10,No
late,10,Yes
adown,10,No
ayein,10,No
cleere,10,Yes
nothing,10,No
bifore,10,Yes
tendrely,10,No
ny,10,No
causeles,10,No
wisely,9,No
tonyght,9,No
byforn,9,No
anyght,9,No
ought,9,No
wo,9,No
wherso,9,No
hardily,9,No
ferforth,9,No
certayn,9,No
withinne,8,Yes
yerne,8,Yes
thenne,8,Yes
amorwe,8,Yes
frely,8,No
withalle,8,Yes
ner,8,No
yore,8,Yes
nede,8,Yes
today,8,No
pleynly,8,No
twyes,8,No
her,8,No
feithfully,8,No
whider,8,No
neer,8,No
pleyn,8,No
roially,8,No
yonder,8,No
richely,7,No
sobrely,7,No
ynogh,7,No
paraventure,7,Yes
foule,7,Yes
erly,7,No
yfere,7,Yes
wyde,7,Yes
only,7,No
whanne,7,Yes
wide,7,Yes
upward,7,No
mekely,7,No
theron,7,No
wherof,7,No
alderfirst,7,No
wey,7,No
aught,7,No
moo,7,No
douteles,7,No
namore,7,Yes
peraunter,7,No
brighte,7,Yes
mooste,7,Yes
ylike,7,Yes
algates,7,No
deere,7,Yes
aryght,7,No
sithen,7,No
elleswhere,7,Yes
finally,7,No
paraunter,7,No
yee,7,Yes
fynaly,7,No
hennes,7,No
hider,7,No
trewly,7,No
kyndely,6,No
afyre,6,Yes
proprely,6,No
clere,6,Yes
dredeles,6,No
sorwfully,6,No
next,6,No
bihynde,6,Yes
bisyde,6,Yes
theere,6,Yes
giltelees,6,No
solempnely,6,No
asonder,6,No
dounward,6,No
hyder,6,No
ylyche,6,Yes
hooly,6,No
everydel,6,No
noon,5,No
rathe,5,Yes
myrily,5,No
tenderly,5,No
withal,5,No
herof,5,No
bryghte,5,Yes
dere,5,Yes
before,5,Yes
lowely,5,No
fyrst,5,No
lytel,5,No
hereafter,5,No
aslepe,5,Yes
behynde,5,Yes
herebyforn,5,No
henne,5,Yes
feythfully,5,No
wis,5,No
forby,5,No
leest,5,No
debonairly,5,No
finaly,5,No
theraboute,5,Yes
cruelly,5,No
west,5,No
wherwith,5,No
therefore,5,Yes
whennes,5,No
under,5,No
fresshly,5,No
streight,5,No
sharpe,5,Yes
saufly,5,No
south,5,No
