Source_File,liche,lich,Total,Percent_liche
CYT_gui_complete.csv,1,0,1,100.00%
ClT_gui_complete.csv,2,0,2,100.00%
GP_gui_complete.csv,1,0,1,100.00%
HF_gui_complete.csv,2,0,2,100.00%
KnT_gui_complete.csv,2,1,3,66.67%
LGW_FPro_gui_complete.csv,1,0,1,100.00%
LGW_gui_complete.csv,1,0,1,100.00%
MLT_gui_complete.csv,1,0,1,100.00%
RvT_gui_complete.csv,1,1,2,50.00%
ShipT_gui_complete.csv,1,0,1,100.00%
SqT_gui_complete.csv,1,2,3,33.33%
SumT_gui_complete.csv,1,0,1,100.00%
TC1_gui_complete.csv,0,1,1,0.00%
TC2_gui_complete.csv,1,1,2,50.00%
TC3_gui_complete.csv,5,0,5,100.00%
TC4_gui_complete.csv,3,0,3,100.00%
TC5_gui_complete.csv,4,4,8,50.00%
