Tag,Ending,Count,Percent
v%pt_3,other,2982,37.19%
v%pt_3,-t,126,1.57%
v%pt_3,-de,1860,23.19%
v%pt_3,-te,1232,15.36%
v%pt_3,-d,1055,13.16%
v%pt_3,-e,256,3.19%
v%pt_3,-ed,394,4.91%
v%pt_3,-ede,61,0.76%
v%pt_3,-et,48,0.60%
v%pt_3,vowel,4,0.05%
v%pt_3,-eth,1,0.01%
v%pt_pl,-de,222,22.68%
v%pt_pl,-e,230,23.49%
v%pt_pl,-te,153,15.63%
v%pt_pl,-en,272,27.78%
v%pt_pl,-ed,45,4.60%
v%pt_pl,other,26,2.66%
v%pt_pl,-ede,7,0.72%
v%pt_pl,-et,1,0.10%
v%pt_pl,-t,2,0.20%
v%pt_pl,-d,18,1.84%
v%pt_pl,vowel,3,0.31%
v%pr_3,-eth,1148,17.94%
v%pr_3,other,3931,61.44%
v%pr_3,-t,384,6.00%
v%pr_3,-ede,30,0.47%
v%pr_3,vowel,25,0.39%
v%pr_3,-e,667,10.43%
v%pr_3,-de,64,1.00%
v%pr_3,-te,141,2.20%
v%pr_3,-ed,1,0.02%
v%pr_3,-et,6,0.09%
v%pr_3,-en,1,0.02%
v%inf,-en,1048,13.20%
v%inf,-e,4823,60.74%
v%inf,other,581,7.32%
v%inf,-de,601,7.57%
v%inf,-te,500,6.30%
v%inf,vowel,265,3.34%
v%inf,-ede,117,1.47%
v%inf,-d,2,0.03%
v%inf,-t,4,0.05%
v%pr_pl,-e,614,27.02%
v%pr_pl,other,817,35.96%
v%pr_pl,-en,609,26.80%
v%pr_pl,-t,31,1.36%
v%pr_pl,vowel,46,2.02%
v%pr_pl,-te,71,3.12%
v%pr_pl,-de,61,2.68%
v%pr_pl,-ede,19,0.84%
v%pr_pl,-eth,3,0.13%
v%pr_pl,-d,1,0.04%
v%ppl,-t,439,14.93%
v%ppl,-ed,906,30.82%
v%ppl,-d,340,11.56%
v%ppl,other,379,12.89%
v%ppl,-e,367,12.48%
v%ppl,-et,57,1.94%
v%ppl,-en,284,9.66%
v%ppl,-de,75,2.55%
v%ppl,-te,25,0.85%
v%ppl,vowel,67,2.28%
v%ppl,-ede,1,0.03%
v%imp,-eth,267,20.84%
v%imp,other,287,22.40%
v%imp,-e,349,27.24%
v%imp,-t,164,12.80%
v%imp,-te,21,1.64%
v%imp,vowel,91,7.10%
v%imp,-ede,15,1.17%
v%imp,-et,15,1.17%
v%imp,-d,42,3.28%
v%imp,-de,19,1.48%
v%imp,-ed,10,0.78%
v%imp,-en,1,0.08%
v%prp,-e,16,88.89%
v%prp,other,2,11.11%
ger,other,200,47.17%
ger,-e,218,51.42%
ger,-ing,6,1.42%
v%pr_1,-e,993,42.67%
v%pr_1,-te,80,3.44%
v%pr_1,other,1036,44.52%
v%pr_1,vowel,45,1.93%
v%pr_1,-ede,29,1.25%
v%pr_1,-t,98,4.21%
v%pr_1,-de,45,1.93%
v%pr_1,-et,1,0.04%
v%pt_3_neg,-de,29,17.79%
v%pt_3_neg,other,96,58.90%
v%pt_3_neg,-te,21,12.88%
v%pt_3_neg,-e,15,9.20%
