Tag,Verb_Class,Ending,Count,Percent
ger,unknown,other,200,47.17%
ger,unknown,-e,218,51.42%
ger,unknown,-ing,6,1.42%
ger%pl,unknown,other,31,100.00%
ger2#propn%pl,unknown,other,1,100.00%
v#adj%ppl,irregular,-te,3,60.00%
v#adj%ppl,irregular,-t,1,20.00%
v#adj%ppl,irregular,-de,1,20.00%
v#adj%ppl,strong,-e,3,16.67%
v#adj%ppl,strong,-en,9,50.00%
v#adj%ppl,strong,-de,4,22.22%
v#adj%ppl,strong,other,2,11.11%
v#adj%ppl,unknown,-e,4,7.55%
v#adj%ppl,unknown,-ed,33,62.26%
v#adj%ppl,unknown,-t,3,5.66%
v#adj%ppl,unknown,other,3,5.66%
v#adj%ppl,unknown,-te,6,11.32%
v#adj%ppl,unknown,-d,2,3.77%
v#adj%ppl,unknown,-en,1,1.89%
v#adj%ppl,unknown,-de,1,1.89%
v#adj%ppl,weak,-ed,50,80.65%
v#adj%ppl,weak,-et,5,8.06%
v#adj%ppl,weak,-t,4,6.45%
v#adj%ppl,weak,-d,2,3.23%
v#adj%ppl,weak,-ede,1,1.61%
v#adj%ppl_n,unknown,-ed,2,100.00%
v#adj%prp,irregular,other,2,66.67%
v#adj%prp,irregular,-t,1,33.33%
v#adj%prp,strong,-e,6,75.00%
v#adj%prp,strong,other,2,25.00%
v#adj%prp,unknown,-e,10,62.50%
v#adj%prp,unknown,other,6,37.50%
v#adj%prp,weak,-e,5,50.00%
v#adj%prp,weak,other,5,50.00%
v#adv%prp,weak,other,1,100.00%
v%imp,irregular,-eth,53,18.86%
v%imp,irregular,-e,100,35.59%
v%imp,irregular,other,95,33.81%
v%imp,irregular,-ede,12,4.27%
v%imp,irregular,-d,3,1.07%
v%imp,irregular,-t,4,1.42%
v%imp,irregular,-te,3,1.07%
v%imp,irregular,-ed,10,3.56%
v%imp,irregular,-de,1,0.36%
v%imp,strong,other,173,24.47%
v%imp,strong,-t,151,21.36%
v%imp,strong,-e,126,17.82%
v%imp,strong,vowel,91,12.87%
v%imp,strong,-eth,97,13.72%
v%imp,strong,-et,14,1.98%
v%imp,strong,-d,37,5.23%
v%imp,strong,-ede,3,0.42%
v%imp,strong,-de,8,1.13%
v%imp,strong,-te,6,0.85%
v%imp,strong,-en,1,0.14%
v%imp,unknown,-eth,21,33.33%
v%imp,unknown,-d,1,1.59%
v%imp,unknown,other,5,7.94%
v%imp,unknown,-te,3,4.76%
v%imp,unknown,-e,32,50.79%
v%imp,unknown,-de,1,1.59%
v%imp,weak,-eth,96,41.74%
v%imp,weak,-e,91,39.57%
v%imp,weak,-te,9,3.91%
v%imp,weak,other,14,6.09%
v%imp,weak,-t,9,3.91%
v%imp,weak,-et,1,0.43%
v%imp,weak,-de,9,3.91%
v%imp,weak,-d,1,0.43%
v%imp_2,strong,-e,1,100.00%
v%inf,irregular,-e,1379,64.05%
v%inf,irregular,-en,255,11.84%
v%inf,irregular,-de,37,1.72%
v%inf,irregular,-te,72,3.34%
v%inf,irregular,other,321,14.91%
v%inf,irregular,-ede,84,3.90%
v%inf,irregular,-d,1,0.05%
v%inf,irregular,-t,2,0.09%
v%inf,irregular,vowel,2,0.09%
v%inf,strong,-e,1678,55.58%
v%inf,strong,other,240,7.95%
v%inf,strong,-de,309,10.24%
v%inf,strong,-en,434,14.38%
v%inf,strong,vowel,258,8.55%
v%inf,strong,-te,94,3.11%
v%inf,strong,-ede,5,0.17%
v%inf,strong,-d,1,0.03%
v%inf,unknown,-e,723,66.33%
v%inf,unknown,-te,136,12.48%
v%inf,unknown,-de,94,8.62%
v%inf,unknown,-en,105,9.63%
v%inf,unknown,other,6,0.55%
v%inf,unknown,-ede,21,1.93%
v%inf,unknown,vowel,4,0.37%
v%inf,unknown,-t,1,0.09%
v%inf,weak,-en,254,15.13%
v%inf,weak,-e,1043,62.12%
v%inf,weak,-te,198,11.79%
v%inf,weak,-de,161,9.59%
v%inf,weak,other,14,0.83%
v%inf,weak,vowel,1,0.06%
v%inf,weak,-ede,7,0.42%
v%inf,weak,-t,1,0.06%
v%ppl,irregular,-t,179,27.29%
v%ppl,irregular,-ed,96,14.63%
v%ppl,irregular,-d,287,43.75%
v%ppl,irregular,other,32,4.88%
