Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,ger,unknown,other,1,50.00%
ShipT_gui_complete.csv,ger,unknown,-e,1,50.00%
ShipT_gui_complete.csv,ger%pl,unknown,other,1,100.00%
ShipT_gui_complete.csv,v#adj%ppl,weak,-ed,2,100.00%
ShipT_gui_complete.csv,v%imp,irregular,-eth,4,57.14%
ShipT_gui_complete.csv,v%imp,irregular,-e,3,42.86%
ShipT_gui_complete.csv,v%imp,strong,other,4,28.57%
ShipT_gui_complete.csv,v%imp,strong,-t,2,14.29%
ShipT_gui_complete.csv,v%imp,strong,-e,7,50.00%
ShipT_gui_complete.csv,v%imp,strong,vowel,1,7.14%
ShipT_gui_complete.csv,v%imp,unknown,-eth,1,100.00%
ShipT_gui_complete.csv,v%imp,weak,-eth,2,28.57%
ShipT_gui_complete.csv,v%imp,weak,-e,3,42.86%
ShipT_gui_complete.csv,v%imp,weak,-te,1,14.29%
ShipT_gui_complete.csv,v%imp,weak,other,1,14.29%
ShipT_gui_complete.csv,v%inf,irregular,-e,18,66.67%
ShipT_gui_complete.csv,v%inf,irregular,-en,5,18.52%
ShipT_gui_complete.csv,v%inf,irregular,-de,1,3.70%
ShipT_gui_complete.csv,v%inf,irregular,-te,1,3.70%
ShipT_gui_complete.csv,v%inf,irregular,other,2,7.41%
ShipT_gui_complete.csv,v%inf,strong,-e,14,46.67%
ShipT_gui_complete.csv,v%inf,strong,other,9,30.00%
ShipT_gui_complete.csv,v%inf,strong,-de,4,13.33%
ShipT_gui_complete.csv,v%inf,strong,-en,1,3.33%
ShipT_gui_complete.csv,v%inf,strong,vowel,2,6.67%
ShipT_gui_complete.csv,v%inf,unknown,-e,11,100.00%
ShipT_gui_complete.csv,v%inf,weak,-en,4,11.76%
ShipT_gui_complete.csv,v%inf,weak,-e,26,76.47%
ShipT_gui_complete.csv,v%inf,weak,-te,3,8.82%
ShipT_gui_complete.csv,v%inf,weak,-de,1,2.94%
ShipT_gui_complete.csv,v%ppl,irregular,-t,1,11.11%
ShipT_gui_complete.csv,v%ppl,irregular,-ed,3,33.33%
ShipT_gui_complete.csv,v%ppl,irregular,-d,3,33.33%
ShipT_gui_complete.csv,v%ppl,irregular,other,1,11.11%
ShipT_gui_complete.csv,v%ppl,irregular,-et,1,11.11%
ShipT_gui_complete.csv,v%ppl,strong,other,5,71.43%
ShipT_gui_complete.csv,v%ppl,strong,-e,1,14.29%
ShipT_gui_complete.csv,v%ppl,strong,-en,1,14.29%
ShipT_gui_complete.csv,v%ppl,unknown,other,1,100.00%
ShipT_gui_complete.csv,v%ppl,weak,-ed,14,87.50%
ShipT_gui_complete.csv,v%ppl,weak,-t,1,6.25%
ShipT_gui_complete.csv,v%ppl,weak,-d,1,6.25%
ShipT_gui_complete.csv,v%ppl_abs,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%ppl_abs,unknown,-ed,1,100.00%
ShipT_gui_complete.csv,v%pr_1,irregular,other,15,51.72%
ShipT_gui_complete.csv,v%pr_1,irregular,-e,14,48.28%
ShipT_gui_complete.csv,v%pr_1,strong,-te,2,22.22%
ShipT_gui_complete.csv,v%pr_1,strong,-e,2,22.22%
ShipT_gui_complete.csv,v%pr_1,strong,other,3,33.33%
ShipT_gui_complete.csv,v%pr_1,strong,vowel,2,22.22%
ShipT_gui_complete.csv,v%pr_1,unknown,-e,3,100.00%
ShipT_gui_complete.csv,v%pr_1,weak,-e,4,50.00%
ShipT_gui_complete.csv,v%pr_1,weak,-te,1,12.50%
ShipT_gui_complete.csv,v%pr_1,weak,other,3,37.50%
ShipT_gui_complete.csv,v%pr_1_neg,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_2,irregular,-t,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,irregular,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,weak,other,1,100.00%
ShipT_gui_complete.csv,v%pr_3,irregular,other,15,62.50%
ShipT_gui_complete.csv,v%pr_3,irregular,-t,2,8.33%
ShipT_gui_complete.csv,v%pr_3,irregular,-ede,3,12.50%
ShipT_gui_complete.csv,v%pr_3,irregular,vowel,1,4.17%
ShipT_gui_complete.csv,v%pr_3,irregular,-e,1,4.17%
ShipT_gui_complete.csv,v%pr_3,irregular,-eth,2,8.33%
ShipT_gui_complete.csv,v%pr_3,strong,other,26,63.41%
ShipT_gui_complete.csv,v%pr_3,strong,-eth,8,19.51%
ShipT_gui_complete.csv,v%pr_3,strong,-t,2,4.88%
ShipT_gui_complete.csv,v%pr_3,strong,-e,5,12.20%
ShipT_gui_complete.csv,v%pr_3,unknown,-de,2,100.00%
ShipT_gui_complete.csv,v%pr_3,weak,-eth,12,41.38%
ShipT_gui_complete.csv,v%pr_3,weak,-t,9,31.03%
ShipT_gui_complete.csv,v%pr_3,weak,other,5,17.24%
ShipT_gui_complete.csv,v%pr_3,weak,-e,1,3.45%
ShipT_gui_complete.csv,v%pr_3,weak,-de,2,6.90%
ShipT_gui_complete.csv,v%pr_3_neg,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_pl,irregular,other,11,52.38%
ShipT_gui_complete.csv,v%pr_pl,irregular,-e,6,28.57%
ShipT_gui_complete.csv,v%pr_pl,irregular,-t,2,9.52%
ShipT_gui_complete.csv,v%pr_pl,irregular,-ede,1,4.76%
ShipT_gui_complete.csv,v%pr_pl,irregular,-te,1,4.76%
ShipT_gui_complete.csv,v%pr_pl,strong,-en,4,36.36%
ShipT_gui_complete.csv,v%pr_pl,strong,-e,3,27.27%
ShipT_gui_complete.csv,v%pr_pl,strong,vowel,1,9.09%
ShipT_gui_complete.csv,v%pr_pl,strong,-de,1,9.09%
ShipT_gui_complete.csv,v%pr_pl,strong,other,2,18.18%
ShipT_gui_complete.csv,v%pr_pl,unknown,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_pl,weak,-e,2,33.33%
ShipT_gui_complete.csv,v%pr_pl,weak,-en,1,16.67%
ShipT_gui_complete.csv,v%pr_pl,weak,other,2,33.33%
ShipT_gui_complete.csv,v%pr_pl,weak,-te,1,16.67%
ShipT_gui_complete.csv,v%prp,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%prp_abs,strong,-e,1,100.00%
ShipT_gui_complete.csv,v%pt_1,irregular,-de,1,33.33%
