Source_File,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,v%pt_3,other,41,42.27%
ShipT_gui_complete.csv,v%pt_3,-t,1,1.03%
ShipT_gui_complete.csv,v%pt_3,-de,17,17.53%
ShipT_gui_complete.csv,v%pt_3,-te,11,11.34%
ShipT_gui_complete.csv,v%pt_3,-d,20,20.62%
ShipT_gui_complete.csv,v%pt_3,-e,5,5.15%
ShipT_gui_complete.csv,v%pt_3,-ed,2,2.06%
ShipT_gui_complete.csv,v%pt_pl,-de,6,46.15%
ShipT_gui_complete.csv,v%pt_pl,-e,3,23.08%
ShipT_gui_complete.csv,v%pt_pl,-te,4,30.77%
ShipT_gui_complete.csv,v%pr_3,-eth,22,22.92%
ShipT_gui_complete.csv,v%pr_3,other,46,47.92%
ShipT_gui_complete.csv,v%pr_3,-t,13,13.54%
ShipT_gui_complete.csv,v%pr_3,-ede,3,3.12%
ShipT_gui_complete.csv,v%pr_3,vowel,1,1.04%
ShipT_gui_complete.csv,v%pr_3,-e,7,7.29%
ShipT_gui_complete.csv,v%pr_3,-de,4,4.17%
ShipT_gui_complete.csv,v%inf,-en,10,9.80%
ShipT_gui_complete.csv,v%inf,-e,69,67.65%
ShipT_gui_complete.csv,v%inf,other,11,10.78%
ShipT_gui_complete.csv,v%inf,-de,6,5.88%
ShipT_gui_complete.csv,v%inf,-te,4,3.92%
ShipT_gui_complete.csv,v%inf,vowel,2,1.96%
ShipT_gui_complete.csv,v%pr_pl,-e,12,30.77%
ShipT_gui_complete.csv,v%pr_pl,other,15,38.46%
ShipT_gui_complete.csv,v%pr_pl,-en,5,12.82%
ShipT_gui_complete.csv,v%pr_pl,-t,2,5.13%
ShipT_gui_complete.csv,v%pr_pl,vowel,1,2.56%
ShipT_gui_complete.csv,v%pr_pl,-te,2,5.13%
ShipT_gui_complete.csv,v%pr_pl,-de,1,2.56%
ShipT_gui_complete.csv,v%pr_pl,-ede,1,2.56%
ShipT_gui_complete.csv,v%ppl,-t,2,6.06%
ShipT_gui_complete.csv,v%ppl,-ed,17,51.52%
ShipT_gui_complete.csv,v%ppl,-d,4,12.12%
ShipT_gui_complete.csv,v%ppl,other,7,21.21%
ShipT_gui_complete.csv,v%ppl,-e,1,3.03%
ShipT_gui_complete.csv,v%ppl,-et,1,3.03%
ShipT_gui_complete.csv,v%ppl,-en,1,3.03%
ShipT_gui_complete.csv,v%imp,-eth,7,24.14%
ShipT_gui_complete.csv,v%imp,other,5,17.24%
ShipT_gui_complete.csv,v%imp,-e,13,44.83%
ShipT_gui_complete.csv,v%imp,-t,2,6.90%
ShipT_gui_complete.csv,v%imp,-te,1,3.45%
ShipT_gui_complete.csv,v%imp,vowel,1,3.45%
ShipT_gui_complete.csv,v%prp,-e,1,100.00%
ShipT_gui_complete.csv,ger,other,1,50.00%
ShipT_gui_complete.csv,ger,-e,1,50.00%
ShipT_gui_complete.csv,v%pr_1,-e,23,46.94%
ShipT_gui_complete.csv,v%pr_1,-te,3,6.12%
ShipT_gui_complete.csv,v%pr_1,other,21,42.86%
ShipT_gui_complete.csv,v%pr_1,vowel,2,4.08%
ShipT_gui_complete.csv,v%pt_3_neg,-de,1,33.33%
ShipT_gui_complete.csv,v%pt_3_neg,other,2,66.67%
ShipT_gui_complete.csv,v%prp_abs,-e,1,100.00%
ShipT_gui_complete.csv,v#adj%ppl,-ed,2,100.00%
ShipT_gui_complete.csv,v%pt_1,other,2,25.00%
ShipT_gui_complete.csv,v%pt_1,-de,2,25.00%
ShipT_gui_complete.csv,v%pt_1,-te,3,37.50%
ShipT_gui_complete.csv,v%pt_1,-e,1,12.50%
ShipT_gui_complete.csv,v%pr_1_neg,-e,1,100.00%
ShipT_gui_complete.csv,ger%pl,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,other,2,100.00%
ShipT_gui_complete.csv,v%pr_2,-t,1,100.00%
ShipT_gui_complete.csv,v%ppl_abs,-e,1,50.00%
ShipT_gui_complete.csv,v%ppl_abs,-ed,1,50.00%
ShipT_gui_complete.csv,v%pr_3_neg,-e,1,100.00%
WBT_gui_complete.csv,v%pr_pl,-en,16,31.37%
WBT_gui_complete.csv,v%pr_pl,other,14,27.45%
WBT_gui_complete.csv,v%pr_pl,-e,18,35.29%
WBT_gui_complete.csv,v%pr_pl,-de,3,5.88%
WBT_gui_complete.csv,v%pt_3,other,45,41.67%
WBT_gui_complete.csv,v%pt_3,-ed,6,5.56%
WBT_gui_complete.csv,v%pt_3,-de,20,18.52%
WBT_gui_complete.csv,v%pt_3,-d,24,22.22%
WBT_gui_complete.csv,v%pt_3,-te,11,10.19%
WBT_gui_complete.csv,v%pt_3,-e,2,1.85%
WBT_gui_complete.csv,v%pr_1,-ede,1,2.44%
WBT_gui_complete.csv,v%pr_1,-te,3,7.32%
WBT_gui_complete.csv,v%pr_1,other,17,41.46%
WBT_gui_complete.csv,v%pr_1,-e,13,31.71%
WBT_gui_complete.csv,v%pr_1,-t,2,4.88%
WBT_gui_complete.csv,v%pr_1,vowel,2,4.88%
WBT_gui_complete.csv,v%pr_1,-de,3,7.32%
WBT_gui_complete.csv,v%ppl_abs,vowel,1,50.00%
WBT_gui_complete.csv,v%ppl_abs,-ed,1,50.00%
WBT_gui_complete.csv,v%pr_3,other,66,66.00%
WBT_gui_complete.csv,v%pr_3,-eth,16,16.00%
WBT_gui_complete.csv,v%pr_3,-t,7,7.00%
WBT_gui_complete.csv,v%pr_3,-e,8,8.00%
WBT_gui_complete.csv,v%pr_3,-te,1,1.00%
WBT_gui_complete.csv,v%pr_3,-de,2,2.00%
WBT_gui_complete.csv,v%inf,-e,64,55.65%
WBT_gui_complete.csv,v%inf,-en,9,7.83%
WBT_gui_complete.csv,v%inf,vowel,11,9.57%
WBT_gui_complete.csv,v%inf,other,13,11.30%
WBT_gui_complete.csv,v%inf,-de,12,10.43%
WBT_gui_complete.csv,v%inf,-te,6,5.22%
WBT_gui_complete.csv,v%prp_abs,-e,3,100.00%
WBT_gui_complete.csv,v%ppl,-t,4,16.00%
WBT_gui_complete.csv,v%ppl,other,1,4.00%
WBT_gui_complete.csv,v%ppl,-ed,15,60.00%
WBT_gui_complete.csv,v%ppl,-de,1,4.00%
WBT_gui_complete.csv,v%ppl,-en,3,12.00%
