Headword,Tag,Ending,Count,Percent
ben,v%pt_3,other,1603,87.55%
ben,v%pt_3,-e,227,12.40%
ben,v%pt_3,-ed,1,0.05%
ben,v%pr_3,other,1787,83.43%
ben,v%pr_3,-e,352,16.43%
ben,v%pr_3,vowel,2,0.09%
ben,v%pr_3,-t,1,0.05%
ben,v%inf,-e,620,79.90%
ben,v%inf,-en,156,20.10%
ben,v%pt_pl,-e,164,81.19%
ben,v%pt_pl,-en,36,17.82%
ben,v%pt_pl,vowel,1,0.50%
ben,v%pt_pl,other,1,0.50%
ben,v%pr_pl,-en,272,63.40%
ben,v%pr_pl,-e,149,34.73%
ben,v%pr_pl,other,7,1.63%
ben,v%pr_pl,vowel,1,0.23%
ben,v%pt_1,other,75,84.27%
ben,v%pt_1,-e,13,14.61%
ben,v%pt_1,vowel,1,1.12%
ben,v%pr_1,other,137,80.59%
ben,v%pr_1,-e,33,19.41%
ben,v%pr_1_neg,-e,1,7.14%
ben,v%pr_1_neg,other,13,92.86%
ben,v%imp,-e,48,53.93%
ben,v%imp,-eth,40,44.94%
ben,v%imp,other,1,1.12%
ben,v%pt_3_neg,other,95,86.36%
ben,v%pt_3_neg,-e,15,13.64%
ben,v%pr_3_neg,-e,1,1.10%
ben,v%pr_3_neg,other,90,98.90%
ben,v%pr_2,-t,69,73.40%
ben,v%pr_2,-e,23,24.47%
ben,v%pr_2,other,2,2.13%
ben,v%ppl,-e,30,37.97%
ben,v%ppl,-en,49,62.03%
ben,v%pt_2,-e,18,81.82%
ben,v%pt_2,other,4,18.18%
ben,v%pt_1_neg,other,3,100.00%
ben,v%pr_2_pron,other,18,94.74%
ben,v%pr_2_pron,-te,1,5.26%
ben,v%imp_2,-e,1,100.00%
ben,v%pt_pl_neg,-e,4,100.00%
ben,v%pt_2_neg,-e,1,100.00%
holden,v%pt_pl,-de,1,33.33%
holden,v%pt_pl,-en,1,33.33%
holden,v%pt_pl,-d,1,33.33%
holden,v%pt_3,-d,23,92.00%
holden,v%pt_3,-de,2,8.00%
holden,v%ppl,-en,13,44.83%
holden,v%ppl,-de,16,55.17%
holden,v%inf,-de,37,77.08%
holden,v%inf,-en,11,22.92%
holden,v%pr_3,-t,12,70.59%
holden,v%pr_3,-de,2,11.76%
holden,v%pr_3,-eth,3,17.65%
holden,v%pr_1,-de,10,100.00%
holden,v%pr_pl,-de,7,63.64%
holden,v%pr_pl,-en,4,36.36%
holden,v%imp,-d,13,65.00%
holden,v%imp,-eth,3,15.00%
holden,v%imp,-de,4,20.00%
