OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
After the deth of Tholome the kyng,¶After the deeth of Tholomee the king,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 580,,9,10,After the deth of Tholome the kyng,After the deeth of Tholomee the king,Su S u S uSx u S,uS u S u SuS u S,after@prep the@def_art deth@n of@prep tholome@n#propn the@def_art king@n,after@prep the@def_art deth@n of@prep tholome@n#propn the@def_art king@n,
That al Egipt hadde in his governyng,That al Egipte hadde in his governing,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 581,,10,10,That al Egipt hadde in his governyng,That al Egipte hadde in his governing,u S uS ux S u SuS,u S uSx ux S u SuS,that@pron al@gram_adj egipte@n#propn haven@v%pt_3 in@prep his@pron1%gen governinge@ger,that@pron al@gram_adj egipte@n#propn haven@v%pt_3 in@prep his@pron1%gen governinge@ger,
Regned his queene Cleopataras;,Regned° his quene Cleopataras;,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 582,,0,0,Regned his queene Cleopataras,Regned his quene Cleopataras,   ,   ,regnen@v%pt_3 his@pron1%gen quene@n2 cleopatre@n#propn,regnen@v%pt_3 his@pron1%gen quene@n2 cleopatre@n#propn,
Tyl on a tyme befel there swich a cas,"Til on a time° befel ther swiche a cas,°",data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 583,DIFF,10,10,Tyl on a tyme befel there swich a cas,Til on a time befel ther swiche a cas,u S u Sx uS ux S u S,u S u Sx uS u Sx u S,til@conj on@prep a@indef_art time@n bifallen@v%pt_3 ther@adv swich@gram_adj a@indef_art cas@n,til@conj on@prep a@indef_art time@n bifallen@v%pt_3 ther@adv swich@gram_adj a@indef_art cas@n,green
That out of Rome was sent a senatour,That out of Rome was sent a senatour,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 584,,10,10,That out of Rome was sent a senatour,That out of Rome was sent a senatour,u S u Sx u S u SuS,u S u Sx u S u SuS,that@pron oute@adv#prep of@prep rome@n#propn ben@v%pt_3 senden@v2%ppl a@indef_art senatour@n,that@pron oute@adv#prep of@prep rome@n#propn ben@v%pt_3 senden@v2%ppl a@indef_art senatour@n,
For to conqueren regnes and honour,For to conqueren regnes° and honour°,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 585,,10,10,For to conqueren regnes and honour,For to conqueren regnes and honour,u S uSu Su S uS,u S uSu Su S uS,for@prep#adv to@part conqueren@v%inf regne@n1%pl and@conj honour@n,for@prep#adv to@part conqueren@v%inf regne@n1%pl and@conj honour@n,
"Unto the toun of Rome, as was usaunce","Unto° the toun of Rome, as was usaunce,°",data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 586,,10,10,Unto the toun of Rome as was usaunce,Unto the toun of Rome as was usaunce,uS u S u Sx u S uSx,uS u S u Sx u S uSx,unto@prep the@def_art toun@n of@prep rome@n#propn as@conj ben@v%pt_3 usaunce@n,unto@prep the@def_art toun@n of@prep rome@n#propn as@conj ben@v%pt_3 usaunce@n,
To han the world at hire obesaunce,To have the world unto her° obeisaunce;°,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 587,DIFF,10,10,To han the world at hire obesaunce,To have the world unto her obeisaunce,u S u S u Su SuSx,u Sx u S uS u SuSx,to@part haven@v%inf the@def_art world@n at@prep here@pron%pl_gen obeisaunce@n,to@part haven@v%inf the@def_art world@n unto@prep here@pron%pl_gen obeisaunce@n,green
"And soth to seyne, Antonius was his name.","And, sooth to seyne, Antonius was his name.",data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 588,,0,0,And soth to seyne Antonius was his name,And sooth to seyne Antonius was his name,       ,       ,and@conj soth@n to@part seien@v1%inf antonius@n1#propn ben@v%pt_3 his@pron1%gen name@n,and@conj soth@n to@part seien@v1%inf antonius@n1#propn ben@v%pt_3 his@pron1%gen name@n,
"So fil it, as Fortune hym oughte a shame","So fil it,° as Fortune him oghte a schame°",data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 589,DIFF,10,10,So fil it as Fortune hym oughte a shame,So fil it as Fortune him oghte a schame,u S u S uSx u Sx u Sx,u S u S uSx u Sx u Sx,so@adv fallen@v%pt_3 hit@pron as@conj fortune@n#propn him@pron%obj ouen@v%pt_3 a@indef_art shame@n,so@adv fallen@v%pt_3 hit@pron as@conj fortune@n#propn him@pron%obj ouen@v%pt_3 a@indef_art shame@n,green
Whan he was fallen in prosperite,Whan he was fallen in° prosperitee,data/riverside_cats/LGW_riverside_reordered.cat,data/oxford_txts/LGW_oxford.txt,data/csvs/LGW,100-ch 590,,9,10,Whan he was fallen in prosperite,Whan he was fallen in prosperitee,S u S uS u SuSx,u S u Su S uSuS,whan@adv&conj he@pron1%nom ben@v%pt_3 fallen@v%ppl in@prep prosperite@n,whan@adv&conj he@pron1%nom ben@v%pt_3 fallen@v%ppl in@prep prosperite@n,
