FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/06/178-gow.cat,178-gow1391,"Among hem whiche at Troie were,",Among hem whiche at Troie were,8,uS u Sx u Su Sx,amonges@prep hem@pron%pl_obj which@pron at@prep troie@n1#propn ben@v%pt_pl
gow/06/178-gow.cat,178-gow1392,Uluxes ate Siege there,Uluxes ate Siege there,8,uSu Su Su Sx,ulixes@n#propn atte@prep sege@n2 ther@adv
gow/06/178-gow.cat,178-gow1393,Was on be name in special;,Was on be name in special,8,u S u Sx u SuS,ben@v%pt_3 on@pron bi@prep name@n in@prep speciale@n
gow/06/178-gow.cat,178-gow1394,Of whom yit the memorial,Of whom yit the memorial,8,u S u S uSuS,of@prep whom@pron%obj yet@adv the@def_art memorial@n
gow/06/178-gow.cat,178-gow1395,"Abit, for whyl ther is a mouth,",Abit for whyl ther is a mouth,8,uS u S u S u S,abiden@v%pr_3 for@conj whil@conj ther@adv ben@v%pr_3 a@indef_art mouth@n
gow/06/178-gow.cat,178-gow1396,For evere his name schal be couth.,For evere his name schal be couth,8,u Sux S ux S u S,for@prep ever@adv his@pron1%gen name@n shulen@v1%pr_3 ben@v%inf couth@adj
gow/06/178-gow.cat,178-gow1397,He was a worthi knyht and king,He was a worthi knyht and king,8,u S u Su S u S,he@pron1%nom ben@v%pt_3 a@indef_art worthi@adj knight@n and@conj king@n
gow/06/178-gow.cat,178-gow1398,And clerk knowende of every thing;,And clerk knowende of every thing,8,u S uSx u Sxu S,and@conj clerk@n knouen@v%prp of@prep everi@pron_gram_adj thing@n
gow/06/178-gow.cat,178-gow1399,"He was a gret rethorien,",He was a gret rethorien,8,u S u S uSuS,he@pron1%nom ben@v%pt_3 a@indef_art gret@adj rethorien@n
gow/06/178-gow.cat,178-gow1400,He was a gret magicien;,He was a gret magicien,8,u S u S uSuS,he@pron1%nom ben@v%pt_3 a@indef_art gret@adj magicien@n
gow/06/178-gow.cat,178-gow1401,"Of Tullius the rethorique,",Of Tullius the rethorique,8,u SuS u xSuS,of@prep tullius@n1#propn the@def_art rethorike@n
gow/06/178-gow.cat,178-gow1402,"Of king Zorastes the magique,",Of king Zorastes the magique,8,u S uSx u SuS,of@prep king@n zorastes@n#propn the@def_art magike@n
gow/06/178-gow.cat,178-gow1403,"Of Tholome thastronomie,",Of Tholome thastronomie,7,S uSx uSuS,of@prep tholome@n#propn astronomie@n1
gow/06/178-gow.cat,178-gow1404,"Of Plato the Philosophie,",Of Plato the Philosophie,8,u Su S uSuS,of@prep plato@n#propn the@def_art philosophie@n
gow/06/178-gow.cat,178-gow1405,"Of Daniel the slepi dremes,",Of Daniel the slepi dremes,8,u Su S uS uS,of@prep daniel@n#propn the@def_art slepi@adj drem@n2%pl
gow/06/178-gow.cat,178-gow1406,"Of Neptune ek the water stremes,",Of Neptune ek the water stremes,8,u Sux S u Su Sx,of@prep neptunus@n#propn ek@adv the@def_art water@n strem@n%pl
gow/06/178-gow.cat,178-gow1407,"Of Salomon and the proverbes,",Of Salomon and the proverbes,8,u SuS u S uSx,of@prep salomon@n#propn and@conj the@def_art proverbe@n%pl
gow/06/178-gow.cat,178-gow1408,"Of Macer al the strengthe of herbes,",Of Macer al the strengthe of herbes,8,u Su S u Sx u Sx,of@prep macer@n#propn al@gram_adj the@def_art strengthe@n of@prep herbe@n%pl
gow/06/178-gow.cat,178-gow1409,"And the Phisique of Ypocras,",And the Phisique of Ypocras,0,    ,and@conj the@def_art phisike@n of@prep ipocras@n#propn
gow/06/178-gow.cat,178-gow1410,And lich unto Pictagoras,And lich unto Pictagoras,8,u S uS uSuS,and@conj lik@adj unto@prep pictagoras@n#propn
gow/06/178-gow.cat,178-gow1411,Of Surgerie he knew the cures.,Of Surgerie he knew the cures,8,u SuS u S u Sx,of@prep cirurgie@n he@pron1%nom knouen@v%pt_3 the@def_art cure@n1%pl
gow/06/178-gow.cat,178-gow1412,"Bot somwhat of his aventures,",Bot somwhat of his aventures,8,u Su S u SuSx,but@conj som-what@pron of@prep his@pron1%gen aventure@n%pl
gow/06/178-gow.cat,178-gow1413,"Which schal to mi matiere acorde,",Which schal to mi matiere acorde,0,     ,which@pron shulen@v1%pr_3 to@prep min@pron matere@n accorden@v%inf
gow/06/178-gow.cat,178-gow1414,"To thee, mi Sone, I wol recorde.",To thee mi Sone I wol recorde,8,u S u Sx u S uSx,to@prep the@pron2%obj min@pron sone@n ich@pron%nom willen@v%pr_1 recorden@v%inf
gow/06/178-gow.cat,178-gow1415,"This king, of which thou hast herd sein,",This king of which thou hast herd sein,8,u S u S u S u S,this@gram_adj king@n of@prep which@pron thou@pron%nom haven@v%pr_2 heren@v%ppl seien@v1%inf
gow/06/178-gow.cat,178-gow1416,Fro Troie as he goth hom ayein,Fro Troie as he goth hom ayein,0,      ,from@prep troie@n1#propn as@conj he@pron1%nom gon@v%pr_3 hom@adv ayen@adv
gow/06/178-gow.cat,178-gow1417,"Be Schipe, he fond the See divers,",Be Schipe he fond the See divers,8,u Sx u S u S uS,bi@prep ship@n he@pron1%nom finden@v%pt_3 the@def_art se@n1 diverse@adj
gow/06/178-gow.cat,178-gow1418,With many a wyndi storm revers.,With many a wyndi storm revers,8,u Sx u Su S uS,with@prep mani@gram_adj a@indef_art windi@adj1 storm@n reverse@adj
gow/06/178-gow.cat,178-gow1419,Bot he thurgh wisdom that he schapeth,Bot he thurgh wisdom that he schapeth,8,u S u Su S u Sx,but@conj he@pron1%nom thurgh@prep wisdom@n that@pron he@pron1%nom shapen@v%pr_3
gow/06/178-gow.cat,178-gow1420,"Ful many a gret peril ascapeth,",Ful many a gret peril ascapeth,8,u Su S u xS uSx,ful@adv mani@gram_adj a@indef_art gret@adj peril@n escapen@v%pr_3
gow/06/178-gow.cat,178-gow1421,"Of whiche I thenke tellen on,",Of whiche I thenke tellen on,8,u Sx u Su Su S,of@prep which@pron ich@pron%nom thinken@v2%pr_1 tellen@v%inf on@pron
gow/06/178-gow.cat,178-gow1422,Hou that malgre the nedle and ston,Hou that malgre the nedle and ston,7,S u Sx u Sx u S,hou@adv&conj that@part maugre@prep the@def_art nedle@n and@conj ston@n
gow/06/178-gow.cat,178-gow1423,Wynddrive he was al soudeinly,Wynddrive he was al soudeinly,8,uSx u S u SuS,wind-drive@adj he@pron1%nom ben@v%pt_3 al@adv sodeinli@adv
gow/06/178-gow.cat,178-gow1424,"Upon the strondes of Cilly,",Upon the strondes of Cilly,8,uS u Su S uS,upon@prep the@def_art stronde@n1%pl of@prep cilly@n#propn
gow/06/178-gow.cat,178-gow1425,Wher that he moste abyde a whyle.,Wher that he moste abyde a whyle,8,u S u Sx uSx u Sx,wher@adv&conj that@part he@pron1%nom moten@v2%pt_3 abiden@v%inf a@indef_art whil@n
gow/06/178-gow.cat,178-gow1426,Tuo queenes weren in that yle,Tuo queenes weren in that yle,8,u Su Su S u Sx,two@num_adj quene@n2%pl ben@v%pt_pl in@prep that@art&gram_adj ile@n1
gow/06/178-gow.cat,178-gow1427,Calipsa named and Circes;,Calipsa named and Circes,8,uSu Su S uS,calipsa@n#propn namen@v%ppl and@conj circes@n#propn
gow/06/178-gow.cat,178-gow1428,And whan they herde hou Uluxes,And whan they herde hou Uluxes,8,u S u Sx u SuS,and@conj whan@adv&conj thei@pron%pl_nom heren@v%pt_pl hou@adv&conj ulixes@n#propn
gow/06/178-gow.cat,178-gow1429,"Is londed ther upon the ryve,",Is londed ther upon the ryve,8,u Su S uS u Sx,ben@v%pr_3 londen@v%ppl ther@adv upon@prep the@def_art rive@n1
gow/06/178-gow.cat,178-gow1430,For him thei senden als so blive.,For him thei senden als so blive,8,u S u Su S u Sx,for@prep him@pron%obj thei@pron%pl_nom senden@v2%pr_pl also@adv so@adv blive@adv
gow/06/178-gow.cat,178-gow1431,With him suche as he wolde he nam,With him suche as he wolde he nam,8,u S ux S u Sx u S,with@prep him@pron%obj swich@gram_adj as@conj he@pron1%nom willen@v%pt_3 he@pron1%nom nimen@v%pt_3
gow/06/178-gow.cat,178-gow1432,And to the court to hem he cam.,And to the court to hem he cam,8,u S u S u S u S,and@conj to@prep the@def_art court@n1 to@prep hem@pron%pl_obj he@pron1%nom comen@v%pr_3
gow/06/178-gow.cat,178-gow1433,Thes queenes were as tuo goddesses,Thes queenes were as tuo goddesses,8,u Su Sx u S uSx,these@gram_adj%pl quene@n2%pl ben@v%pt_pl as@conj two@num_adj goddesse@n%pl
gow/06/178-gow.cat,178-gow1434,"Of Art magique Sorceresses,",Of Art magique Sorceresses,8,u S uSu SuSx,of@prep art@n1 magik@adj sorceresse@n%pl
gow/06/178-gow.cat,178-gow1435,"That what lord comth to that rivage,",That what lord comth to that rivage,8,u S u S u S uSx,that@conj what@gram_adj lord@n comen@v%pt_3 to@prep that@art&gram_adj rivage@n
gow/06/178-gow.cat,178-gow1436,Thei make him love in such a rage,Thei make him love in such a rage,8,u Sx u Sx u S u Sx,thei@pron%pl_nom maken@v1%pr_pl him@pron%obj loven@v1%inf in@prep swich@gram_adj a@indef_art rage@n
gow/06/178-gow.cat,178-gow1437,"And upon hem assote so,",And upon hem assote so,8,u Su S uSu S,and@conj upon@prep hem@pron%pl_obj assoten@v%inf so@adv
gow/06/178-gow.cat,178-gow1438,"That thei wol have, er that he go,",That thei wol have er that he go,8,u S u Sx u S u S,that@conj thei@pron%pl_nom willen@v%pr_pl haven@v%inf er@conj1 that@part he@pron1%nom gon@v%pr_3
gow/06/178-gow.cat,178-gow1439,Al that he hath of worldes good.,Al that he hath of worldes good,8,u S u S u Su S,al@gram_adjas_n that@pron he@pron1%nom haven@v%pr_3 of@prep world@n%gen god@n2
gow/06/178-gow.cat,178-gow1440,"Uluxes wel this understod,",Uluxes wel this understod,8,uSu S u SuS,ulixes@n#propn wel@adv this@pron understonden@v%pt_3
gow/06/178-gow.cat,178-gow1441,"Thei couthe moche, he couthe more;",Thei couthe moche he couthe more,8,u Su Sx u Su Sx,thei@pron%pl_nom connen@v%pt_pl muche@n he@pron1%nom connen@v%pt_3 more@n3
gow/06/178-gow.cat,178-gow1442,Thei schape and caste ayein him sore,Thei schape and caste ayein him sore,8,u Sx u Sx uS u Sx,thei@pron%pl_nom shapen@v%pr_pl and@conj casten@v%pt_pl ayen@prep him@pron%obj sore@adv
gow/06/178-gow.cat,178-gow1443,"And wroghte many a soutil wyle,",And wroghte many a soutil wyle,8,u Sx uS u Su Sx,and@conj werken@v%pt_pl mani@gram_adj a@indef_art sotil@adj wile@n
gow/06/178-gow.cat,178-gow1444,Bot yit thei mihte him noght beguile.,Bot yit thei mihte him noght beguile,8,u S u Sx u S uSx,but@conj yet@adv thei@pron%pl_nom mouen@v3%pt_pl him@pron%obj nought@adv bigilen@v%inf
gow/06/178-gow.cat,178-gow1445,Bot of the men of his navie,Bot of the men of his navie,8,u S u S u S uS,but@conj of@prep the@def_art man@n%pl of@prep his@pron1%gen navie@n
gow/06/178-gow.cat,178-gow1446,"Thei tuo forschope a gret partie,",Thei tuo forschope a gret partie,8,u S uSx u S uS,thei@pron%pl_nom two@num_n forshapen@v%pt_pl a@indef_art gret@adj partie@n
gow/06/178-gow.cat,178-gow1447,Mai non of hem withstonde here hestes;,Mai non of hem withstonde here hestes,8,u S u S uSx ux Sx,mouen@v3%pr_3 non@pron of@prep hem@pron%pl_obj withstonden@v%inf here@pron%pl_gen heste@n1%pl
gow/06/178-gow.cat,178-gow1448,"Som part thei schopen into bestes,",Som part thei schopen into bestes,8,u S u Su Su Sx,som@gram_adj part@n thei@pron%pl_nom shapen@v%pt_pl in-to@prep beste@n%pl
gow/06/178-gow.cat,178-gow1449,"Som part thei schopen into foules,",Som part thei schopen into foules,8,u S u Su Su Sx,som@gram_adj part@n thei@pron%pl_nom shapen@v%pt_pl in-to@prep foul@n%pl
gow/06/178-gow.cat,178-gow1450,"To beres, tigres, Apes, oules,",To beres tigres Apes oules,8,u Su Su Su Sx,to@prep bere@n1%pl tiger@n%pl ape@n%pl oule@n%pl
gow/06/178-gow.cat,178-gow1451,Or elles be som other weie;,Or elles be som other weie,8,u Su S u Su S,or@conj elles@adv bi@prep som@gram_adj other@gram_adj wei@n
gow/06/178-gow.cat,178-gow1452,"Ther myhte hem nothing desobeie,",Ther myhte hem nothing desobeie,8,u Sx u Su SuS,ther@adv mouen@v3%pt_3 hem@pron%pl_obj no-thing@pron disobeien@v%inf
gow/06/178-gow.cat,178-gow1453,Such craft thei hadde above kinde.,Such craft thei hadde above kinde,8,u S u Sx uSu Sx,swich@gram_adj craft@n1 thei@pron%pl_nom haven@v%pt_pl aboven@prep kinde@n
gow/06/178-gow.cat,178-gow1454,"Bot that Art couthe thei noght finde,",Bot that Art couthe thei noght finde,8,u S u Su S u Sx,but@conj that@conj art@n1 connen@v%pt_pl thei@pron%pl_nom nought@adv finden@v%inf
gow/06/178-gow.cat,178-gow1455,"Of which Uluxes was deceived,",Of which Uluxes was deceived,8,u S uSu S uSx,of@prep which@pron ulixes@n#propn ben@v%pt_3 deceiven@v%ppl
gow/06/178-gow.cat,178-gow1456,"That he ne hath hem alle weyved,",That he ne hath hem alle weyved,8,u S u S u Sx uS,that@conj he@pron1%nom ne@adv haven@v%pr_3 hem@pron%pl_obj al@gram_adj weiven@v1&2%ppl
