FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/03/63-gow.cat,63-gow1089,"Mi Sone, thou schalt understonde",Mi Sone thou schalt understonde,8,u Su S u SuSx,min@pron sone@n thou@pron%nom shulen@v1%pr_2 understonden@v%inf
gow/03/63-gow.cat,63-gow1090,That yit towardes Wraththe stonde,That yit towardes Wraththe stonde,8,u S uSu Su Sx,that@conj yet@adv towardes@prep wrath@n stonden@v1%pr_pl
gow/03/63-gow.cat,63-gow1091,Of dedly vices othre tuo:,Of dedly vices othre tuo,8,u Su Su Su S,of@prep dedli@adj vice@n%pl other@gram_adj two@num_n
gow/03/63-gow.cat,63-gow1092,"And forto telle here names so,",And forto telle here names so,8,u Su Sx ux Su S,and@conj forto@part tellen@v%inf here@pron%pl_gen name@n%pl so@adv
gow/03/63-gow.cat,63-gow1093,"It is Contek and Homicide,",It is Contek and Homicide,8,u S uS u SuSx,hit@pron ben@v%pr_3 contek@n and@conj homicide@n
gow/03/63-gow.cat,63-gow1094,That ben to drede on every side.,That ben to drede on every side,8,u S u Sx u Sxu Sx,that@pron ben@v%pr_pl to@part dreden@v%inf on@prep everi@pron_gram_adj side@n
gow/03/63-gow.cat,63-gow1095,"Contek, so as the bokes sein,",Contek so as the bokes sein,8,uS u S u Su S,contek@n so@adv as@conj the@def_art bok@n1%pl seien@v1%pr_pl
gow/03/63-gow.cat,63-gow1096,"Folhast hath to his Chamberlein,",Folhast hath to his Chamberlein,8,uS u S u SuS,fol-haste@n haven@v%pr_3 to@prep his@pron1%gen chaumberlein@n
gow/03/63-gow.cat,63-gow1097,Be whos conseil al unavised,Be whos conseil al unavised,8,u S uS u SuSx,bi@prep whos@pron%gen counseil@n al@adv unavised@adv
gow/03/63-gow.cat,63-gow1098,"Is Pacience most despised,",Is Pacience most despised,8,u SuSx u SuS,ben@v%pr_3 pacience@n most@adv despisen@v%ppl
gow/03/63-gow.cat,63-gow1099,Til Homicide with hem meete.,Til Homicide with hem meete,8,u SuSu S u Sx,til@conj homicide@n with@prep hem@pron%pl_obj meten@v4%pr_3
gow/03/63-gow.cat,63-gow1100,"Fro merci thei ben al unmeete,",Fro merci thei ben al unmeete,8,u Su S u S uSx,from@prep merci@n1 thei@pron%pl_nom ben@v%pr_pl al@adv unmete@adj
gow/03/63-gow.cat,63-gow1101,And thus ben thei the worste of alle,And thus ben thei the worste of alle,8,u S u S u Sx u Sx,and@conj thus@adv ben@v%pr_pl thei@pron%pl_nom the@def_art werste@n of@prep al@gram_adjas_n
gow/03/63-gow.cat,63-gow1102,"Of hem whiche unto wraththe falle,",Of hem whiche unto wraththe falle,8,u S ux Su Su Sx,of@prep hem@pron%pl_obj which@pron unto@prep wrath@n fallen@v%pr_pl
gow/03/63-gow.cat,63-gow1103,In dede bothe and ek in thoght:,In dede bothe and ek in thoght,8,u Su Sx u S u S,in@prep dede@n bothe@num_conj and@conj ek@adv in@prep thought@n
gow/03/63-gow.cat,63-gow1104,"For thei acompte here wraththe at noght,",For thei acompte here wraththe at noght,8,u S uSx ux Sx u S,for@conj thei@pron%pl_nom accounten@v%pr_pl here@pron%pl_gen wrath@n at@prep nought@pron
gow/03/63-gow.cat,63-gow1105,Bot if ther be schedinge of blod;,Bot if ther be schedinge of blod,8,u S u S uSx u S,but@conj if@conj ther@adv ben@v%pr_3 shedinge@ger of@prep blod@n1
gow/03/63-gow.cat,63-gow1106,And thus lich to a beste wod,And thus lich to a beste wod,8,u S u S u Su S,and@conj thus@adv lik@adj to@prep a@indef_art beste@n wod@adj
gow/03/63-gow.cat,63-gow1107,Thei knowe noght the god of lif.,Thei knowe noght the god of lif,8,u Su S u S u S,thei@pron%pl_nom knouen@v%pr_pl nought@adv the@def_art god@n1 of@prep lif@n
gow/03/63-gow.cat,63-gow1108,Be so thei have or swerd or knif,Be so thei have or swerd or knif,8,u S u Sx u S u S,ben@v%pr_3 so@adv thei@pron%pl_nom haven@v%pr_pl or@conj sword@n or@conj knif@n
gow/03/63-gow.cat,63-gow1109,"Here dedly wraththe forto wreke,",Here dedly wraththe forto wreke,8,ux Su Su Su Sx,here@pron%pl_gen dedli@adj wrath@n forto@part wreken@v%inf
gow/03/63-gow.cat,63-gow1110,Of Pite list hem noght to speke;,Of Pite list hem noght to speke,8,u Su S u S u Sx,of@prep pite@n listen@v2%pr_3 hem@pron%pl_obj nought@adv to@part speken@v%inf
gow/03/63-gow.cat,63-gow1111,"Non other reson thei ne fonge,",Non other reson thei ne fonge,8,u Su Su S u Sx,non@gram_adj other@gram_adj resoun@n2 thei@pron%pl_nom ne@adv fongen@v%pr_pl
gow/03/63-gow.cat,63-gow1112,Bot that thei ben of mihtes stronge.,Bot that thei ben of mihtes stronge,8,u S u S u Su Sx,but@conj that@conj thei@pron%pl_nom ben@v%pr_pl of@prep might@n%pl strong@adj
