Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,v#adj%ppl,weak,-ed,2,100.00%
ShipT_gui_complete.csv,v%imp,irregular,other,3,37.50%
ShipT_gui_complete.csv,v%imp,irregular,-e,4,50.00%
ShipT_gui_complete.csv,v%imp,irregular,vowel,1,12.50%
ShipT_gui_complete.csv,v%imp,strong,other,3,60.00%
ShipT_gui_complete.csv,v%imp,strong,-t,2,40.00%
ShipT_gui_complete.csv,v%imp,weak,-eth,7,46.67%
ShipT_gui_complete.csv,v%imp,weak,-en,2,13.33%
ShipT_gui_complete.csv,v%imp,weak,-e,2,13.33%
ShipT_gui_complete.csv,v%imp,weak,-et,1,6.67%
ShipT_gui_complete.csv,v%imp,weak,other,2,13.33%
ShipT_gui_complete.csv,v%imp,weak,-n,1,6.67%
ShipT_gui_complete.csv,v%inf,irregular,-n,6,60.00%
ShipT_gui_complete.csv,v%inf,irregular,-en,1,10.00%
ShipT_gui_complete.csv,v%inf,irregular,vowel,1,10.00%
ShipT_gui_complete.csv,v%inf,irregular,-e,2,20.00%
ShipT_gui_complete.csv,v%inf,strong,-e,3,100.00%
ShipT_gui_complete.csv,v%inf,weak,-en,8,29.63%
ShipT_gui_complete.csv,v%inf,weak,-e,12,44.44%
ShipT_gui_complete.csv,v%inf,weak,other,6,22.22%
ShipT_gui_complete.csv,v%inf,weak,-n,1,3.70%
ShipT_gui_complete.csv,v%ppl,irregular,-n,1,100.00%
ShipT_gui_complete.csv,v%ppl,strong,-n,1,33.33%
ShipT_gui_complete.csv,v%ppl,strong,other,1,33.33%
ShipT_gui_complete.csv,v%ppl,strong,-en,1,33.33%
ShipT_gui_complete.csv,v%ppl,weak,-ed,14,77.78%
ShipT_gui_complete.csv,v%ppl,weak,-t,1,5.56%
ShipT_gui_complete.csv,v%ppl,weak,-d,2,11.11%
ShipT_gui_complete.csv,v%ppl,weak,-et,1,5.56%
ShipT_gui_complete.csv,v%pr_1,irregular,other,8,80.00%
ShipT_gui_complete.csv,v%pr_1,irregular,vowel,1,10.00%
ShipT_gui_complete.csv,v%pr_1,irregular,-n,1,10.00%
ShipT_gui_complete.csv,v%pr_1,strong,-te,1,50.00%
ShipT_gui_complete.csv,v%pr_1,strong,-e,1,50.00%
ShipT_gui_complete.csv,v%pr_1,weak,-e,7,35.00%
ShipT_gui_complete.csv,v%pr_1,weak,other,12,60.00%
ShipT_gui_complete.csv,v%pr_1,weak,-te,1,5.00%
ShipT_gui_complete.csv,v%pr_1_neg,irregular,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_2,weak,-t,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,irregular,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,weak,other,1,100.00%
ShipT_gui_complete.csv,v%pr_3,irregular,other,22,84.62%
ShipT_gui_complete.csv,v%pr_3,irregular,vowel,1,3.85%
ShipT_gui_complete.csv,v%pr_3,irregular,-e,3,11.54%
ShipT_gui_complete.csv,v%pr_3,strong,-t,4,36.36%
ShipT_gui_complete.csv,v%pr_3,strong,-eth,5,45.45%
ShipT_gui_complete.csv,v%pr_3,strong,other,2,18.18%
