Source_File,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,v%pt_3,other,36,47.37%
ShipT_gui_complete.csv,v%pt_3,-t,1,1.32%
ShipT_gui_complete.csv,v%pt_3,-d,22,28.95%
ShipT_gui_complete.csv,v%pt_3,-te,6,7.89%
ShipT_gui_complete.csv,v%pt_3,-n,2,2.63%
ShipT_gui_complete.csv,v%pt_3,-de,4,5.26%
ShipT_gui_complete.csv,v%pt_3,-e,3,3.95%
ShipT_gui_complete.csv,v%pt_3,-ed,2,2.63%
ShipT_gui_complete.csv,v%pr_3,-eth,14,17.72%
ShipT_gui_complete.csv,v%pr_3,-t,13,16.46%
ShipT_gui_complete.csv,v%pr_3,other,43,54.43%
ShipT_gui_complete.csv,v%pr_3,vowel,1,1.27%
ShipT_gui_complete.csv,v%pr_3,-e,4,5.06%
ShipT_gui_complete.csv,v%pr_3,-ede,2,2.53%
ShipT_gui_complete.csv,v%pr_3,-de,2,2.53%
ShipT_gui_complete.csv,v%inf,-en,9,22.50%
ShipT_gui_complete.csv,v%inf,-n,7,17.50%
ShipT_gui_complete.csv,v%inf,-e,17,42.50%
ShipT_gui_complete.csv,v%inf,other,6,15.00%
ShipT_gui_complete.csv,v%inf,vowel,1,2.50%
ShipT_gui_complete.csv,v%pr_pl,-e,6,20.69%
ShipT_gui_complete.csv,v%pr_pl,other,11,37.93%
ShipT_gui_complete.csv,v%pr_pl,-en,5,17.24%
ShipT_gui_complete.csv,v%pr_pl,-t,2,6.90%
ShipT_gui_complete.csv,v%pr_pl,vowel,1,3.45%
ShipT_gui_complete.csv,v%pr_pl,-te,1,3.45%
ShipT_gui_complete.csv,v%pr_pl,-n,3,10.34%
ShipT_gui_complete.csv,v%imp,-eth,7,25.00%
ShipT_gui_complete.csv,v%imp,other,8,28.57%
ShipT_gui_complete.csv,v%imp,-en,2,7.14%
ShipT_gui_complete.csv,v%imp,-t,2,7.14%
ShipT_gui_complete.csv,v%imp,-e,6,21.43%
ShipT_gui_complete.csv,v%imp,-et,1,3.57%
ShipT_gui_complete.csv,v%imp,vowel,1,3.57%
ShipT_gui_complete.csv,v%imp,-n,1,3.57%
ShipT_gui_complete.csv,v%prp,-ing,1,100.00%
ShipT_gui_complete.csv,v%ppl,-ed,14,63.64%
ShipT_gui_complete.csv,v%ppl,-t,1,4.55%
ShipT_gui_complete.csv,v%ppl,-d,2,9.09%
