Source_File,than,thanne,Total,Percent_than
ABC_gui_complete.csv,0,3,3,0.00%
Anelida_gui_complete.csv,1,0,1,100.00%
BD_gui_complete.csv,15,2,17,88.24%
CYT_gui_complete.csv,4,7,11,36.36%
ClT_gui_complete.csv,3,5,8,37.50%
FranT_gui_complete.csv,16,17,33,48.48%
FriT_gui_complete.csv,4,4,8,50.00%
GP_gui_complete.csv,8,3,11,72.73%
HF_gui_complete.csv,18,2,20,90.00%
KnT_gui_complete.csv,9,20,29,31.03%
LGW_FPro_gui_complete.csv,7,4,11,63.64%
LGW_gui_complete.csv,13,18,31,41.94%
MLPro_gui_complete.csv,2,0,2,100.00%
MLT_gui_complete.csv,3,1,4,75.00%
MancPro_gui_complete.csv,3,3,6,50.00%
MancT_gui_complete.csv,1,1,2,50.00%
MerT_gui_complete.csv,16,18,34,47.06%
MilT_gui_complete.csv,6,9,15,40.00%
MkT_gui_complete.csv,1,5,6,16.67%
NPPro_gui_complete.csv,0,1,1,0.00%
NPT_gui_complete.csv,8,4,12,66.67%
PF_gui_complete.csv,8,10,18,44.44%
PardT_gui_complete.csv,4,5,9,44.44%
ParsPro_gui_complete.csv,0,1,1,0.00%
PhyT_gui_complete.csv,0,1,1,0.00%
PrT_gui_complete.csv,2,1,3,66.67%
RvPro_gui_complete.csv,1,0,1,100.00%
RvT_gui_complete.csv,2,2,4,50.00%
SNT_gui_complete.csv,1,6,7,14.29%
ShipT_gui_complete.csv,2,3,5,40.00%
SqT_gui_complete.csv,3,3,6,50.00%
SumT_gui_complete.csv,4,7,11,36.36%
TC1_gui_complete.csv,18,3,21,85.71%
TC2_gui_complete.csv,23,1,24,95.83%
TC3_gui_complete.csv,19,2,21,90.48%
TC4_gui_complete.csv,28,3,31,90.32%
TC5_gui_complete.csv,17,3,20,85.00%
Thop_gui_complete.csv,1,0,1,100.00%
WBPro_gui_complete.csv,10,16,26,38.46%
WBT_gui_complete.csv,1,5,6,16.67%
