Tag,Ending,Count,Percent
v%pt_3,other,2262,33.93%
v%pt_3,-t,107,1.60%
v%pt_3,-de,1486,22.29%
v%pt_3,-te,679,10.18%
v%pt_3,-d,995,14.92%
v%pt_3,-e,212,3.18%
v%pt_3,-n,460,6.90%
v%pt_3,-ed,363,5.44%
v%pt_3,-ede,57,0.85%
v%pt_3,-et,41,0.61%
v%pt_3,vowel,4,0.06%
v%pt_3,-est,1,0.01%
v%pt_pl,-de,170,21.63%
v%pt_pl,-e,187,23.79%
v%pt_pl,-te,89,11.32%
v%pt_pl,-en,253,32.19%
v%pt_pl,-ed,39,4.96%
v%pt_pl,other,12,1.53%
v%pt_pl,-ede,7,0.89%
v%pt_pl,-et,1,0.13%
v%pt_pl,-t,1,0.13%
v%pt_pl,-n,9,1.15%
v%pt_pl,-d,18,2.29%
v%pr_3,-eth,1026,18.05%
v%pr_3,other,3561,62.64%
v%pr_3,-t,340,5.98%
v%pr_3,vowel,20,0.35%
v%pr_3,-e,486,8.55%
v%pr_3,-ede,16,0.28%
v%pr_3,-de,38,0.67%
v%pr_3,-n,123,2.16%
v%pr_3,-te,60,1.06%
v%pr_3,-est,8,0.14%
v%pr_3,-ed,1,0.02%
v%pr_3,-et,5,0.09%
v%pr_3,-en,1,0.02%
v%inf,-en,951,28.84%
v%inf,-n,408,12.37%
v%inf,-e,1522,46.15%
v%inf,vowel,159,4.82%
v%inf,other,32,0.97%
v%inf,-de,88,2.67%
v%inf,-te,115,3.49%
v%inf,-ede,17,0.52%
v%inf,-d,2,0.06%
v%inf,-t,4,0.12%
v%pr_pl,-e,377,20.38%
v%pr_pl,other,420,22.70%
v%pr_pl,-en,567,30.65%
v%pr_pl,-t,28,1.51%
v%pr_pl,vowel,39,2.11%
v%pr_pl,-te,39,2.11%
v%pr_pl,-n,361,19.51%
v%pr_pl,-de,14,0.76%
v%pr_pl,-eth,3,0.16%
v%pr_pl,-d,1,0.05%
v%pr_pl,-ede,1,0.05%
v%imp,-eth,265,21.22%
v%imp,other,281,22.50%
v%imp,-e,329,26.34%
v%imp,-t,164,13.13%
v%imp,-te,19,1.52%
v%imp,vowel,91,7.29%
v%imp,-ede,14,1.12%
v%imp,-et,15,1.20%
v%imp,-d,42,3.36%
v%imp,-de,16,1.28%
v%imp,-n,2,0.16%
v%imp,-ed,10,0.80%
v%imp,-en,1,0.08%
v%prp,-e,9,100.00%
v%ppl,-ed,699,39.05%
v%ppl,-t,259,14.47%
v%ppl,-d,257,14.36%
v%ppl,-n,175,9.78%
v%ppl,-et,33,1.84%
v%ppl,-en,243,13.58%
v%ppl,-e,82,4.58%
v%ppl,-de,16,0.89%
v%ppl,-te,9,0.50%
v%ppl,other,2,0.11%
v%ppl,vowel,14,0.78%
v%ppl,-ede,1,0.06%
v%pr_1,-te,47,2.66%
v%pr_1,-e,616,34.88%
v%pr_1,other,846,47.90%
v%pr_1,vowel,30,1.70%
v%pr_1,-n,99,5.61%
v%pr_1,-t,95,5.38%
v%pr_1,-de,18,1.02%
v%pr_1,-et,1,0.06%
v%pr_1,-ede,14,0.79%
v%pt_3_neg,-de,26,17.45%
v%pt_3_neg,other,88,59.06%
v%pt_3_neg,-te,18,12.08%
v%pt_3_neg,-e,15,10.07%
v%pt_3_neg,vowel,1,0.67%
v%pt_3_neg,-t,1,0.67%
v%prp_abs,-e,88,77.88%
v%prp_abs,other,22,19.47%
v%prp_abs,-ing,3,2.65%
v#adj%ppl,-ed,81,68.64%
v#adj%ppl,-et,4,3.39%
v#adj%ppl,-t,7,5.93%
v#adj%ppl,-te,8,6.78%
v#adj%ppl,-e,2,1.69%
v#adj%ppl,-en,9,7.63%
v#adj%ppl,-d,3,2.54%
v#adj%ppl,other,1,0.85%
v#adj%ppl,-de,2,1.69%
v#adj%ppl,-ede,1,0.85%
v%pt_1,other,163,29.21%
v%pt_1,-de,190,34.05%
v%pt_1,-te,72,12.90%
v%pt_1,-e,14,2.51%
v%pt_1,-ed,33,5.91%
v%pt_1,-n,22,3.94%
v%pt_1,-et,1,0.18%
v%pt_1,-t,9,1.61%
v%pt_1,-d,48,8.60%
v%pt_1,-ede,3,0.54%
v%pt_1,vowel,3,0.54%
v%pr_1_neg,-e,2,2.74%
v%pr_1_neg,other,35,47.95%
v%pr_1_neg,-t,36,49.32%
v%pr_2_pron,other,163,94.77%
v%pr_2_pron,vowel,9,5.23%
v%pr_2,-t,389,68.85%
v%pr_2,-est,87,15.40%
v%pr_2,-e,52,9.20%
v%pr_2,other,17,3.01%
