Tag,Verb_Class,Ending,Count,Percent
v#adj%ppl,strong,-e,1,11.11%
v#adj%ppl,strong,-en,8,88.89%
v#adj%ppl,weak,-ed,81,74.31%
v#adj%ppl,weak,-et,4,3.67%
v#adj%ppl,weak,-t,7,6.42%
v#adj%ppl,weak,-te,8,7.34%
v#adj%ppl,weak,-d,3,2.75%
v#adj%ppl,weak,other,1,0.92%
v#adj%ppl,weak,-e,1,0.92%
v#adj%ppl,weak,-en,1,0.92%
v#adj%ppl,weak,-de,2,1.83%
v#adj%ppl,weak,-ede,1,0.92%
v#adj%ppl_n,weak,-ed,1,100.00%
v#adj%prp,strong,-e,3,42.86%
v#adj%prp,strong,other,3,42.86%
v#adj%prp,strong,-est,1,14.29%
v#adj%prp,weak,-e,8,47.06%
v#adj%prp,weak,other,9,52.94%
v#adv%prp,weak,other,1,100.00%
v%imp,irregular,other,29,13.81%
v%imp,irregular,-e,48,22.86%
v%imp,irregular,vowel,91,43.33%
v%imp,irregular,-eth,40,19.05%
v%imp,irregular,-n,2,0.95%
v%imp,strong,other,137,27.85%
v%imp,strong,-t,152,30.89%
v%imp,strong,-e,74,15.04%
v%imp,strong,-eth,60,12.20%
v%imp,strong,-et,14,2.85%
v%imp,strong,-d,38,7.72%
v%imp,strong,-ede,2,0.41%
v%imp,strong,-de,8,1.63%
v%imp,strong,-te,6,1.22%
v%imp,strong,-en,1,0.20%
v%imp,weak,-eth,165,30.16%
v%imp,weak,-e,207,37.84%
v%imp,weak,-te,13,2.38%
v%imp,weak,other,115,21.02%
v%imp,weak,-t,12,2.19%
v%imp,weak,-ede,12,2.19%
v%imp,weak,-et,1,0.18%
v%imp,weak,-d,4,0.73%
v%imp,weak,-de,8,1.46%
v%imp,weak,-ed,10,1.83%
v%imp_2,irregular,-e,1,100.00%
v%inf,irregular,-n,168,18.83%
v%inf,irregular,-en,155,17.38%
v%inf,irregular,vowel,156,17.49%
v%inf,irregular,-e,413,46.30%
v%inf,strong,-e,320,47.69%
v%inf,strong,-en,264,39.34%
v%inf,strong,-de,53,7.90%
v%inf,strong,-te,29,4.32%
v%inf,strong,-t,1,0.15%
v%inf,strong,other,2,0.30%
v%inf,strong,-d,1,0.15%
v%inf,strong,vowel,1,0.15%
v%inf,weak,-en,532,30.66%
v%inf,weak,-e,789,45.48%
v%inf,weak,other,30,1.73%
v%inf,weak,-n,240,13.83%
v%inf,weak,-te,86,4.96%
v%inf,weak,-de,35,2.02%
v%inf,weak,-ede,17,0.98%
v%inf,weak,-d,1,0.06%
v%inf,weak,vowel,2,0.12%
v%inf,weak,-t,3,0.17%
v%ppl,irregular,-n,99,56.57%
v%ppl,irregular,-en,48,27.43%
v%ppl,irregular,-e,15,8.57%
v%ppl,irregular,vowel,12,6.86%
v%ppl,irregular,-d,1,0.57%
v%ppl,strong,-n,76,20.65%
v%ppl,strong,-en,193,52.45%
v%ppl,strong,-e,65,17.66%
v%ppl,strong,-ed,5,1.36%
v%ppl,strong,-de,14,3.80%
v%ppl,strong,-t,6,1.63%
v%ppl,strong,other,1,0.27%
v%ppl,strong,-d,2,0.54%
v%ppl,strong,-ede,1,0.27%
v%ppl,strong,-te,5,1.36%
v%ppl,weak,-ed,694,55.65%
v%ppl,weak,-t,253,20.29%
v%ppl,weak,-d,254,20.37%
v%ppl,weak,-et,33,2.65%
v%ppl,weak,-en,2,0.16%
v%ppl,weak,-te,4,0.32%
v%ppl,weak,-de,2,0.16%
v%ppl,weak,other,1,0.08%
v%ppl,weak,vowel,2,0.16%
v%ppl,weak,-e,2,0.16%
v%ppl_abs,irregular,-n,6,85.71%
v%ppl_abs,irregular,vowel,1,14.29%
v%ppl_abs,strong,-ed,2,6.90%
v%ppl_abs,strong,-e,4,13.79%
v%ppl_abs,strong,-en,13,44.83%
v%ppl_abs,strong,-te,2,6.90%
v%ppl_abs,strong,-n,5,17.24%
v%ppl_abs,strong,-et,2,6.90%
v%ppl_abs,strong,-t,1,3.45%
v%ppl_abs,weak,-ed,86,68.80%
v%ppl_abs,weak,vowel,1,0.80%
v%ppl_abs,weak,-ede,1,0.80%
v%ppl_abs,weak,-t,20,16.00%
v%ppl_abs,weak,-d,9,7.20%
v%ppl_abs,weak,-en,2,1.60%
v%ppl_abs,weak,-et,5,4.00%
v%ppl_abs,weak,-e,1,0.80%
v%pr_1,irregular,other,401,71.10%
v%pr_1,irregular,vowel,26,4.61%
v%pr_1,irregular,-n,99,17.55%
v%pr_1,irregular,-e,34,6.03%
v%pr_1,irregular,-t,4,0.71%
v%pr_1,strong,-te,11,9.82%
v%pr_1,strong,-e,80,71.43%
v%pr_1,strong,-de,15,13.39%
v%pr_1,strong,-t,2,1.79%
v%pr_1,strong,-et,1,0.89%
v%pr_1,strong,other,3,2.68%
v%pr_1,weak,-e,502,46.06%
v%pr_1,weak,other,442,40.55%
v%pr_1,weak,-te,36,3.30%
v%pr_1,weak,-t,89,8.17%
v%pr_1,weak,vowel,4,0.37%
v%pr_1,weak,-ede,14,1.28%
v%pr_1,weak,-de,3,0.28%
v%pr_1_neg,irregular,-e,2,5.71%
v%pr_1_neg,irregular,other,33,94.29%
v%pr_1_neg,weak,-t,36,94.74%
v%pr_1_neg,weak,other,2,5.26%
v%pr_1_pron,weak,other,1,100.00%
v%pr_2,irregular,-t,132,81.48%
v%pr_2,irregular,-e,17,10.49%
v%pr_2,irregular,vowel,9,5.56%
v%pr_2,irregular,other,4,2.47%
v%pr_2,strong,-est,27,54.00%
v%pr_2,strong,-t,4,8.00%
v%pr_2,strong,other,3,6.00%
v%pr_2,strong,-de,4,8.00%
v%pr_2,strong,-e,9,18.00%
v%pr_2,strong,-te,2,4.00%
v%pr_2,strong,-d,1,2.00%
v%pr_2,weak,-t,253,71.67%
v%pr_2,weak,-est,60,17.00%
v%pr_2,weak,-e,26,7.37%
v%pr_2,weak,other,10,2.83%
v%pr_2,weak,-te,2,0.57%
v%pr_2,weak,-ede,1,0.28%
v%pr_2,weak,-de,1,0.28%
v%pr_2_neg,irregular,-t,4,100.00%
v%pr_2_neg,weak,-t,4,100.00%
v%pr_2_neg_pron,irregular,other,6,100.00%
v%pr_2_neg_pron,weak,other,1,100.00%
v%pr_2_pron,irregular,other,41,100.00%
v%pr_2_pron,strong,other,6,100.00%
v%pr_2_pron,weak,other,116,92.80%
v%pr_2_pron,weak,vowel,9,7.20%
v%pr_3,irregular,other,2027,81.05%
v%pr_3,irregular,vowel,18,0.72%
v%pr_3,irregular,-e,325,12.99%
v%pr_3,irregular,-n,123,4.92%
v%pr_3,irregular,-eth,7,0.28%
v%pr_3,irregular,-t,1,0.04%
v%pr_3,strong,-t,75,15.34%
v%pr_3,strong,-eth,240,49.08%
v%pr_3,strong,-e,65,13.29%
v%pr_3,strong,other,98,20.04%
v%pr_3,strong,-de,7,1.43%
v%pr_3,strong,-te,2,0.41%
v%pr_3,strong,-est,2,0.41%
v%pr_3,weak,-eth,779,28.91%
v%pr_3,weak,-t,264,9.80%
