Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,v#adj%ppl,weak,-ed,2,100.00%
ShipT_gui_complete.csv,v%imp,irregular,other,3,37.50%
ShipT_gui_complete.csv,v%imp,irregular,-e,4,50.00%
ShipT_gui_complete.csv,v%imp,irregular,vowel,1,12.50%
ShipT_gui_complete.csv,v%imp,strong,other,1,16.67%
ShipT_gui_complete.csv,v%imp,strong,-t,2,33.33%
ShipT_gui_complete.csv,v%imp,strong,-e,3,50.00%
ShipT_gui_complete.csv,v%imp,weak,-eth,7,46.67%
ShipT_gui_complete.csv,v%imp,weak,-e,6,40.00%
ShipT_gui_complete.csv,v%imp,weak,-te,1,6.67%
ShipT_gui_complete.csv,v%imp,weak,other,1,6.67%
ShipT_gui_complete.csv,v%inf,irregular,-n,6,60.00%
ShipT_gui_complete.csv,v%inf,irregular,-en,1,10.00%
ShipT_gui_complete.csv,v%inf,irregular,vowel,1,10.00%
ShipT_gui_complete.csv,v%inf,irregular,-e,2,20.00%
ShipT_gui_complete.csv,v%inf,strong,-e,3,100.00%
ShipT_gui_complete.csv,v%inf,weak,-en,9,31.03%
ShipT_gui_complete.csv,v%inf,weak,-e,18,62.07%
ShipT_gui_complete.csv,v%inf,weak,other,1,3.45%
ShipT_gui_complete.csv,v%inf,weak,-n,1,3.45%
ShipT_gui_complete.csv,v%ppl,irregular,-n,1,100.00%
ShipT_gui_complete.csv,v%ppl,strong,-n,1,50.00%
ShipT_gui_complete.csv,v%ppl,strong,-en,1,50.00%
ShipT_gui_complete.csv,v%ppl,weak,-ed,14,77.78%
ShipT_gui_complete.csv,v%ppl,weak,-t,1,5.56%
ShipT_gui_complete.csv,v%ppl,weak,-d,2,11.11%
ShipT_gui_complete.csv,v%ppl,weak,-et,1,5.56%
ShipT_gui_complete.csv,v%pr_1,irregular,other,9,90.00%
ShipT_gui_complete.csv,v%pr_1,irregular,vowel,1,10.00%
ShipT_gui_complete.csv,v%pr_1,strong,-te,2,66.67%
ShipT_gui_complete.csv,v%pr_1,strong,-e,1,33.33%
ShipT_gui_complete.csv,v%pr_1,weak,-e,11,52.38%
ShipT_gui_complete.csv,v%pr_1,weak,other,9,42.86%
ShipT_gui_complete.csv,v%pr_1,weak,-te,1,4.76%
ShipT_gui_complete.csv,v%pr_1_neg,irregular,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_2,weak,-t,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,irregular,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,weak,other,1,100.00%
ShipT_gui_complete.csv,v%pr_3,irregular,other,26,86.67%
ShipT_gui_complete.csv,v%pr_3,irregular,vowel,1,3.33%
ShipT_gui_complete.csv,v%pr_3,irregular,-e,3,10.00%
ShipT_gui_complete.csv,v%pr_3,strong,-t,4,36.36%
ShipT_gui_complete.csv,v%pr_3,strong,-eth,5,45.45%
ShipT_gui_complete.csv,v%pr_3,strong,-e,2,18.18%
ShipT_gui_complete.csv,v%pr_3,weak,-eth,9,21.43%
ShipT_gui_complete.csv,v%pr_3,weak,-t,9,21.43%
ShipT_gui_complete.csv,v%pr_3,weak,other,19,45.24%
