Source_File,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,v%pt_3,other,35,43.21%
ShipT_gui_complete.csv,v%pt_3,-t,1,1.23%
ShipT_gui_complete.csv,v%pt_3,-de,10,12.35%
ShipT_gui_complete.csv,v%pt_3,-te,7,8.64%
ShipT_gui_complete.csv,v%pt_3,-d,19,23.46%
ShipT_gui_complete.csv,v%pt_3,-e,5,6.17%
ShipT_gui_complete.csv,v%pt_3,-n,2,2.47%
ShipT_gui_complete.csv,v%pt_3,-ed,2,2.47%
ShipT_gui_complete.csv,v%pt_pl,-de,5,50.00%
ShipT_gui_complete.csv,v%pt_pl,-e,3,30.00%
ShipT_gui_complete.csv,v%pt_pl,-te,2,20.00%
ShipT_gui_complete.csv,v%pr_3,-eth,14,16.87%
ShipT_gui_complete.csv,v%pr_3,other,45,54.22%
ShipT_gui_complete.csv,v%pr_3,-t,13,15.66%
ShipT_gui_complete.csv,v%pr_3,vowel,1,1.20%
ShipT_gui_complete.csv,v%pr_3,-e,6,7.23%
ShipT_gui_complete.csv,v%pr_3,-ede,2,2.41%
ShipT_gui_complete.csv,v%pr_3,-de,2,2.41%
ShipT_gui_complete.csv,v%inf,-en,10,23.81%
ShipT_gui_complete.csv,v%inf,-n,7,16.67%
ShipT_gui_complete.csv,v%inf,-e,23,54.76%
ShipT_gui_complete.csv,v%inf,vowel,1,2.38%
ShipT_gui_complete.csv,v%inf,other,1,2.38%
ShipT_gui_complete.csv,v%pr_pl,-e,6,20.69%
ShipT_gui_complete.csv,v%pr_pl,other,11,37.93%
ShipT_gui_complete.csv,v%pr_pl,-en,5,17.24%
ShipT_gui_complete.csv,v%pr_pl,-t,2,6.90%
ShipT_gui_complete.csv,v%pr_pl,vowel,1,3.45%
ShipT_gui_complete.csv,v%pr_pl,-te,1,3.45%
ShipT_gui_complete.csv,v%pr_pl,-n,3,10.34%
ShipT_gui_complete.csv,v%imp,-eth,7,24.14%
ShipT_gui_complete.csv,v%imp,other,5,17.24%
ShipT_gui_complete.csv,v%imp,-e,13,44.83%
ShipT_gui_complete.csv,v%imp,-t,2,6.90%
ShipT_gui_complete.csv,v%imp,-te,1,3.45%
ShipT_gui_complete.csv,v%imp,vowel,1,3.45%
ShipT_gui_complete.csv,v%prp,-e,1,100.00%
ShipT_gui_complete.csv,v%ppl,-ed,14,66.67%
ShipT_gui_complete.csv,v%ppl,-t,1,4.76%
ShipT_gui_complete.csv,v%ppl,-d,2,9.52%
ShipT_gui_complete.csv,v%ppl,-n,2,9.52%
ShipT_gui_complete.csv,v%ppl,-et,1,4.76%
ShipT_gui_complete.csv,v%ppl,-en,1,4.76%
ShipT_gui_complete.csv,v%pr_1,-te,3,8.82%
ShipT_gui_complete.csv,v%pr_1,-e,12,35.29%
ShipT_gui_complete.csv,v%pr_1,other,18,52.94%
ShipT_gui_complete.csv,v%pr_1,vowel,1,2.94%
ShipT_gui_complete.csv,v%pt_3_neg,-de,1,33.33%
ShipT_gui_complete.csv,v%pt_3_neg,other,2,66.67%
ShipT_gui_complete.csv,v%prp_abs,-e,1,100.00%
ShipT_gui_complete.csv,v#adj%ppl,-ed,2,100.00%
ShipT_gui_complete.csv,v%pt_1,other,2,25.00%
ShipT_gui_complete.csv,v%pt_1,-de,2,25.00%
ShipT_gui_complete.csv,v%pt_1,-te,3,37.50%
ShipT_gui_complete.csv,v%pt_1,-e,1,12.50%
ShipT_gui_complete.csv,v%pr_1_neg,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,other,2,100.00%
ShipT_gui_complete.csv,v%pr_2,-t,1,100.00%
ShipT_gui_complete.csv,v%pr_3_neg,-e,1,100.00%
WBT_gui_complete.csv,v%pr_pl,-en,15,36.59%
WBT_gui_complete.csv,v%pr_pl,other,10,24.39%
WBT_gui_complete.csv,v%pr_pl,-e,11,26.83%
WBT_gui_complete.csv,v%pr_pl,-n,4,9.76%
