Headword,Tag,Ending,Count,Percent
ben,v%pt_3,other,1527,88.52%
ben,v%pt_3,-e,197,11.42%
ben,v%pt_3,-ed,1,0.06%
ben,v%pr_3,other,1661,84.31%
ben,v%pr_3,-e,306,15.53%
ben,v%pr_3,vowel,2,0.10%
ben,v%pr_3,-t,1,0.05%
ben,v%pt_pl,-e,135,78.95%
ben,v%pt_pl,-en,35,20.47%
ben,v%pt_pl,-n,1,0.58%
ben,v%pr_pl,-en,262,66.84%
ben,v%pr_pl,-e,122,31.12%
ben,v%pr_pl,other,2,0.51%
ben,v%pr_pl,vowel,1,0.26%
ben,v%pr_pl,-n,5,1.28%
ben,v%pt_1,other,73,85.88%
ben,v%pt_1,-e,11,12.94%
ben,v%pt_1,vowel,1,1.18%
ben,v%inf,-en,155,27.53%
ben,v%inf,-e,408,72.47%
ben,v%pr_1,other,135,83.85%
ben,v%pr_1,-e,26,16.15%
ben,v%pr_1_neg,-e,1,7.14%
ben,v%pr_1_neg,other,13,92.86%
ben,v%imp,-e,48,54.55%
ben,v%imp,-eth,40,45.45%
ben,v%pt_3_neg,other,87,85.29%
ben,v%pt_3_neg,-e,15,14.71%
ben,v%pr_3_neg,-e,1,1.15%
ben,v%pr_3_neg,other,86,98.85%
ben,v%pr_2,-t,68,78.16%
ben,v%pr_2,-e,17,19.54%
ben,v%pr_2,other,2,2.30%
ben,v%ppl,-en,47,75.81%
ben,v%ppl,-e,15,24.19%
ben,v%pt_2,-e,16,88.89%
ben,v%pt_2,other,2,11.11%
ben,v%pt_1_neg,other,3,100.00%
ben,v%pr_2_pron,other,18,100.00%
ben,v%imp_2,-e,1,100.00%
ben,v%pt_pl_neg,-e,4,100.00%
ben,v%pt_2_neg,-e,1,100.00%
holden,v%pt_pl,-de,1,33.33%
holden,v%pt_pl,-en,1,33.33%
holden,v%pt_pl,-d,1,33.33%
holden,v%pt_3,-d,20,95.24%
holden,v%pt_3,-de,1,4.76%
holden,v%ppl,-en,13,76.47%
holden,v%ppl,-de,4,23.53%
holden,v%pr_3,-t,11,73.33%
holden,v%pr_3,-de,1,6.67%
holden,v%pr_3,-eth,3,20.00%
holden,v%pr_1,-de,8,100.00%
holden,v%pr_pl,-de,4,50.00%
holden,v%pr_pl,-en,4,50.00%
holden,v%inf,-de,14,56.00%
holden,v%inf,-en,11,44.00%
holden,v%imp,-d,13,65.00%
holden,v%imp,-eth,3,15.00%
holden,v%imp,-de,4,20.00%
holden,v%pr_2,-de,1,100.00%
holden,v%pt_1,-d,2,100.00%
causen,v%pr_3,-eth,13,100.00%
causen,v%pt_3,-ed,4,100.00%
causen,v%pr_pl,-en,2,100.00%
paien,v%inf,-en,5,41.67%
paien,v%inf,-e,7,58.33%
paien,v%ppl,-ed,5,100.00%
paien,v%imp,other,1,100.00%
paien,v%pt_3,-de,1,100.00%
moten,v%pr_3,-t,69,80.23%
moten,v%pr_3,-te,15,17.44%
moten,v%pr_3,-e,2,2.33%
moten,v%pt_3,-te,56,98.25%
moten,v%pt_3,-t,1,1.75%
moten,v%pr_pl,-te,15,71.43%
moten,v%pr_pl,-en,5,23.81%
moten,v%pr_pl,-t,1,4.76%
moten,v%pt_1,-te,4,100.00%
moten,v%pr_1,-te,4,14.81%
moten,v%pr_1,-t,23,85.19%
moten,v%pt_pl,-en,2,22.22%
moten,v%pt_pl,-te,7,77.78%
moten,v%pr_2,-t,5,83.33%
moten,v%pr_2,-te,1,16.67%
moten,v%pt_2,-t,2,100.00%
dauncen,v%pr_pl,-e,2,66.67%
dauncen,v%pr_pl,-en,1,33.33%
dauncen,v%pt_3,-ed,1,100.00%
dauncen,v#adj%prp,-e,1,100.00%
dauncen,v%inf,-e,2,66.67%
dauncen,v%inf,-en,1,33.33%
dauncen,v%pr_3,-eth,4,100.00%
mouen,v%pr_3,other,409,99.76%
mouen,v%pr_3,vowel,1,0.24%
mouen,v%pr_1,other,112,98.25%
mouen,v%pr_1,-t,1,0.88%
mouen,v%pr_1,-e,1,0.88%
mouen,v%pt_pl,-te,39,86.67%
mouen,v%pt_pl,-en,6,13.33%
mouen,v%pr_pl,other,157,86.74%
mouen,v%pr_pl,-en,6,3.31%
mouen,v%pr_pl,-e,18,9.94%
mouen,v%pt_1,-te,17,85.00%
mouen,v%pt_1,-t,3,15.00%
mouen,v%pt_3,-te,157,94.01%
mouen,v%pt_3,-t,10,5.99%
mouen,v%pt_2,-est,5,100.00%
mouen,v%pr_2_pron,other,23,100.00%
mouen,v%pr_2,-t,36,85.71%
mouen,v%pr_2,-e,3,7.14%
mouen,v%pr_2,other,3,7.14%
mouen,v%inf,-en,1,100.00%
mouen,v%pt_2_pron,other,1,100.00%
listen,v%pr_3,-t,85,72.65%
listen,v%pr_3,-eth,4,3.42%
listen,v%pr_3,-te,22,18.80%
listen,v%pr_3,-est,6,5.13%
listen,v%pt_3,-te,17,80.95%
listen,v%pt_3,-t,3,14.29%
listen,v%pt_3,-est,1,4.76%
listen,v%pr_pl,-te,1,25.00%
listen,v%pr_pl,-en,3,75.00%
listen,v%imp,-eth,2,100.00%
herkenen,v%imp,-eth,25,80.65%
herkenen,v%imp,-e,6,19.35%
herkenen,v%pt_3,-ed,1,100.00%
herkenen,v%inf,-e,4,100.00%
herkenen,v%pr_1,-e,1,100.00%
herkenen,v%ppl,-ed,1,100.00%
drauen,v%prp,-e,1,100.00%
drauen,v%pt_3,other,6,100.00%
drauen,v%inf,-e,4,66.67%
drauen,v%inf,-en,2,33.33%
drauen,v%ppl_abs,-e,1,100.00%
drauen,v%pr_3,-eth,1,50.00%
drauen,v%pr_3,-e,1,50.00%
drauen,v%pr_pl,-en,2,100.00%
drauen,v%ppl,-e,2,66.67%
drauen,v%ppl,-en,1,33.33%
drauen,v%imp,-eth,3,75.00%
drauen,v%imp,-e,1,25.00%
aqueinten,v%ppl,-ed,1,100.00%
seien,v%pr_pl,other,10,20.83%
seien,v%pr_pl,-en,3,6.25%
seien,v%pr_pl,-n,28,58.33%
seien,v%pr_pl,-e,7,14.58%
seien,v%ppl,-d,50,100.00%
seien,v%pt_3,-de,351,99.15%
seien,v%pt_3,-e,1,0.28%
seien,v%pt_3,vowel,1,0.28%
seien,v%pt_3,-ede,1,0.28%
seien,v%pr_1,-e,35,58.33%
seien,v%pr_1,other,24,40.00%
seien,v%pr_1,-t,1,1.67%
seien,v%pt_pl,-de,13,40.62%
seien,v%pt_pl,-en,19,59.38%
seien,v%pr_3,-e,3,4.00%
seien,v%pr_3,other,72,96.00%
seien,v%inf,-e,50,34.25%
seien,v%inf,-n,79,54.11%
seien,v%inf,other,12,8.22%
seien,v%inf,-en,5,3.42%
seien,v%imp,other,28,96.55%
seien,v%imp,-eth,1,3.45%
seien,v%pt_1,-de,16,100.00%
seien,v%pr_2,other,1,5.00%
seien,v%pr_2,-t,18,90.00%
seien,v%pr_2,-est,1,5.00%
seien,v%pr_2_pron,other,8,88.89%
seien,v%pr_2_pron,vowel,1,11.11%
