Source_File,Headword,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,ben,v%pt_3,other,25,83.33%
ShipT_gui_complete.csv,ben,v%pt_3,-e,5,16.67%
ShipT_gui_complete.csv,ben,v%pr_3,other,21,87.50%
ShipT_gui_complete.csv,ben,v%pr_3,-e,3,12.50%
ShipT_gui_complete.csv,ben,v%pt_pl,-e,3,100.00%
ShipT_gui_complete.csv,ben,v%pr_pl,-en,4,50.00%
ShipT_gui_complete.csv,ben,v%pr_pl,-e,3,37.50%
ShipT_gui_complete.csv,ben,v%pr_pl,other,1,12.50%
ShipT_gui_complete.csv,ben,v%pt_1,other,1,50.00%
ShipT_gui_complete.csv,ben,v%pt_1,-e,1,50.00%
ShipT_gui_complete.csv,ben,v%inf,-en,1,33.33%
ShipT_gui_complete.csv,ben,v%inf,-e,2,66.67%
ShipT_gui_complete.csv,ben,v%pr_1,other,3,100.00%
ShipT_gui_complete.csv,ben,v%pr_1_neg,-e,1,100.00%
ShipT_gui_complete.csv,ben,v%imp,-e,4,100.00%
ShipT_gui_complete.csv,ben,v%pt_3_neg,other,2,100.00%
ShipT_gui_complete.csv,ben,v%pr_3_neg,-e,1,100.00%
ShipT_gui_complete.csv,holden,v%pt_pl,-de,1,100.00%
ShipT_gui_complete.csv,holden,v%pt_3,-d,1,100.00%
ShipT_gui_complete.csv,causen,v%pr_3,-eth,1,100.00%
ShipT_gui_complete.csv,paien,v%inf,-en,2,40.00%
ShipT_gui_complete.csv,paien,v%inf,-e,3,60.00%
ShipT_gui_complete.csv,paien,v%ppl,-ed,1,100.00%
ShipT_gui_complete.csv,moten,v%pr_3,-t,2,100.00%
ShipT_gui_complete.csv,moten,v%pt_3,-te,3,100.00%
ShipT_gui_complete.csv,moten,v%pr_pl,-te,1,100.00%
ShipT_gui_complete.csv,moten,v%pt_1,-te,1,100.00%
ShipT_gui_complete.csv,dauncen,v%pr_pl,-e,1,100.00%
ShipT_gui_complete.csv,mouen,v%pr_3,other,8,100.00%
ShipT_gui_complete.csv,mouen,v%pr_1,other,4,100.00%
ShipT_gui_complete.csv,mouen,v%pt_pl,-te,1,100.00%
ShipT_gui_complete.csv,mouen,v%pr_pl,other,2,100.00%
