OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Oure Hooste saugh wel that the brighte sonne,¶Our Hoste sey° wel that the brighte sonne,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 1,DIFF,10,10,Oure Hooste saugh wel that the brighte sonne,Our Hoste sey wel that the brighte sonne,ux Su S u S u Su Sx,u Su S u S u Su Sx,oure@pron%pl_gen hoste@n2 sen@v1%pt_3 wel@adv that@conj the@def_art bright@adj sonne@n,oure@pron%pl_gen hoste@n2 sen@v1%pt_3 wel@adv that@conj the@def_art bright@adj sonne@n,green
The ark of his artificial day hath ronne,The ark° of his artificial day° had ronne,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 2,DIFF,0,0,The ark of his artificial day hath ronne,The ark of his artificial day had ronne,       ,       ,the@def_art arche@n of@prep his@pron1%gen artificial@adj dai@n haven@v%pr_3 rennen@v1%ppl,the@def_art arche@n of@prep his@pron1%gen artificial@adj dai@n haven@v%pt_3 rennen@v1%ppl,green
"The ferthe part, and half an houre and moore","The fourthe part, and half an houre, and more;",data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 3,,10,10,The ferthe part and half an houre and moore,The fourthe part and half an houre and more,u Su S u S u Sx u Sx,u Su S u S u Sx u Sx,the@def_art ferthe@num_adj part@n and@conj half@n a@indef_art houre@n and@conj more@n3,the@def_art ferthe@num_adj part@n and@conj half@n a@indef_art houre@n and@conj more@n3,
And though he were not depe ystert in loore,And though he were not depe ystert° in lore,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 4,,10,10,And though he were not depe ystert in loore,And though he were not depe ystert in lore,u S u Sx u Sx uS u Sx,u S u Sx u Sx uS u Sx,and@conj though@conj he@pron1%nom ben@v%pt_3 not@adv depe@adv sterten@v%ppl in@prep lore@n2,and@conj though@conj he@pron1%nom ben@v%pt_3 not@adv depe@adv sterten@v%ppl in@prep lore@n2,
He wiste it was the eightetethe day,He wiste° it was the eightetethe° day,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 5,,10,10,He wiste it was the eightetethe day,He wiste it was the eightetethe day,u Sx u S u SuSu S,u Sx u S u SuSu S,he@pron1%nom witen@v1%pt_3 hit@pron ben@v%pt_3 the@def_art eighte-tenthe@num_adj dai@n,he@pron1%nom witen@v1%pt_3 hit@pron ben@v%pt_3 the@def_art eighte-tenthe@num_adj dai@n,
"Of Aprill, that is messager to May;","Of April, that is messager to May;",data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 6,,10,10,Of Aprill that is messager to May,Of April that is messager to May,u Su S u SuS u S,u Su S u SuS u S,of@prep april@n that@pron ben@v%pr_3 messager@n to@prep mai@n2,of@prep april@n that@pron ben@v%pr_3 messager@n to@prep mai@n2,
And saugh wel that the shadwe of every tree,And sey° wel that the shadwe of every tree,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 7,DIFF,10,10,And saugh wel that the shadwe of every tree,And sey wel that the shadwe of every tree,u S u S u Sx u Sxu S,u S u S u Sx u Sxu S,and@conj sen@v1%pt_3 wel@adv that@conj the@def_art shadwe@n of@prep everi@pron_gram_adj tre@n,and@conj sen@v1%pt_3 wel@adv that@conj the@def_art shadwe@n of@prep everi@pron_gram_adj tre@n,green
Was in lengthe the same quantitee,Was as in lengthe the same quantitee,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 8,DIFF,9,10,Was in lengthe the same quantitee,Was as in lengthe the same quantitee,S u Sx u Su SuS,u S u Sx u Su SuS,ben@v%pt_3 in@prep lengthe@n the@def_art same@gram_adj quantite@n,ben@v%pt_3 as@conj in@prep lengthe@n the@def_art same@gram_adj quantite@n,green
That was the body erect that caused it.,That was the body erect that caused it.,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 9,,10,10,That was the body erect that caused it,That was the body erect that caused it,u S u Su Su S ux S,u S u Su Su S ux S,that@pron ben@v%pt_3 the@def_art bodi@n erect@adj that@pron causen@v1%pt_3 hit@pron,that@pron ben@v%pt_3 the@def_art bodi@n erect@adj that@pron causen@v1%pt_3 hit@pron,
And therefore by the shadwe he took his wit,And therfor by the shadwe he took his wit°,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 10,,10,10,And therefore by the shadwe he took his wit,And therfor by the shadwe he took his wit,u xSux S u Sx u S u S,u Su S u Sx u S u S,and@conj ther-fore@adv bi@prep the@def_art shadwe@n he@pron1%nom taken@v%pt_3 his@pron1%gen wit@n,and@conj ther-fore@adv bi@prep the@def_art shadwe@n he@pron1%nom taken@v%pt_3 his@pron1%gen wit@n,
"That Phebus, which that shoon so clere and brighte","That Phebus,° which that shoon so clere and brighte",data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 11,,10,10,That Phebus which that shoon so clere and brighte,That Phebus which that shoon so clere and brighte,u Su S u S u Sx u Sx,u Su S u S u Sx u Sx,that@conj phebus@n#propn which@pron that@pron shinen@v%pt_3 so@adv cler@adv and@conj brighte@adv,that@conj phebus@n#propn which@pron that@pron shinen@v%pt_3 so@adv cler@adv and@conj brighte@adv,
Degrees was fyve and fourty clombe on highte,Degrees was five and fourty clombe on highte;,data/riverside_cats/MLPro_riv.cat,data/oxford_txts/MLPro_oxford.txt,data/csvs/MLPro,02-1-ch 12,,10,10,Degrees was fyve and fourty clombe on highte,Degrees was five and fourty clombe on highte,uS u Sx u Su Sx u Sx,uS u Sx u Su Sx u Sx,degre@n%pl ben@v%pt_3 five@num_adj and@conj fourti@num_adj climben@v%ppl on@prep heighte@n,degre@n%pl ben@v%pt_3 five@num_adj and@conj fourti@num_adj climben@v%ppl on@prep heighte@n,
