OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"The lyf so short, the craft so long to lerne",The lif so short the craft so long to lerne,data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 1,,10,10,The lyf so short the craft so long to lerne,The lif so short the craft so long to lerne,u S u S u S u S u Sx,u S u S u S u S u Sx,the@def_art lif@n so@adv short@adj the@def_art craft@n1 so@adv long@adj1 to@part lernen@v%inf,the@def_art lif@n so@adv short@adj the@def_art craft@n1 so@adv long@adj1 to@part lernen@v%inf,green
"Th' assay so hard, so sharp the conquerynge","Th’assay° so sharp,°so hard the conqueringe",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 2,DIFF,10,10,Th assay so hard so sharp the conquerynge,Th assay so sharpso hard the conqueringe, uS u S u S u SuSx, uS u Su S u SuSx,the@def_art assai@n so@adv hard@adj so@adv sharp@adj the@def_art conquering@ger,the@def_art assai@n assai@n  hard@adj the@def_art conquering@ger,green
The dredful joye alwey that slit so yerne:,"The dredful° joy that alwey slit so yerne,°",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 3,DIFF,0,0,The dredful joye alwey that slit so yerne,The dredful joy that alwey slit so yerne,       ,       ,the@def_art dredeful@adj joie@n al-wei@adv that@pron sliden@v%pr_3 so@adv yerne@adv,the@def_art dredeful@adj joie@n that@pron al-wei@adv sliden@v%pr_3 so@adv yerne@adv,green
"Al this mene I by Love, that my felynge","Al this mene I by Love, that my felinge",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 4,,10,10,Al this mene I by Love that my felynge,Al this mene I by Love that my felinge,u S ux S u Sx u S uSx,u S ux S u Sx u S uSx,al@gram_adj this@pron menen@v1%pr_1 ich@pron%nom bi@prep love@n1#propn that@pron min@pron%gen felinge@ger1,al@gram_adj this@pron menen@v1%pr_1 ich@pron%nom bi@prep love@n1#propn that@pron min@pron%gen felinge@ger1,green
Astonyeth with his wonderful werkynge,Astonieth° with his wonderful worching°,data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 5,DIFF,0,0,Astonyeth with his wonderful werkynge,Astonieth with his wonderful worching,    ,    ,astonen@v%pr_3 with@prep his@pron1%gen wonderful@adj werkinge@ger,astonen@v%pr_3 with@prep his@pron1%gen wonderful@adj werkinge@ger,green
"So sore, iwis, that whan I on hym thynke","So sore° ywis,° that whan I on him thinke",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 6,,10,10,So sore iwis that whan I on hym thynke,So sore ywis that whan I on him thinke,u Sx uS u S u S u Sx,u Sx uS u S u S u Sx,so@adv sore@adv iwis@adv that@conj whan@adv&conj ich@pron%nom on@prep him@pron%obj thinken@v2%pr_1,so@adv sore@adv iwis@adv that@conj whan@adv&conj ich@pron%nom on@prep him@pron%obj thinken@v2%pr_1,green
Nat wot I wel wher that I flete or synke.,Nat wot I wel wher that I flete° or sinke.,data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 7,,10,10,Nat wot I wel wher that I flete or synke,Nat wot I wel wher that I flete or sinke,u S u S u S u Sx u Sx,u S u S u S u Sx u Sx,not@adv witen@v1%pr_1 ich@pron%nom wel@adv whether@conj that@part ich@pron%nom fleten@v1%pr_1 or@conj sinken@v%pr_1,not@adv witen@v1%pr_1 ich@pron%nom wel@adv whether@conj that@part ich@pron%nom fleten@v1%pr_1 or@conj sinken@v%pr_1,green
For al be that I knowe nat Love in dede,"For al be° that I know nat love in dede,°",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 8,,10,10,For al be that I knowe nat Love in dede,For al be that I know nat love in dede,u S u S u Sx u Sx u Sx,u S u S u S u Sx u Sx,for@conj al@conj ben@v%pr_3 that@conj ich@pron%nom knouen@v%pr_1 not@adv love@n1#propn in@prep dede@n,for@conj al@conj ben@v%pr_3 that@conj ich@pron%nom knouen@v%pr_1 not@adv love@n1#propn in@prep dede@n,green
Ne wot how that he quiteth folk here hyre,"Ne wot° how that he quiteth folk hir hire,°",data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 9,,10,10,Ne wot how that he quiteth folk here hyre,Ne wot how that he quiteth folk hir hire,u S u S u Su S ux Sx,u S u S u Su S u Sx,ne@conj1 witen@v1%pr_1 hou@adv&conj that@part he@pron1%nom quiten@v%pr_3 folk@n here@pron%pl_gen hire@n,ne@conj1 witen@v1%pr_1 hou@adv&conj that@part he@pron1%nom quiten@v%pr_3 folk@n here@pron%pl_gen hire@n,green
Yit happeth me ful ofte in bokes reede,Yet happeth° me ful ofte in bokes rede,data/riverside_cats/PF_riv.cat,data/oxford_txts/PF_oxford.txt,data/csvs/PF,Parliament of Fowls 10,,10,10,Yit happeth me ful ofte in bokes reede,Yet happeth me ful ofte in bokes rede,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,yet@adv happen@v1%pr_3 me@pron2%obj ful@adv ofte@adv in@prep bok@n1%pl reden@v1%inf,yet@adv happen@v1%pr_3 me@pron2%obj ful@adv ofte@adv in@prep bok@n1%pl reden@v1%inf,green
